GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_cl,restriction_type,governing_law
2754257,Chile,,NATIONAL,,Bomarea ovallei,Magnoliopsida,species,Alstroemeriaceae,Garra de Le<U+00F3>n,NA,Chile endemic; Atacama coastal fog zone; only species in genus; bulb collection for horticulture a threat,Bomarea,no,,Endangered (DS 13/2013),Collection prohibited,DS 13/2013
4178741,Chile,,NATIONAL,,Cryptocarya alba,Magnoliopsida,species,Lauraceae,Peumo,"Cryptocarya boldus, Cryptocarya laxiflora, Cryptocarya mammosa, Cryptocarya peumo, Cryptocarya peumus, Cryptocarya peumus laxiflora, Cryptocarya peumus stenantha, Cryptocarya rubra, Cryptocarya stenantha, Icosandra rufescens, Laurus peumo, Laurus peumus, Peumus alba, Peumus mammosa, Peumus rubra",Sclerophyllous matorral endemic; fruit and timber uses; protected in national parks; private land exploitation concern,Cryptocarya,no,,Near Threatened (DS 13/2013) <U+2014> protected,Regulated harvest,DS 13/2013
3029379,Chile,,NATIONAL,,Quillaja saponaria,Magnoliopsida,species,Quillajaceae,"Murillo's-bark, quillaja, soapbark, soapbarktree, soapbush, soaptree","Leucoxyla saponaria, Quillaja molinae, Quillaja poeppigii, Quillaja smegmadermis, Quillaja smegmadermos, Smegmadermos emarginata, Smegmaria emarginata","Soapbark tree; bark saponins commercially valuable (vaccines, food industry); harvest permits required",Quillaja,no,,Protected <U+2014> bark harvest regulated,Harvest regulated (bark),DS 13/2013 / SAG regulations
4020527,Chile,,NATIONAL,,Drimys winteri,Magnoliopsida,species,Winteraceae,"Winter's bark, Winter's-bark","Drimys aromatica, Drimys polymorpha, Drimys punctata, Drimys winterana, Drimys winteri magellanica, Drimys winteri morenonis, Drimys winteri punctata, Drimys winteri semiglobulosa, Wintera aromatica, Winterania aromatica",Sacred tree of Mapuche culture (rewe); Valdivian temperate rainforest; widespread but protected from unsustainable harvest,Drimys,no,,Protected under Native Forest Recovery Act,Felling regulated,Ley 20.283
7304571,Chile,,NATIONAL,,Persea lingue,Magnoliopsida,species,Lauraceae,Lingue,"Laurus ligi, Laurus linge, Laurus lingue, Laurus lingui, Laurus linguy, Laurus palustris, Nothaphoebe lingue, Nothaphoebe meyeniana, Persea frigida, Persea intermedia, Persea lige, Persea lingue canescens, Persea lingue palustris, Persea meyeniana",Chilean avocado relative; Lauraceae; central-south Chile; timber valued; overexploited in 19th-20th century,Persea,no,,Near Threatened (DS 13/2013),Felling regulated,DS 13/2013 / Ley 20.283
2684878,Chile,,NATIONAL,,Austrocedrus chilensis,Pinopsida,species,Cupressaceae,"Chilean Cedar, Chilean Incense-Cedar, Chilean cedar, Chilean-cedar, Cordilleran Cypress, Chilean Incense-cedar","Austrocedrus chilensis, Cupressus chilensis, Cupressus thujoides, Cupressus thyoides, Libocedrus chilensis, Libocedrus chilensis argenteus, Libocedrus excelsa, Thuja andina, Thuja chilensis, Thuja cuneata",Andean cypress; Chile-Argentina; drought and Phytophthora austrocedri dieback disease; fire-sensitive; slow regeneration,Austrocedrus,no,,Vulnerable (DS 13/2013),Felling regulated,DS 13/2013 / Ley 20.283
2874907,Chile,,NATIONAL,,Nothofagus pumilio,Magnoliopsida,species,Nothofagaceae,Lenga Beech,"Calusparassus pumilio, Fagus antarctica bicrenata, Fagus antarctica pumilio, Fagus pumilio, Fagus pumilo, Nothofagus pumilio",Deciduous southern beech; Patagonian forests; important timber species; felling requires CONAF management plan approval,Nothofagus,no,,Protected under Native Forest Recovery Act,Felling regulated (permits),Ley 20.283
2874949,Chile,,NATIONAL,,Nothofagus betuloides,Magnoliopsida,species,Nothofagaceae,Magellan's Beech,"Betula antarctica, Calusparassus betuloides, Calusparassus forsteri, Fagus betuloides, Fagus dubia, Fagus forsteri, Nothofagus dubia, Nothofagus forsteri, Nothofagus patagonica",Evergreen southern beech; southernmost broadleaf tree; Magallanes old-growth forests; managed harvest only,Nothofagus,no,,Protected under Native Forest Recovery Act,Felling regulated (permits),Ley 20.283
4195475,Chile,,NATIONAL,,Thyrsopteris elegans,Polypodiopsida,species,Thyrsopteridaceae,Juan Fern<U+00E1>ndez tree fern,"Dicksonia elegans, Panicularia berteri, Panicularia berteroi","Sole member of family Thyrsopteridaceae; Juan Fern<U+00E1>ndez archipelago; world's rarest tree fern; <1,000 plants",Thyrsopteris,no,,Endangered (DS 13/2013) <U+2014> Juan Fern<U+00E1>ndez Endemic,Collection prohibited,DS 13/2013 / Ley 18.362
5400915,Chile,,NATIONAL,,Sonchus brassicifolius,Magnoliopsida,species,Asteraceae,Juan Fern<U+00E1>ndez cabbage tree,NA,"Tree lettuce; Robinson Crusoe Island; <100 wild individuals; invasive species (rabbits, bramble) major threat",Sonchus,no,,Critically Endangered (DS 13/2013) <U+2014> JF Endemic,Collection prohibited,DS 13/2013 / Ley 18.362
3789292,Chile,,NATIONAL,,Santalum fernandezianum,Magnoliopsida,species,Santalaceae,Juan Fern<U+00E1>ndez sandalwood,Mida fernandeziana,Extinct since early 20th century; overharvested for aromatic wood; listed to prevent any trade in remaining specimens,Santalum,no,,Extinct (DS 13/2013) <U+2014> JF Endemic,Historically overexploited,DS 13/2013
4195611,Chile,,NATIONAL,,Lactoris fernandeziana,Magnoliopsida,species,Aristolochiaceae,Lactoris,Ansonia nodulosa,Sole member of family Lactoridaceae; Masatierra Island; basal angiosperm of extreme phylogenetic importance,Lactoris,no,,Endangered (DS 13/2013) <U+2014> JF Endemic,Collection prohibited,DS 13/2013 / Ley 18.362
5294719,Chile,,NATIONAL,,Juania australis,Magnoliopsida,species,Arecaceae,chonta palm,"Ceroxylon australe, Juania australis, Morenia chonta, Nunnezharia chonta, Nunnezharoa chonta","Chonta palm; Robinson Crusoe Island; <5,000 individuals; threatened by invasive plants and rats",Juania,no,,Endangered (DS 13/2013) <U+2014> JF Endemic,Collection prohibited,DS 13/2013 / Ley 18.362
3596997,Chile,,NATIONAL,,Citronella mucronata,Magnoliopsida,species,Cardiopteridaceae,Naranjillo de J. Fern<U+00E1>ndez,"Citronella chilensis, Citrus chilensis, Patagua chilensis, Villaresia chilensis, Villaresia congonha pungens, Villaresia gongonha pungens, Villaresia mucronata, Villaresia mucronata laeta, Villaresia pungens",Mainland and Juan Fern<U+00E1>ndez; central Chile sclerophyllous forest; habitat fragmentation; slow-growing,Citronella,no,,Vulnerable (DS 13/2013),Collection regulated,DS 13/2013
7280968,Chile,,NATIONAL,,Copiapoa,Magnoliopsida,species,Cactaceae,Copiapoa (genus),Pilocopiapoa,Chilean endemic cactus genus; Atacama coast; ~30 species; extreme poaching for collectors; many species Critically Endangered,Copiapoa,no,,Various CR/EN/VU (DS 13/2013); CITES II,Collection/export prohibited without CITES permit,DS 13/2013 / CITES
7284333,Chile,,NATIONAL,,Copiapoa cinerea,Magnoliopsida,species,Cactaceae,Copiapoa cinerea,"Copiapoa cinerea albispina, Copiapoa cinerea cinerea, Echinocactus cinereus",Iconic white-bodied cactus of Atacama fog zone; Pan de Az<U+00FA>car NP; severe poaching for European/Asian collectors,Copiapoa,no,,Endangered (DS 13/2013); CITES II,Collection/export prohibited,DS 13/2013 / CITES
7284225,Chile,,NATIONAL,,Copiapoa humilis,Magnoliopsida,species,Cactaceae,Copiapoa humilis,"Copiapoa australis, Copiapoa chanaralensis, Copiapoa humilis australis, Copiapoa humilis paposoensis, Copiapoa paposoensis, Echinocactus humilis",Small clustering cactus; Atacama coast; restricted range; illegal collection for international cactus trade,Copiapoa,no,,Vulnerable (DS 13/2013); CITES II,Collection/export prohibited,DS 13/2013 / CITES
7280089,Chile,,NATIONAL,,Eriosyce,Magnoliopsida,species,Cactaceae,Eriosyce (genus),"Ceratistes, Chilenia, Chileniopsis, Chileocactus, Chileorebutia, Chiliorebutia, Delaetia, Dracocactus, Euporteria, Friesia, Hildmannia, Horridocactus, Islaya, Neochilenia, Neoporteria, Neotanahashia, Netanahashia, Nichelia, Pyrrhocactus, Rodentiophila, Thelocephala","Chilean-Argentinean cactus genus; ~35 species; includes former Neoporteria, Horridocactus; many narrow endemics",Eriosyce,no,,Various EN/VU (DS 13/2013); CITES II,Collection/export prohibited without CITES permit,DS 13/2013 / CITES
7280315,Chile,,NATIONAL,,Eriosyce chilensis,Magnoliopsida,species,Cactaceae,Eriosyce chilensis,"Chilenia chilensis, Chilenia pseudochilensis, Echinocactus chilensis, Echinocactus chilensis confinis, Euporteria chilensis, Neochilenia chilensis, Neoporteria chilensis, Neoporteria chilensis confinis, Neoporteria pseudochilensis, Pyrrhocactus chilensis, Pyrrhocactus krausii",Chilean coast cactus; Coquimbo-Valpara<U+00ED>so; habitat loss to urbanisation and agriculture; poaching pressure,Eriosyce,no,,Vulnerable (DS 13/2013); CITES II,Collection/export prohibited,DS 13/2013 / CITES
7282015,Chile,,NATIONAL,,Leucostele chiloensis,Magnoliopsida,species,Cactaceae,Echinopsis chiloensis,NA,Quisco; columnar cactus of central Chile; common but CITES II listed; used in traditional medicine and landscaping,Leucostele,no,,CITES II <U+2014> export regulated,Export requires CITES permit,CITES / SAG regulations
7284740,Chile,,NATIONAL,,Eulychnia acida,Magnoliopsida,species,Cactaceae,Eulychnia acida,"Cereus acidus, Eulychnia acida elata, Eulychnia elata, Philippicereus acidus, Philippicereus elatus",Copao; Norte Chico columnar cactus; edible fruit (copao); CITES II; overharvesting of wild fruit and plant removal,Eulychnia,no,,CITES II <U+2014> export regulated,Export requires CITES permit,CITES / SAG regulations
3959821,Chile,,NATIONAL,,Austrocactus philippii,Magnoliopsida,species,Cactaceae,Austrocactus philippii,"Cereus philippii, Echinocactus philippii, Echinopsis philippii, Erdisia philippii",Rare Patagonian cactus; Chile-Argentina; <500 individuals known; extreme southern range for cacti,Austrocactus,no,,Endangered (DS 13/2013); CITES II,Collection/export prohibited,DS 13/2013 / CITES
7689,Chile,,NATIONAL,,Orchidaceae,Magnoliopsida,species,Orchidaceae,"Orchid, Orchid Family, Orchids, orchid family, orchids","Apostasiaceae, Cypripediaceae, Limodoraceae, Liparidaceae, Neottiaceae, Neuwiediaceae, Ophrydaceae, Pycnanthaceae, Vanillaceae",All Orchidaceae are CITES II; Chile has ~50 native orchid species; Chloraea and Bipinnula genera endemic; many poorly known,Orchidaceae,no,,CITES II <U+2014> export regulated,Export requires CITES permit,CITES / SAG regulations
5324825,Chile,,NATIONAL,,Chloraea crispa,Magnoliopsida,species,Orchidaceae,Chloraea crispa,"Asarca conspicua, Asarca crispa, Asarca cygnaea, Chloraea cygnaea",Endemic terrestrial orchid; central Chile; fire-adapted but threatened by habitat conversion; pollinator-dependent,Chloraea,no,,Vulnerable (DS 13/2013); CITES II,Collection/export prohibited,DS 13/2013 / CITES
5305815,Chile,,NATIONAL,,Bipinnula fimbriata,Magnoliopsida,species,Orchidaceae,Bipinnula fimbriata,"Bipinnula mystacina, Chloraea fimbriata, Jouyella fimbriata",Endemic Chilean orchid; Valpara<U+00ED>so-O'Higgins; highly specific pollination; fewer than 500 individuals estimated,Bipinnula,no,,Endangered (DS 13/2013); CITES II,Collection/export prohibited,DS 13/2013 / CITES
2753642,Chile,,NATIONAL,,Alstroemeria,Magnoliopsida,species,Alstroemeriaceae,"Lily of The Incas, lily of the Incas","Ligtu, Lilavia, Priopetalon, Schickendantzia, Taltalia",Lily of the Incas; ~35 Chilean species; many narrow endemics in Norte Chico; Desierto Florido; horticultural demand,Alstroemeria,no,,Various VU/EN (DS 13/2013),Collection regulated; some species prohibited,DS 13/2013
2753911,Chile,,NATIONAL,,Alstroemeria philippii,Magnoliopsida,species,Alstroemeriaceae,Alstroemeria philippii,NA,Atacama endemic; known from few coastal fog-dependent sites; extremely restricted range; bulb collection threat,Alstroemeria,no,,Endangered (DS 13/2013),Collection prohibited,DS 13/2013
3070782,Chile,,NATIONAL,,Avellanita bustillosii,Magnoliopsida,species,Euphorbiaceae,Avellanita,NA,Chilean hazelnut relative; Euphorbiaceae; Maule-O'Higgins; <200 individuals in fragmented populations,Avellanita,no,,Endangered (DS 13/2013),Collection prohibited,DS 13/2013
2959054,Chile,,NATIONAL,,Sophora toromiro,Magnoliopsida,species,Fabaceae,Toromiro,Edwardsia toromiro,Rapa Nui endemic tree; last wild tree died ~1960s; surviving in botanical gardens worldwide; reintroduction attempted,Sophora,no,,Extinct in Wild (DS 13/2013) <U+2014> Easter Island,Collection prohibited (ex situ conservation only),DS 13/2013 / Ley 18.362
3593441,Chile,,NATIONAL,,Paschalococos disperta,Magnoliopsida,species,Arecaceae,Palma de Pascua,NA,Easter Island palm; extinct since ~1650 AD; subfossil remains protected under Ley 17.288 (Monumentos Nacionales),Paschalococos,no,,Extinct <U+2014> Easter Island palm,No living specimens; archaeological protection,DS 13/2013
3987404,Chile,,NATIONAL,,Porlieria chilensis,Magnoliopsida,species,Zygophyllaceae,Guayac<U+00E1>n,NA,Chilean guaiacum; endemic to Norte Chico; extremely slow-growing; hard wood historically overexploited,Porlieria,no,,Vulnerable (DS 13/2013),Felling regulated,DS 13/2013 / Ley 20.283
7615284,Chile,,NATIONAL,,Pouteria splendens,Magnoliopsida,species,Sapotaceae,L<U+00FA>cumo chileno,NA,Chilean l<U+00FA>cumo; Coquimbo coast endemic; relict of tropical Tertiary flora; <500 individuals; coastal urbanisation threat,Pouteria,no,,Endangered (DS 13/2013),Felling/collection prohibited,DS 13/2013
5356263,Chile,,NATIONAL,,Adesmia balsamica,Magnoliopsida,species,Fabaceae,Adesmia balsamica,"Adesmia balsamica, Adesmia balsamifera, Patagonium balsamicum",Atacama endemic shrub; Papilionaceae; restricted to fog-influenced coastal hills; mining and grazing pressure,Adesmia,no,,Vulnerable (DS 13/2013),Collection regulated,DS 13/2013
3185559,Chile,,NATIONAL,,Myrceugenia colchaguensis,Magnoliopsida,species,Myrtaceae,Myrceugenia colchaguensis,"Eugenia colchaguensis, Eugenia thalassaia colchaguensis, Myrceugenia malvillana",O'Higgins endemic Myrtaceae; known from single population; <50 individuals; habitat conversion to agriculture,Myrceugenia,no,,Critically Endangered (DS 13/2013),Collection prohibited,DS 13/2013
2978552,Chile,,NATIONAL,,Acacia saligna,Magnoliopsida,species,Fabaceae,"Golden wreath wattle, Golden wreath wattle, Orange wattle, Blue-leafed wattle, Western Australian golden wattle, Orange wattle, Port Jackson wattle, Port Jackson-willow, Western Australian golden wattle, blue-leaf wattle, golden-wreath wattle, orange wattle, silver wattle, weeping wattle, willow wattle","Acacia bracteata, Acacia cyanophylla, Acacia cyanophylla cyanophylla, Acacia lindleyi, Mimosa saligna, Racosperma salignum",Major invasive in central Chile matorral; displaces native sclerophyllous shrubs; fire risk; biological control explored,Acacia,no,,Invasive <U+2014> control required,Control mandated,SAG / MMA regulations
2765940,Chile,,NATIONAL,,Pontederia crassipes,Magnoliopsida,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,Invasive in waterways of south-central Chile; blocks irrigation channels and disrupts aquatic ecosystems,Pontederia,no,,Invasive <U+2014> management required,Control mandated,SAG / MMA regulations
2951984,Chile,,NATIONAL,,Ulex europaeus,Magnoliopsida,species,Fabaceae,"Common gorse, European gorse, Gorse, common gorse, furze, gorse","Genista europaea, Ulex talenceanus",Espinillo; highly flammable invasive in south-central Chile; dense thickets displace native forest; fire accelerant,Ulex,no,,Invasive <U+2014> control required,Control mandated; import prohibited,SAG / MMA regulations
2996929,Chile,,NATIONAL,,Rubus ulmifolius,Magnoliopsida,species,Rosaceae,"Elmleaf blackberry, Giant Blackberry, elm-leaf blackberry, elm-leaved blackberry, elmleaf blackberry","Rosa andegavensis lemaitrei, Rubus abruptus, Rubus aetneus, Rubus albescens, Rubus albiflorus, Rubus amoenus, Rubus amoenus hispanicus, Rubus amoenus microphyllus, Rubus anchostachys, Rubus apiculifer, Rubus appenninus, Rubus argillaceus, Rubus avellanus, Rubus bastardianus, Rubus bellidiflorus, Rubus bifrons laciniatus, Rubus bouvetii, Rubus brachiatus, Rubus bujedanus, Rubus calcareus, Rubus caldesianus, Rubus cannabinus, Rubus castellanus, Rubus chlorocarpus, Rubus cocullotinus, Rubus collivagus, Rubus confusus, Rubus congestus, Rubus constrictifolius, Rubus controversus, Rubus corylifolius laciniatus, Rubus crispulus, Rubus cruentiflorus, Rubus cuneatus, Rubus cyrenaicae, Rubus dalmatinus, Rubus debilis, Rubus discolor, Rubus discolor rusticanus, Rubus discolor ulmifolius, Rubus disjunctifolius, Rubus dispalatus, Rubus dispalatus belonacanthus, Rubus edouardii, Rubus expallescens, Rubus flagellaris inermis, Rubus floccosus, Rubus frangipani, Rubus fruticosus discolor, Rubus fruticosus inermis, Rubus fruticosus laciniatus, Rubus fruticosus macrostemon, Rubus fruticosus panormitanus, Rubus fruticosus ulmifolius, Rubus gerundensis, Rubus glandulosus lejeunei, Rubus glaphyrus, Rubus hedycarpus macrostemon, Rubus heteromorphus, Rubus hispanicus, Rubus inermis, Rubus insignitus, Rubus karsterianus, Rubus karstianus, Rubus laciniatus, Rubus latifrons, Rubus legatianus, Rubus legionensis, Rubus lejeunei, Rubus lemaitrei, Rubus lephracanthus, Rubus longiflorens, Rubus longipetiolatus, Rubus macrobelus, Rubus macrostemon, Rubus maroccensis, Rubus massiliensis",Zarzamora; aggressive invader of riparian areas and disturbed land in central-south Chile; Juan Fern<U+00E1>ndez threat,Rubus,no,,Invasive <U+2014> management required,Control mandated,SAG / MMA regulations
5354656,Chile,,NATIONAL,,Cytisus scoparius,Magnoliopsida,species,Fabaceae,"Broom, Broomtops, Common Broom, Common broom, English Broom, English broom, European Broom, European broom, Irish Broom, Irish broom, Scot's broom, Scotch Broom, Scotch broom, Scotchbroom, Scottish Broom, Scottish broom, broom, broomtops, commom-broom, common broom","Corema scoparium, Cytiscus scoparius, Cytisogenista scoparia, Cytisus scoparius scoparius, Genista scoparia, Genista scoparia vulgaris, Genista vulgaris, Sarothamnus scoparius, Sarothamnus scoparius scoparius, Sarothamnus vulgaris, Sarothamnus vulgaris scoparius",Retama; nitrogen-fixing shrub invading Araucan<U+00ED>a-Los Lagos; displaces native understorey; fire risk,Cytisus,no,,Invasive <U+2014> control required,Control mandated; import prohibited,SAG / MMA regulations
5285727,Chile,,NATIONAL,,Pinus radiata,Pinopsida,species,Pinaceae,"Cedros Island Pine, Guadalupe Island Pine, Monterey Pine, Monterey pine, insignis pine, monterey-pine, radiata pine, Insignis Pine, Radiata Pine","Pinus californica, Pinus montereyensis",Pino insigne; dominant plantation species; self-seeds into native forest margins; displaces native Nothofagus regeneration,Pinus,no,,Plantation species <U+2014> naturalization monitored,Managed as forestry; wild spread controlled,SAG / CONAF regulations
