GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_pe,restriction_type,governing_law
3057776,Peru,,NATIONAL,,Croton lechleri,Magnoliopsida,species,Euphorbiaceae,Sangre de grado,"Croton draco cordatus, Oxydectes lechleri",Red latex used traditionally for wound healing; Amazonian foothills; over-tapped wild trees; ABS and traditional knowledge protections apply,Croton,no,,EN (DS 043-2006-AG),Harvest regulated,DS 043-2006-AG / Ley 27811
3850700,Peru,,NATIONAL,,Cedrela lilloi,Magnoliopsida,species,Meliaceae,Cedro de altura,"Cedrela herrerae, Cedrela steinbachii","High-altitude cedar; yungas 2,000<U+2013>3,200 m; severely logged; CITES App. III listing for Meliaceae",Cedrela,no,,EN (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG / CITES
7294305,Peru,,NATIONAL,,Cantua buxifolia,Magnoliopsida,species,Polemoniaceae,"magic-flower, magic-flower-of-the-Incas, magictree, sacred-flower-of-the-Incas","Cantua buxifolia, Cantua dependens, Cantua splendens, Periphragmos dependens","Sacred flower of the Incas; Peru national flower; Andean valleys 2,500<U+2013>3,500 m; threatened by habitat loss and urbanisation",Cantua,no,,VU (DS 043-2006-AG) <U+2014> National Flower,Habitat protection,DS 043-2006-AG
4935158,Peru,,NATIONAL,,Masdevallia veitchiana,Liliopsida,species,Orchidaceae,Masdevallia orchid,NA,Andean cloud forest orchid; Cusco-Machu Picchu region; prized in horticulture; wild populations depleted by collection,Masdevallia,no,,VU (DS 043-2006-AG / CITES App. II),Collection/trade regulated,DS 043-2006-AG / CITES
2814287,Peru,,NATIONAL,,Phragmipedium kovachii,Liliopsida,species,Orchidaceae,Kovach's Phragmipedium,Phragmipedium peruvianum,Discovered 2002 Amazonas region; largest New World slipper orchid; CITES App. I; illegal collection led to population crash,Phragmipedium,no,,VU (DS 043-2006-AG / CITES App. I),Trade prohibited,DS 043-2006-AG / CITES
2812553,Peru,,NATIONAL,,Anguloa uniflora,Liliopsida,species,Orchidaceae,Anguloa uniflora,Anguloa uniflora treyeranii,"Tulip orchid; Andean cloud forests 1,500<U+2013>2,500 m; epiphytic; prized horticulturally; CITES-regulated trade",Anguloa,no,,VU (DS 043-2006-AG / CITES App. II),Collection/trade regulated,DS 043-2006-AG / CITES
5377042,Peru,,NATIONAL,,Lepidium meyenii,Magnoliopsida,species,Brassicaceae,"Peruvian-ginseng, maca","Lepidium affine, Lepidium gelidum, Lepidium meyenii rhombicum, Lepidium meyenii rotundatum, Lepidium meyenii gelidum, Lepidium meyenii affine, Lepidium orbignyanum, Lepidium peruvianum, Lepidium weddellii","Andean tuber crop; Junin puna 4,000+ m; high commercial value; genetic resources protected under ABS and traditional knowledge law",Lepidium,no,,VU (DS 043-2006-AG); ABS protected,Export of genetic material restricted,DS 043-2006-AG / Ley 27811
2958521,Peru,,NATIONAL,,Tara spinosa,Magnoliopsida,species,Fabaceae,"spiny holdback, tara, Tara",NA,Tannin-producing tree; dry inter-Andean valleys; commercially harvested for tara gum and tannins; wild stands declining,Tara,no,,VU (DS 043-2006-AG),Harvest regulated,DS 043-2006-AG / Ley Forestal
5358525,Peru,,NATIONAL,,Prosopis pallida,Magnoliopsida,species,Fabaceae,"Mesquite, kiawe","Acacia pallida, Mitostax pallida, Neltuma pallida, Prosopis pallida armata",Dry coastal forest keystone species; Piura-Lambayeque; severe charcoal logging; critical for dryland ecosystems,Prosopis,no,,VU (DS 043-2006-AG),Logging prohibited,DS 043-2006-AG / Ley Forestal
7286883,Peru,,NATIONAL,,Bursera graveolens,Magnoliopsida,species,Burseraceae,Palo santo,Bursera graveolens graveolens,Aromatic dry forest tree; Tumbes-Piura; high demand for essential oils and incense; only fallen wood harvest permitted,Bursera,no,,VU (DS 043-2006-AG),Harvest regulated,DS 043-2006-AG / regional rules
3190484,Peru,,NATIONAL,,Swietenia macrophylla,Magnoliopsida,species,Meliaceae,"Big Leaf Mahogany, Big-leaf Mahogany, Brazilian Mahogany, Honduran mahogany, Honduras Mahogany, Honduras mahogany, Large-leaved Mahogany, mahogany, Bigleaf Mahogany","Swietenia belizensis, Swietenia candollei, Swietenia krukovii, Swietenia macrophylla marabaensis, Swietenia tesomannii, Swietenia tessmannii",Big-leaf mahogany; Amazon lowlands; most commercially valuable tropical timber; CITES App. II since 2003; intensive illegal logging,Swietenia,no,,EN (DS 043-2006-AG / CITES App. II),Logging/trade regulated,DS 043-2006-AG / CITES / Ley Forestal
3190511,Peru,,NATIONAL,,Cedrela odorata,Magnoliopsida,species,Meliaceae,"Barbados-cedar, Cedar, Cigar-box wood, Spanish cedar, West Indian cedar, Cigar-box Wood, Mexican cedar, Mexican-cedar, Red Cedar, Spanish Cedar, Spanish cedar, Spanish-cedar, West Indian-cedar, cigar-box-cedar","Cedrela adenophylla, Cedrela amara, Cedrela angustifolia, Cedrela boliviana, Cedrela brachystachva, Cedrela brachystachya, Cedrela brownei, Cedrela brownii, Cedrela caldasana, Cedrela cedro, Cedrela ciliolata, Cedrela cubensis, Cedrela dugesii, Cedrela glaziouvii, Cedrela glaziovii, Cedrela guianensis, Cedrela hassleri, Cedrela imparipinnata, Cedrela longipes, Cedrela longipetiolulata, Cedrela mexicana, Cedrela mexicana puberula, Cedrela mourae, Cedrela occidentalis, Cedrela odorata, Cedrela odorata xerogeiton, Cedrela palustris, Cedrela paraguariensis, Cedrela paraguariensis brachystachya, Cedrela paraguariensis hassleri, Cedrela paraguariensis multijuga, Cedrela rotunda, Cedrela sintenisii, Cedrela velloziana, Cedrela vellozoana, Cedrela whitfordii, Cedrela yucatana, Cedrus odorata, Pterosiphon multinervis, Pterosiphon multivenius, Surenus angustifolia, Surenus brownei, Surenus glaziouvii, Surenus glaziovii, Surenus guianensis, Surenus mexicana, Surenus paraguariensis, Surenus velloziana, Surenus vellozoana",Tropical cedar; lowland to montane forests; high-value timber; CITES App. III; logging permits required from SERFOR,Cedrela,no,,VU (DS 043-2006-AG / CITES App. III),Logging/trade regulated,DS 043-2006-AG / CITES / Ley Forestal
2901375,Peru,,NATIONAL,,Cinchona calisaya,Magnoliopsida,species,Rubiaceae,"Chinabark, Quinine, ledgerbark, quinine, yellow cinchona, yellowbark","Cinchona amygdalifolia, Cinchona australis, Cinchona calisaya boliviana, Cinchona calisaya josephiana, Cinchona calisaya ledgeriana, Cinchona calisaya microcarpa, Cinchona calisaya oblongifolia, Cinchona calisaya vera, Cinchona carabayensis, Cinchona carabayensis lanceolata, Cinchona delondriana, Cinchona euneura, Cinchona forbesiana, Cinchona gammiana, Cinchona gironensis, Cinchona hasskarliana, Cinchona josephiana, Cinchona ledgeriana, Cinchona officinalis josephiana, Cinchona pahudiana, Cinchona peruviana, Cinchona peruviana vera, Cinchona scrobiculata delondriana, Cinchona thwaitesii, Cinchona weddelliana, Cinchona weddelliana angustifolia, Cinchona weddelliana multiscrobiculata, Cinchona weddelliana rubrifolia, Cinchona weddelliana rubrivenata, Quinquina calisaya, Quinquina carabayensis, Quinquina carabayensis villosa, Quinquina ledgeriana",Yellow bark cinchona; southern Andes Puno-Cusco; quinine source; historically over-collected; CITES-controlled,Cinchona,no,,VU (DS 043-2006-AG / CITES App. II),Collection regulated,DS 043-2006-AG / CITES
3083180,Peru,,NATIONAL,,Bertholletia excelsa,Magnoliopsida,species,Lecythidaceae,"Brazil-nut, Brazil-nut Tree, Brazilnut, Brazilnut-tree, Paranut, brazilnut, creamnut, Para Nut","Barthollesia excelsa, Bertholletia excelsa, Bertholletia nobilis",Madre de Dios dominant canopy tree; nut harvest exclusive to concession holders; felling prohibited; long-lived emergent,Bertholletia,no,,VU <U+2014> regional concession system,Harvest by concession only,DS 043-2006-AG / regional ordinances
2801036,Peru,,NATIONAL,,Cattleya maxima,Liliopsida,species,Orchidaceae,Cattleya maxima,"Cattleya malouana, Cattleya maxima alba, Cattleya maxima aphlebia, Cattleya maxima backhousii, Cattleya maxima hrubyana, Cattleya maxima marchettiana, Epidendrum maximum",Large-flowered epiphytic orchid; northern Peru dry forests; widely collected for horticulture; CITES-regulated,Cattleya,no,,VU (DS 043-2006-AG / CITES App. II),Collection/trade regulated,DS 043-2006-AG / CITES
5313430,Peru,,NATIONAL,,Lycaste macrophylla,Liliopsida,species,Orchidaceae,Lycaste orchids,"Lycaste filomenoi, Lycaste macrophylla filomenoi, Lycaste macrophylla neglecta, Lycaste macrophylla plana, Lycaste macrophylla alba, Lycaste neglecta, Lycaste plana, Maxillaria macrophylla, Maxillaria phyllomega",Large-flowered cloud forest orchid; multiple Peruvian Lycaste species under CITES; collected for international trade,Lycaste,no,,VU (DS 043-2006-AG / CITES App. II),Collection/trade regulated,DS 043-2006-AG / CITES
5622352,Peru,,NATIONAL,,Trichocereus macrogonus,Magnoliopsida,species,Cactaceae,"San Pedro cactus, San Pedro Cactus",NA,"Columnar cactus; Andean slopes 2,000<U+2013>3,000 m; traditional ceremonial use; all Cactaceae CITES App. II; cultural significance",Trichocereus,no,,VU (DS 043-2006-AG / CITES App. II),Collection/trade regulated,DS 043-2006-AG / CITES
7281309,Peru,,NATIONAL,,Trichocereus macrogonus,Magnoliopsida,species,Cactaceae,Peruvian torch cactus,NA,Columnar cactus; western Andean slopes; all cacti under CITES App. II; traditional medicinal and ceremonial use,Trichocereus,no,,VU (DS 043-2006-AG / CITES App. II),Collection/trade regulated,DS 043-2006-AG / CITES
7281583,Peru,,NATIONAL,,Matucana haynii,Magnoliopsida,species,Cactaceae,Matucana cactus,NA,Globular cactus endemic to central Peru; Lima-Junin; highly sought by collectors; CITES App. II; small fragmented populations,Matucana,no,,VU (DS 043-2006-AG / CITES App. II),Collection/trade regulated,DS 043-2006-AG / CITES
5338267,Peru,,NATIONAL,,Uncaria tomentosa,Magnoliopsida,species,Rubiaceae,cat's-claw,"Cinchona globifera, Nauclea aculeata, Nauclea polycephala, Nauclea surinamensis, Nauclea tomentosa, Ourouparia polycephala, Ourouparia tomentosa, Uncaria surinamensis, Uncaria tomentosa dioica",Amazonian medicinal liana; traditional Ashaninka remedy; high international demand; genetic resources and traditional knowledge protected,Uncaria,no,,ABS protected <U+2014> Ley 27811,Harvest regulated; ABS applies,Ley 27811 / Ley 26839
3191340,Peru,,NATIONAL,,Banisteriopsis caapi,Magnoliopsida,species,Malpighiaceae,"ayahuasca, soulvine","Banisteria caapi, Banisteria inebrians, Banisteria quitensis, Banisteriopsis inebrians, Banisteriopsis quitensis",Sacred Amazonian vine; ceremonial use by multiple indigenous groups; protected as cultural patrimony; commercial tourism harvest regulated,Banisteriopsis,no,,ABS protected <U+2014> Ley 27811; cultural patrimony,Harvest regulated; cultural use,Ley 27811 / RM 836-2008-MINSA
3070717,Peru,,NATIONAL,,Plukenetia volubilis,Magnoliopsida,species,Euphorbiaceae,Inca-peanut,"Fragariopsis paxii, Plukenetia macrostyla, Plukenetia peruviana, Sajorium volubile",Amazonian oilseed vine; high omega-3 content; rapid commercialisation; genetic resources under ABS framework; traditional knowledge protections,Plukenetia,no,,ABS protected <U+2014> Ley 27811,Export of genetic material restricted,Ley 27811 / Ley 26839
10342163,Peru,,NATIONAL,,Myrciaria dubia,Magnoliopsida,species,Myrtaceae,Camu camu,"Eugenia divaricata, Eugenia grandiglandulosa, Marlierea macedoi, Myrciaria caurensis, Myrciaria divaricata, Myrciaria dubia, Myrciaria lanceolata, Myrciaria lanceolata angustifolia, Myrciaria lanceolata glomerata, Myrciaria lanceolata laxa, Myrciaria obscura, Myrciaria paraensis, Myrciaria phillyraeoides, Myrciaria riedeliana, Myrciaria spruceana, Myrtus phillyraeoides, Psidium dubium",World's highest natural vitamin C content; Amazonian floodplain fruit; wild populations regulated; export of unprocessed genetic material restricted,Myrciaria,no,,ABS protected <U+2014> sustainable use framework,Harvest regulated,Ley 26839 / Ley 27811 / MINAM ABS
5294777,Peru,,NATIONAL,,Mauritia flexuosa,Liliopsida,species,Arecaceae,Aguaje palm,"Mauritia flexuosa venezuelana, Mauritia minor, Mauritia sagus, Mauritia setigera, Mauritia sphaerocarpa, Mauritia vinifera, Saguerus americanus",Amazon swamp palm; massive harvest for aguaje fruit; females felled destructively; sustainable climbing harvest promoted,Mauritia,no,,Heavily exploited <U+2014> monitoring required,Harvest regulated in key zones,DS 043-2006-AG / regional rules
3071171,Peru,,NATIONAL,,Hevea brasiliensis,Magnoliopsida,species,Euphorbiaceae,"Para Rubber Tree, Para rubber, Pará Rubber Tree, Rubber Plant, Rubber Tree, Sharinga Tree, hevea, natural rubber, rubber tree, rubbertree, Natural Rubber","Hevea brasiliensis acreana, Hevea brasiliensis angustifolia, Hevea brasiliensis latifolia, Hevea brasiliensis randiana, Hevea brasiliensis granthamii, Hevea brasiliensis janeirensis, Hevea brasiliensis stylosa, Hevea granthamii, Hevea janeirensis, Hevea randiana, Hevea sieberi, Siphonia brasiliensis, Siphonia janeirensis, Siphonia ridleyana",Wild Amazonian rubber; Madre de Dios-Loreto; historical boom species; genetic diversity conservation for breeding programmes,Hevea,no,,ABS protected <U+2014> genetic resources,Harvest regulated,Ley 26839 / Ley 27811
5357190,Peru,,NATIONAL,,Myroxylon balsamum,Magnoliopsida,species,Fabaceae,"Balsam of Tolu, balsam of Tolu","Myrospermum balsamiferum, Myrospermum pereirae, Myrospermum punctatum, Myrospermum sonsonatense, Myrospermum toluiferum, Myroxylon balsamum balsamum, Myroxylon balsamum genuinum, Myroxylon balsamum pereirae, Myroxylon balsamum punctatum, Myroxylon hanburyanum, Myroxylon pereirae, Myroxylon punctatum, Myroxylon sonsouatense, Myroxylon toluiferum, Toluifera balsamum, Toluifera balsamum pereirae, Toluifera balsamum punctata, Toluifera pereirae, Toluifera punctata",Balsam-producing tree; lowland Amazon forests; medicinal resin; over-tapped in accessible areas; NTFP harvest permits required,Myroxylon,no,,VU (DS 043-2006-AG),Harvest regulated,DS 043-2006-AG / Ley Forestal
5553148,Peru,,NATIONAL,,Victoria amazonica,Magnoliopsida,species,Nymphaeaceae,"Amazon water-lily, Victoria-lily, royal water-lily","Anneslea amazonica, Anneslea brasiliana, Euryale amazonica, Euryale brasiliana, Nymphaea nelumbo, Nymphaea regina, Nymphaea victoria, Victoria amazonica, Victoria amazonum, Victoria regalis, Victoria regia, Victoria regia randii, Victoria regia regia, Victoria regina, Victoria reginae",Iconic Amazon wetland plant; floating leaves to 3 m; Loreto and Madre de Dios regions; habitat protected,Victoria,no,,Protected habitat (Amazon biome),Habitat protection,Ley 26839 / Decreto 1076
2977636,Peru,,NATIONAL,,Pueraria montana,Magnoliopsida,species,Fabaceae,"Kudzu, kudzu, kudzu vine, Japanese Arrowroot, Kudzu Vine","? chinensis, Dolichos grandiflorus, Dolichos grandifolius, Dolichos montanus, Glycine moniliforme, Pueraria lobata chinensis, Pueraria lobata montana, Pueraria montana chinensis, Pueraria omeiensis, Pueraria thumbergiana",Major invasive in Amazonian buffer zones; smothers native vegetation; spreads along deforestation fronts,Pueraria,no,,Invasive <U+2014> control measures active,Control mandated in key areas,SERNANP management plans
2765940,Peru,,NATIONAL,,Pontederia crassipes,Liliopsida,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,Clogs Amazonian oxbow lakes and peri-urban waterways; major management problem in Iquitos region and Lake Titicaca,Pontederia,no,,Invasive <U+2014> management mandated,Control mandated,MINAM / ANA regulations
2703041,Peru,,NATIONAL,,Arundo donax,Liliopsida,species,Poaceae,"Arundo grass, Bamboo reed, Cow cane, Donax cane, Giant cane, River cane, Spanish cane/reed, Wild cane, Reedgrass, Cana brava, Giant Reed, Giant reed, Spanish-reed, giant-reed","Aira bengalensis, Amphidonax bengalensis, Amphidonax bifaria, Arundo aegyptia, Arundo aegyptiaca, Arundo bambusifolia, Arundo bengalensis, Arundo bifaria, Arundo coleotricha, Arundo coleotricha barbigera, Arundo coleotricha versicolor, Arundo donax donax, Arundo donax versicolor, Arundo donax angustifolia, Arundo donax barbigera, Arundo donax coleotricha, Arundo donax lanceolata, Arundo donax picta, Arundo donax procerior, Arundo donax tsibi, Arundo donax variegata, Arundo glauca, Arundo latifolia, Arundo longifolia, Arundo sativa, Arundo scriptoria, Arundo triflora, Arundo versicolor, Cynodon donax, Donax arundinaceus, Donax bengalensis, Donax bifarius, Donax donax, Donax sativa, Donax sativus, Donax versicolor, Scolochloa arundinacea, Scolochloa donax",Aggressive riparian invader; coastal river valleys; displaces native riparian vegetation; increases fire risk; water consumption impact,Arundo,no,,Invasive <U+2014> control in riparian zones,Control mandated,MINAM / ANA regulations
3172574,Peru,,NATIONAL,,Spathodea campanulata,Magnoliopsida,species,Bignoniaceae,"African Tulip Tree, African tulip tree, Fireball, Flame of the forest, Fountain tree, African tuliptree, African-tuliptree, Fountain Tree, Nandi Flame, fireball, flame-of-the-forest, flametree, fountain tree, tuliptree, African tulip tree","Bignonia tulipifera, Spathodea campanulata congolana, Spathodea campanulata nilotica, Spathodea danckelmaniana, Spathodea nilotica, Spathodea nilotica bryanii, Spathodea tulipifera",Ornamental escape; invades cloud forest edges and disturbed areas; toxic nectar kills native pollinators; spreads rapidly in yungas,Spathodea,no,,Invasive <U+2014> eradication in protected areas,Removal mandated in ANPs,SERNANP management plans
