GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_ph,restriction_type,governing_law
3083161,Philippines,,NATIONAL,,Petersianthus quadrialatus,Magnoliopsida,species,Lecythidaceae,Philippine Rosewood,"Combretodendron quadrialatum, Terminalia quadrialata",Major timber dipterocarp; over-exploited in lowland forests,Petersianthus,no,,Endangered (DAO 2019-09),Regulated harvest,RA 9147 / Forestry Code
3849613,Philippines,,NATIONAL,,Toona calantas,Magnoliopsida,species,Meliaceae,"Philippine Cedar, Philippine-cedar, Philippine-mahogany, kalantas","Cedrela calantas, Cedrela febrifuga inodora, Cedrela inodora, Cedrela odorata, Surenus inodora, Toona inodora, Toona paucijuga, Toona philippinensis, Toona sureni inodora, Toona sureni philippinensis",Kalantas; premier timber; severely depleted by logging; scattered remnants,Toona,no,,Vulnerable (DAO 2019-09),Felling prohibited,RA 9147 / DAO 2019-09
3190527,Philippines,,NATIONAL,,Dracontomelon dao,Magnoliopsida,species,Anacardiaceae,"Argus pheasant tree, Argus pheasant-tree","Comeurya cumingiana, Dracontomelon brachyphyllum, Dracontomelon celebicum, Dracontomelon cumingianum, Dracontomelon edule, Dracontomelon lamiyo, Dracontomelon lamujo, Dracontomelon laxum, Dracontomelon mangiferum, Dracontomelon mangiferum puberulum, Dracontomelon mangiferum pubescens, Dracontomelon puberulum, Dracontomelon sylvestre, Dracontomelum mangiferum, Paliurus dao, Paliurus edulis, Paliurus lamiyo, Paliurus lamujo, Poupartia mangifera, Poupartia pinnata",Large emergent tree; edible fruit; heavily logged for timber,Dracontomelon,no,,Vulnerable (DAO 2019-09),Regulated harvest,RA 9147 / Forestry Code
4096255,Philippines,,NATIONAL,,Shorea astylosa,Magnoliopsida,species,Dipterocarpaceae,Balau / Yakal,NA,Premium hardwood dipterocarp; near-extinct in wild due to logging,Shorea,no,,Critically Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
10787330,Philippines,,NATIONAL,,Nepenthes samar,Magnoliopsida,species,Nepenthaceae,Samar pitcher plant,NA,Samar Island endemic carnivorous plant; ultramafic soils,Nepenthes,no,,Vulnerable (DAO 2019-09),Collection/trade regulated,RA 9147 / DAO 2019-09
3702212,Philippines,,NATIONAL,,Nepenthes truncata,Magnoliopsida,species,Nepenthaceae,Giant pitcher plant,Nepenthes megamphora,Mindanao highland pitcher plant; horticultural trade threat,Nepenthes,no,,Vulnerable (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
7219388,Philippines,,NATIONAL,,Nepenthes palawanensis,Magnoliopsida,species,Nepenthaceae,Palawan pitcher plant,NA,Palawan endemic; highland carnivorous plant,Nepenthes,no,,Vulnerable (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
2825516,Philippines,,NATIONAL,,Paphiopedilum philippinense,Magnoliopsida,species,Orchidaceae,Philippine Paphiopedilum,"Cordula philippinensis, Cypripedium philippinense, Cypripedium philippinense roebelenii, Cypripedium roebelenii, Paphiopedilum philippinense, Paphiopedilum roebelenii",Multi-flowered slipper orchid; Palawan and Sulu; heavy illegal collection,Paphiopedilum,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
5317306,Philippines,,NATIONAL,,Dendrobium gerlandianum,Magnoliopsida,species,Orchidaceae,Philippine dendrobium,NA,Endemic Dendrobium; all orchids CITES Appendix II; horticultural demand,Dendrobium,no,,Vulnerable (DAO 2019-09),Collection/trade regulated,RA 9147 / DAO 2019-09
5316215,Philippines,,NATIONAL,,Dendrobium sanderae,Magnoliopsida,species,Orchidaceae,Sanderiana dendrobium,"Dendrobium sanderae luzonicum, Dendrobium sanderae major, Dendrobium sanderae majus, Dendrobium sanderae milleri, Dendrobium sanderae parviflorum, Dendrobium sanderae surigaense",Luzon endemic orchid; prized white flowers; heavily over-collected,Dendrobium,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / DAO 2019-09
2783246,Philippines,,NATIONAL,,Vanda luzonica,Magnoliopsida,species,Orchidaceae,Philippine Vanda,Vanda luzonica,Luzon endemic orchid; closely related to V. sanderiana; habitat loss,Vanda,no,,Vulnerable (DAO 2019-09),Collection/trade regulated,RA 9147 / DAO 2019-09
5311007,Philippines,,NATIONAL,,Phalaenopsis amabilis,Magnoliopsida,species,Orchidaceae,Manila orchid,"Cymbidium amabile, Epidendrum amabile, Phalaenopsis amabilis ramosa, Synadena amabilis",Moon orchid; all Phalaenopsis CITES II; widely cultivated but wild populations declining,Phalaenopsis,no,,Other Wildlife Species (DAO 2019-09),Collection permit required,RA 9147 / DAO 2019-09
5310902,Philippines,,NATIONAL,,Phalaenopsis philippinensis,Magnoliopsida,species,Orchidaceae,Philippine moth orchid,Phalaenopsis philippinensis,Palawan endemic Phalaenopsis; lowland forest epiphyte; habitat conversion threat,Phalaenopsis,no,,Vulnerable (DAO 2019-09),Collection/trade regulated,RA 9147 / DAO 2019-09
5349242,Philippines,,NATIONAL,,Pterocarpus indicus,Magnoliopsida,species,Fabaceae,"Amboyna Wood, Amboyna-wood, Andaman redwood, Burmese rosewood, Malay padauk, Papua New Guinea rosewood, Philippine-mahogany, Red Sandalwood, Burmese Rosewood","Echinodiscus echinatus, Lingoum echinatum, Lingoum indicum, Lingoum rubrum, Lingoum saxatile, Lingoum wallichii, Malaparius flavus, Pterocarpus blancoi, Pterocarpus carolinensis, Pterocarpus casteelsii ealaensis, Pterocarpus echinatus, Pterocarpus flavus, Pterocarpus indicus echinatus, Pterocarpus klemmei, Pterocarpus luteus, Pterocarpus obtusatus, Pterocarpus pallidus, Pterocarpus papuana, Pterocarpus pubescens, Pterocarpus santalinus, Pterocarpus saxatilis, Pterocarpus wallichii, Pterocarpus zollingeri",Philippine national tree; strictly protected from cutting; CITES II since 2019,Pterocarpus,no,,Protected (National Tree),Felling prohibited,RA 9147 / PD 652
7685317,Philippines,,NATIONAL,,Dipterocarpus grandiflorus,Magnoliopsida,species,Dipterocarpaceae,Dipterocarp (apitong),"Dipterocarpus blancoi, Dipterocarpus grandiflorus, Dipterocarpus griffithii, Dipterocarpus motleyanus, Dipterocarpus pterygocalyx, Mocanera grandiflora, Vatica trigyna",Dominant lowland forest tree; heavy commercial logging history,Dipterocarpus,no,,Vulnerable (DAO 2019-09),Regulated harvest,RA 9147 / Forestry Code
4097396,Philippines,,NATIONAL,,Shorea polysperma,Magnoliopsida,species,Dipterocarpaceae,dark-red Philippine-mahogany,"Dipterocarpus polyspermus, Hopea tangili, Mocanera polysperma, Shorea teijsmanniana, Shorea warburgii",Major timber species; rapid decline due to selective logging,Shorea,no,,Vulnerable (DAO 2019-09),Regulated harvest,RA 9147 / Forestry Code
4097008,Philippines,,NATIONAL,,Pentacme contorta,Magnoliopsida,species,Dipterocarpaceae,"white lauan, White Lauan",NA,Light commercial timber; lowland dipterocarp forests; widespread logging,Pentacme,no,,Vulnerable (DAO 2019-09),Regulated harvest,RA 9147 / Forestry Code
4097422,Philippines,,NATIONAL,,Anthoshorea polita,Magnoliopsida,species,Dipterocarpaceae,White Meranti,NA,Prized Philippine mahogany group timber; severely over-logged,Anthoshorea,no,,Vulnerable (DAO 2019-09),Regulated harvest,RA 9147 / Forestry Code
2925563,Philippines,,NATIONAL,,Vitex parviflora,Magnoliopsida,species,Lamiaceae,"Smallflower chastetree, smallflower chastetree","Vitex altissima, Vitex cofassus timorensis, Vitex geniculata, Vitex glaberrima, Vitex glandulosa, Vitex latifolia, Vitex leucoxylon, Vitex littoralis, Vitex parviflora sterilis, Vitex parviflora puberulenta, Vitex timoriensis",Premium hardwood; extremely durable; near-extinct from over-harvest; LGU protections,Vitex,no,,Vulnerable (DAO 2019-09),Felling prohibited,RA 9147 / DAO 2019-09
2963211,Philippines,,NATIONAL,,Intsia bijuga,Magnoliopsida,species,Fabaceae,"Borneo Teak, Borneo-teak, Ifil, Johnstone River-teak, Moluccan ironwood, Pacific-teak, ifil, scrub-mahogany, Moluccan Ironwood","Afzelia bijuga, Afzelia cambodiensis, Intsia bijuga glabra, Intsia moeleri, Macrolobium bijugum, Outea bijuga, Outes bijuga",Merbau; heavy hardwood; mangrove-adjacent forests; over-exploited for furniture,Intsia,no,,Vulnerable (DAO 2019-09),Regulated harvest,RA 9147 / Forestry Code
5285824,Philippines,,NATIONAL,,Pinus kesiya,Pinopsida,species,Pinaceae,"Benguet pine, Khasi pine, Khasia Pine, Luzon Pine, Benguet Pine, Khasi Pine",Pinus kesiya,Dominant Cordillera pine; indigenous Muyong system; FPIC required for harvest,Pinus,no,,Protected (Cordillera Watershed),Regulated harvest,RA 9147 / IPRA (RA 8371)
3086527,Philippines,,NATIONAL,,Rhizophora mucronata,Magnoliopsida,species,Rhizophoraceae,"Asiatic Mangrove, Mangrove, True Mangrove, loop-root mangrove, mangrove, red mangrove, Loop-root Mangrove, Red Mangrove","Mangium candelarium, Rhizophora candelaria, Rhizophora latifolia, Rhizophora longissima, Rhizophora macrorrhiza, Rhizophora mangle, Rhizophora mucronata reducta, Rhizophora mucronata alokii, Rhizophora rugens",Dominant mangrove species; cutting banned in mangrove reserves; coastal protection,Rhizophora,no,,Protected (Mangrove areas),Cutting prohibited in reserves,RA 7586 / Fisheries Code (RA 8550)
5285119,Philippines,,NATIONAL,,Pinus merkusii,Pinopsida,species,Pinaceae,"Merkus Pine, Merkus pine, Merkus's Pine, Mindoro pine, Sumatra pine, Sumatran Pine, Tenasserim pine, Mindoro Pine","Pinus finlaysoniana, Pinus merkusii ustulata, Pinus sumatrana, Pinus ustulata",Zambales and Mindoro populations; protected within NIPAS areas; fire-adapted,Pinus,no,,Vulnerable (DAO 2019-09),Collection/trade regulated,RA 9147 / RA 7586
4930496,Philippines,,NATIONAL,,Nepenthes peltata,Magnoliopsida,species,Nepenthaceae,Hamiguitan pitcher plant,NA,Mt Hamiguitan UNESCO World Heritage Site; strictly protected; ultramafic endemic,Nepenthes,no,,Endangered (DAO 2019-09),Collection/trade prohibited,RA 9147 / RA 7586
2818527,Philippines,,NATIONAL,,Coelogyne glumacea,Magnoliopsida,species,Orchidaceae,Kitanglad orchid,NA,Mt Kitanglad Range NP; PAMB absolute collection ban on all wild orchids,Coelogyne,no,,Protected (NIPAS site species),Collection banned in PA,RA 7586 / PAMB resolution
7967590,Philippines,,NATIONAL,,Cassia nodosa,Magnoliopsida,species,Fabaceae,Palawan cherry blossom,NA,PCSD clearance required for any collection in Palawan; ECAN-zoned protection,Cassia,no,,Vulnerable (DAO 2019-09),Collection/trade regulated,RA 9147 / RA 7586
2765940,Philippines,,NATIONAL,,Pontederia crassipes,Magnoliopsida,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,Major freshwater invasive; Lake Lanao and Laguna de Bay,Pontederia,no,,Priority Invasive Species,Control/removal mandated,RA 9147 / IACSA programme
8424006,Philippines,,NATIONAL,,Imperata cylindrica,Liliopsida,species,Poaceae,"Alang-alang, Blady grass, Cogon grass, Japgrass, Satintail, Speargrass, Blady grass, Cogongrass","Arundo epigeios, Calamagrostis lagurus, Imperata allang, Imperata angolensis, Imperata arundinacea, Imperata arundinacea africana, Imperata arundinacea europaea, Imperata arundinacea glabrescens, Imperata arundinacea indica, Imperata arundinacea koenigii, Imperata arundinacea latifolia, Imperata arundinacea pedicellata, Imperata arundinacea thunbergii, Imperata cylindrica, Imperata cylindrica pallida, Imperata cylindrica koenigii, Imperata cylindrica africana, Imperata cylindrica cylindrica, Imperata cylindrica europaea, Imperata cylindrica major, Imperata cylindrica parviflora, Imperata cylindrica pedicellata, Imperata cylindrica thunbergii, Imperata dinteri, Imperata filifolia, Imperata koenigii, Imperata koenigii major, Imperata laguroides, Imperata latifolia, Imperata pedicellata, Imperata praecoquis, Imperata ramosa, Imperata robustior, Imperata sieberi, Imperata sisca, Imperata thunbergii, Lagurus cylindricus, Saccharum alopecurus, Saccharum cylindricum, Saccharum cylindricum europaeum, Saccharum diandrum, Saccharum europaeum, Saccharum europeaum, Saccharum indum, Saccharum koenigii, Saccharum laguroides, Saccharum negrosense, Saccharum sieberi, Saccharum sisca, Saccharum spicatum, Saccharum thunbergii",Covers over 1M ha in Philippines; fire-adapted; replaces native forest,Imperata,no,,Noxious Invasive Grass,Control programmes in uplands,RA 9147 / Upland Dev. Programme
2970418,Philippines,,NATIONAL,,Leucaena leucocephala,Magnoliopsida,species,Fabaceae,"Horse/wild tamarind, Jumbie bean, Lead tree, Leucaena, Mimosa, Tan Tan, Tantan Tree, White leadtree, Wild Tamarind, coffeebush, horse-tamarind, ipil-ipil, jumbie-bean, leadtree, leucaena, sneakytree","Acacia glauca, Acacia leucocephala, Leucaena glabra, Leucaena leucocephala, Mimosa leucocephala, Mimosa leucophala",Transformative invasive in secondary forest and agricultural areas,Leucaena,no,,Regulated Invasive Species,Restricted planting areas,RA 9147 / DA regulations
3087725,Philippines,,NATIONAL,,Chromolaena odorata,Magnoliopsida,species,Asteraceae,"Bitter bush, Jack in the bush, Siam weed, Triffid weed, Christmas Bush, Christmasbush, Jack in the bush, Siamweed, bitterbush, butterfly-weed, devilweed, hagonoy, jack-in-the-bush, paraffin-weed, triffidweed, Siam weed","Chromolaena barranquillensis, Chromolaena clematitis, Chromolaena odorata squarrosa, Chrysocoma maculata, Chrysocoma volubilis, Eupatorium atriplicifolium, Eupatorium barranquillense, Eupatorium brachiatum, Eupatorium clematitis, Eupatorium conyzoides, Eupatorium conyzoides angustiflorum, Eupatorium conyzoides conyzoides, Eupatorium conyzoides glabratum, Eupatorium conyzoides floribunda, Eupatorium conyzoides heterolepis, Eupatorium conyzoides incanum, Eupatorium conyzoides paucidentatum, Eupatorium conyzoides pauciflorum, Eupatorium conyzoides scaberulum, Eupatorium conyzoides tambillense, Eupatorium conyzoides extensum, Eupatorium conyzoides floribundum, Eupatorium conyzoides glabrescens, Eupatorium conyzoides maximiliani, Eupatorium conyzoides phyllocephalum, Eupatorium dichotomum, Eupatorium divergens, Eupatorium floribundum, Eupatorium graciliflorum, Eupatorium incisum, Eupatorium klattii, Eupatorium margaritense glabrescens, Eupatorium margaritense heterolepis, Eupatorium margaritense phyllocephalum, Eupatorium odoratum, Eupatorium odoratum odoratum, Eupatorium odoratum scandens, Eupatorium odoratum squarrosum, Eupatorium odoratum brachiatum, Eupatorium odoratum cubense, Eupatorium odoratum mallotophyllum, Eupatorium odoratum pauciflorum, Eupatorium sabeanum, Eupatorium stigmatosum, Eupatorium stigmatosum stigmatosum, Osmia atriplicifolia, Osmia clematitis, Osmia conyzoides, Osmia divergens, Osmia floribunda, Osmia graciliflora, Osmia odorata",Aggressive neotropical shrub; displaces native understorey; fire promoter,Chromolaena,no,,Priority Invasive Species,Control/removal mandated,RA 9147 / IACSA programme
5398421,Philippines,,NATIONAL,,Mikania micrantha,Magnoliopsida,species,Asteraceae,"American rope, Chinese creeper, Mile-a-minute weed, Chinese creeper, Mile-a-minute, bittervine, climbing hempweed, mikania-vine, mile-a-minute, Mile-a-minute Weed","Eupatorium denticulatum, Eupatorium orinocense, Eupatorium orinocense tamoides, Eupatorium orinocense batatifolium, Eupatorium orinocense orinocense, Mikania batatifolia, Mikania cordata indica, Mikania deltoides, Mikania denticulata, Mikania glechomaefolia, Mikania glechomifolia, Mikania micrantha hirsuta, Mikania micrantha typica, Mikania micrantha micrantha, Mikania micrantha cynanchifolia, Mikania orinocensis, Mikania scandens genuina, Mikania scandens pubescens, Mikania scandens cynanchifolia, Mikania scandens sagittifolia, Mikania scandens subcymosa, Mikania scandens umbellifera, Mikania scandens hirsuta, Mikania scandens villosa, Mikania sinuata, Mikania subcrenata, Mikania subcymosa, Mikania tamoides, Mikania umbellifera, Mikania variabilis, Willoughbya heterophylla, Willoughbya micrantha, Willoughbya scandens orinocensis, Willoughbya variabilis",Fast-growing vine smothering native vegetation and plantation crops,Mikania,no,,Priority Invasive Species,Control/removal mandated,RA 9147 / IACSA programme
5334357,Philippines,,NATIONAL,,Reynoutria japonica,Magnoliopsida,species,Polygonaceae,"Japanese Bindweed, Japanese Knotweed, Japanese knotweed, japanese bindweed",NA,Listed on IUCN 100 Worst Invasives; expanding in Philippines,Reynoutria,no,,Invasive Species,Prohibited transport/release,EO 23 / IACSA programme
