GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_india,restriction_type,governing_law
2786227,India,,NATIONAL,,Renanthera imschootiana,Magnoliopsida,species,Orchidaceae,Renanthera imschootiana,Renanthera papilio,Red vanda; NE India/Myanmar; montane forest epiphyte; rare,Renanthera,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2810884,India,,NATIONAL,,Dactylorhiza hatagirea,Magnoliopsida,species,Orchidaceae,Indian marsh orchid,"Dactylorhiza hatagirea doniana, Dactylorhiza hatagirea schlaginweitii, Orchis hatagirea, Orchis hatagirea doniana, Orchis hatagirea schlaginweitii, Orchis latifolia indica",Alpine orchid; used in Shilajit preparation; heavy collection pressure,Dactylorhiza,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
5404129,India,,NATIONAL,,Dolomiaea costus,Magnoliopsida,species,Asteraceae,costus,NA,Critically threatened; traditional medicine and perfumery; Himalayan,Dolomiaea,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
3033840,India,,NATIONAL,,Sinopodophyllum hexandrum,Magnoliopsida,species,Berberidaceae,"Himalayan mayapple, Himalayan Mayapple, Indian Podophyllum, Podophyllum Resin",NA,Source of podophyllotoxin (anti-cancer drug); alpine Himalaya; over-harvested,Sinopodophyllum,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2683283,India,,NATIONAL,,Cycas beddomei,Cycadopsida,species,Cycadaceae,Beddome’s Cycas,"Cycas circinalis vera, Cycas circinalis beddomei, Cycas pluma",Endemic to Andhra Pradesh; all Cycas spp. Schedule VI,Cycas,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2683264,India,,NATIONAL,,Cycas circinalis,Cycadopsida,species,Cycadaceae,"Queen Sago, Queen sago, crozier cycas, false sago, fern-palm, queen sago, Sago Palm","Cycas circinalis circinalis, Cycas circinalis gothanii, Cycas circinalis undulata, Cycas circinalis angustifolia, Cycas circinalis glauca, Cycas circinalis vera, Cycas rumphii undulata, Cycas squamosa, Cycas squarrosa, Cycas undulata, Cycas wallichii, Palma polypodiifolia",Queen sago; Western Ghats; traditional food plant; habitat loss,Cycas,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2683250,India,,NATIONAL,,Cycas pectinata,Cycadopsida,species,Cycadaceae,Cycas pectinata,"Cycas circinalis pectinata, Cycas dilatata, Cycas jenkinsiana, Cycas pectinata, Cycas pectinata pectinata",NE India hill cycad; Assam/Meghalaya/Arunachal; forest loss,Cycas,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
5284540,India,,NATIONAL,,Taxus wallichiana,Pinopsida,species,Taxaceae,"East Himalayan Yew, Himalayan yew, Himalayan Yew","Cephalotaxus celebica, Cephalotaxus mannii, Cephalotaxus sumatrana, Podocarpus celebicus, Taxus baccata wallichiana, Taxus celebica, Taxus chinensis yunnanensis, Taxus contorta mucronata, Taxus florinii, Taxus nucifera, Taxus obscura, Taxus orientalis, Taxus phytonii, Taxus suffnessii, Taxus sumatrana, Taxus sumatrana celebica, Taxus sumatrana obscura, Taxus sumatrana rehderiana, Taxus wallichiana yunnanensis, Taxus wallichiana wallichiana, Taxus yunnanensis",Source of taxol (cancer treatment); heavily exploited across Himalaya,Taxus,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
3169787,India,,NATIONAL,,Rauvolfia serpentina,Magnoliopsida,species,Apocynaceae,"Indian Snakeroot, Java devil-pepper, ajmaline, rauwolfia, serpentine wood, serpentine-wood, snakewood","Ophioxylon album, Ophioxylon obversum, Ophioxylon salutiferum, Ophioxylon serpentinum, Ophioxylon trifoliatum, Rauvolfia obversa, Rauvolfia serpentina obversa, Rauvolfia trifoliata",Sedative alkaloid reserpine; over-collected from wild,Rauvolfia,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
5525642,India,,NATIONAL,,Ceropegia frerei,Magnoliopsida,species,Apocynaceae,Shilajeet plant / Frerea,NA,"Extremely rare succulent; Junnar, Pune dist.; <50 plants known",Ceropegia,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2755586,India,,NATIONAL,,Dioscorea deltoidea,Magnoliopsida,species,Dioscoreaceae,Elephant's Foot,"Dioscorea deltoidea deltoidea, Dioscorea deltoidea orbiculata, Dioscorea deltoides, Dioscorea nepalensis, Tamus nepalensis",Source of diosgenin (contraceptive); over-harvested in Himalaya,Dioscorea,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
4095989,India,,NATIONAL,,Nardostachys jatamansi,Magnoliopsida,species,Caprifoliaceae,"Indian Nard, Indian Spikenard, Muskroot, Nardin, Nardus Root, Spikenard","Fedia grandiflora, Fedia jatamansi, Nardostachys chinensis, Nardostachys gracilis, Nardostachys grandiflora, Nardostachys jatamansi, Patrinia jatamansi, Valeriana jatamansi",Himalayan aromatic herb; heavily traded for ayurvedic use; CITES II,Nardostachys,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
3603763,India,,NATIONAL,,Meconopsis regia,Magnoliopsida,species,Papaveraceae,Himalayan poppy,Papaver regium,Alpine poppy; high-altitude endemic; ornamental collection threat,Meconopsis,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
5708628,India,,NATIONAL,,Pterocarpus santalinus,Magnoliopsida,species,Fabaceae,"Almug, Red Sandalwood, Saunderswood, red sandalwood, red sanders, red sanderswood, red saunders, red-sandalwood, Red Sanders","Draco santalum, Lingoum santalinum, Santalum rubrum",Most trafficked plant; smuggling to China/SE Asia; Seshachalam hills endemic,Pterocarpus,no,,Schedule VI <U+2014> Specified Plant,Harvesting / export restricted,WPA 1972 Schedule VI
3702236,India,,NATIONAL,,Nepenthes khasiana,Magnoliopsida,species,Nepenthaceae,Pitcher plant (Indian),"Nepenthes distillatoria, Nepenthes phyllamphora, Nepenthes rubra",Only Nepenthes in India; Meghalaya endemic; carnivorous plant; habitat loss,Nepenthes,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
3064863,India,,NATIONAL,,Euphorbia nivulia,Magnoliopsida,species,Euphorbiaceae,Euphorbia (succulent),"Euphorbia helicothele, Euphorbia neriifolia, Euphorbia nivulia helicothele",Succulent euphorbia; entire genus regulated under CITES,Euphorbia,no,,Schedule VI <U+2014> Specified Plant,Regulated collection/trade,WPA 1972 Schedule VI
3727292,India,,NATIONAL,,Picrorhiza kurroa,Magnoliopsida,species,Plantaginaceae,Kutki / Picrorhiza,NA,Alpine Himalayan herb; hepatoprotective; massively over-collected,Picrorhiza,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
7277241,India,,NATIONAL,,Aconitum heterophyllum,Magnoliopsida,species,Ranunculaceae,Ativisha / Aconitum,"Aconitum atees, Aconitum cordatum, Aconitum heterophyllum, Aconitum heterophyllum heterophyllum, Aconitum heterophyllum roylei, Aconitum petiolare",Himalayan monkshood; ayurvedic Ativisha; anti-fever; extremely rare,Aconitum,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
7150518,India,,NATIONAL,,Ceropegia,Magnoliopsida,species,Apocynaceae,Ceropegia (India),"Apegia, Aulostephanus, Blepharanthera, Brachystelma, Brachystelmaria, Cinclia, Craterostemma, Decaceras, Dichaelia, Eriopetalum, Kinepetalum, Lasiostelma, Macropetalum, Micraster, Microstemma, Niota, Siphonostelma, Systrepha, Tapeinostelma, Tenaris",Entire genus listed; several Indian endemics CR/EN; tuberous plants,Ceropegia,no,,Schedule VI <U+2014> Specified Plant,Collection/trade prohibited,WPA 1972 Schedule VI
2889785,India,,NATIONAL,,Santalum album,Magnoliopsida,species,Santalaceae,"East Indian sandalwood, Indian Sandalwood, Indian sandalwood, Sandalwood, Sandal, Sandal tree, White sandal tree, White sandalwood, Indian sandalwood, sandalwood, white sandalwood, white saunders, yellow sandalwood, yellow saunders, East Indian Sandalwood","Santalum ellipticum, Santalum myrtifolium, Santalum ovatum, Sirium myrtifolium",Govt ownership in Karnataka; major illicit trade; CITES II since CoP19,Santalum,no,,State Protected Tree / CITES II,Govt owned in Karnataka/AP,Karnataka Forest Act / AP Forest Act / CITES
5524063,India,,NATIONAL,,Aquilaria malaccensis,Magnoliopsida,species,Thymelaeaceae,"Indian aloewood, Malayan eaglewoodtree, agarwood, aloeswood, eaglewood, lign-aloes, Agarwood, Aloeswood, Eaglewood, Lign-aloes","Aquilaria agallocha, Aquilaria moluccensis, Aquilaria secundana, Aquilariella malaccensis, Cynometra agallocha",Resinous heartwood for oud perfume; NE India; massively over-harvested,Aquilaria,no,,CITES App. II <U+2014> Export regulated,Export requires CITES permit,CITES / WPA / EXIM Policy
2825226,India,,NATIONAL,,Paphiopedilum hirsutissimum,Magnoliopsida,species,Orchidaceae,Shaggy Paphiopedilum,"Cordula esquirolii, Cordula hirsutissima, Cypripedium hirsutissimum, Paphiopedilum chiwuanum, Paphiopedilum esquirolei viride, Paphiopedilum esquirolei chiwuanum, Paphiopedilum esquirolii, Paphiopedilum esquirolii chiwuanum, Paphiopedilum hirsutissimum alboviride, Paphiopedilum hirsutissimum saccopetalum, Paphiopedilum hirsutissimum viride, Paphiopedilum hirsutissimum chiwuanum, Paphiopedilum hirsutissimum esquirolii, Paphiopedilum saccopetalum",NE India/SE Asia; large-flowered slipper orchid; smuggling for collectors,Paphiopedilum,no,,CITES App. I,All trade prohibited,CITES / WPA 1972
5317489,India,,NATIONAL,,Dendrobium nobile,Magnoliopsida,species,Orchidaceae,Dendrobium nobile,"Callista nobilis, Dendrobium caerulescens, Dendrobium chlorostylum, Dendrobium coerulescens, Dendrobium formosanum, Dendrobium lindleyanum, Dendrobium nobile cooksonianum, Dendrobium nobile nobilius, Dendrobium nobile virginale, Dendrobium nobile alboluteum, Dendrobium nobile anomalum, Dendrobium nobile excellens, Dendrobium nobile formosanum, Dendrobium nobile luteum, Dendrobium nobile majus, Dendrobium nobile nobilus, Dendrobium nobile splendidum, Dendrobium wallichianum",Noble dendrobium; NE India; TCM ingredient; heavily traded from Himalayan forests,Dendrobium,no,,CITES App. II,Export regulated,CITES
2811153,India,,NATIONAL,,Aerides multiflora,Magnoliopsida,species,Orchidaceae,Aerides multiflora,"Aerides affinis, Aerides godefroyana, Aerides hughii, Aerides lobbii, Aerides multiflora dactyloides, Aerides multiflora lobbii, Aerides multiflora veitchii, Aerides veitchii, Cleisostoma vacherotiana, Epidendrum geniculatum",Fox-brush orchid; W Ghats and NE India; epiphytic; local trade,Aerides,no,,CITES App. II,Export regulated,CITES
2844033,India,,NATIONAL,,Bulbophyllum leopardinum,Magnoliopsida,species,Orchidaceae,Leopard Spotted Bulbophyllum,"Bulbophyllum colomaculosum, Bulbophyllum leopardinum, Bulbophyllum leopardinum leopardinum, Bulbophyllum schmidtianum, Dendrobium leopardinum, Phyllorchis leopardina, Phyllorchis schmidtiana, Phyllorkis leopardina, Phyllorkis schmidtiana, Sarcopodium leopardinum",Himalayan mini-orchid; Sikkim/Arunachal; all Orchidaceae CITES II,Bulbophyllum,no,,CITES App. II,Export regulated,CITES
2811527,India,,NATIONAL,,Coelogyne cristata,Magnoliopsida,species,Orchidaceae,Coelogyne cristata,"Coelogyne cristata hololeuca, Cymbidium speciosissimum, Pleione speciosissima",Angel orchid; Himalayan epiphyte; popular in horticulture; mass-collected,Coelogyne,no,,CITES App. II,Export regulated,CITES
5305553,India,,NATIONAL,,Cymbidium devonianum,Magnoliopsida,species,Orchidaceae,Cymbidium devonianum,"Cymbidium rigidum, Cymbidium sikkimense",NE India pendant cymbidium; popular orchid; wild collection pressure,Cymbidium,no,,CITES App. II,Export regulated,CITES
5310895,India,,NATIONAL,,Phalaenopsis taenialis,Magnoliopsida,species,Orchidaceae,Phalaenopsis taenialis,"Aerides carnosa, Aerides taeniale, Aerides taenialis, Biermannia navicularis, Biermannia taenialis, Doritis braceana, Doritis taenialis, Kingidium braceanum, Kingidium naviculare, Kingidium taeniale, Kingidium taenialis, Kingiella taenialis, Phalaenopsis braceana, Polychilos taenialis",Himalayan Phalaenopsis; deciduous; winter-flowering; collection pressure,Phalaenopsis,no,,CITES App. II,Export regulated,CITES
5321410,India,,NATIONAL,,Pleione praecox,Magnoliopsida,species,Orchidaceae,Pleione praecox,"Coelogyne birmanica, Coelogyne concolor, Coelogyne praecox, Coelogyne praecox sanguinea, Coelogyne praecox tenera, Coelogyne praecox wallichiana, Coelogyne reichenbachiana, Coelogyne wallichiana, Cymbidium praecox, Dendrobium praecox, Epidendrum praecox, Pleione birmanica, Pleione concolor, Pleione praecox candida, Pleione praecox alba, Pleione praecox reichenbachiana, Pleione praecox wallichiana, Pleione reichenbachiana, Pleione wallichiana",Peacock orchid; NE India; autumn-flowering alpine; horticultural demand,Pleione,no,,CITES App. II,Export regulated,CITES
2816952,India,,NATIONAL,,Thunia alba,Magnoliopsida,species,Orchidaceae,Thunia alba,"Phaius albus, Thunia marshallii",White thunia; Himalayan terrestrial orchid; traded for gardens,Thunia,no,,CITES App. II,Export regulated,CITES
5315188,India,,NATIONAL,,Rhynchostylis retusa,Magnoliopsida,species,Orchidaceae,Rhynchostylis retusa,"Aerides guttata, Aerides praemorsa, Aerides retusa, Aerides spicata, Aerides undulata, Epidendrum hippium, Epidendrum indicum, Epidendrum retusum, Gastrochilus blumei, Gastrochilus garwalicus, Gastrochilus retusus, Gastrochilus rheedei, Gastrochilus spicatus, Limodorum retusum, Orchis lanigera, Rhynchostylis albiflora, Rhynchostylis garwalica, Rhynchostylis guttata, Rhynchostylis praemorsa, Rhynchostylis retusa albiflora, Saccolabium blumei, Saccolabium blumei majus, Saccolabium furcatum, Saccolabium garwalicum, Saccolabium guttatum, Saccolabium guttatum giganteum, Saccolabium guttatum holfordii, Saccolabium heathii, Saccolabium macrostachyum, Saccolabium praemorsum, Saccolabium retusum, Saccolabium rheedei, Saccolabium spicatum, Saccolabium violaceum, Sarcanthus guttatus",Foxtail orchid; state flower of Assam/Arunachal; festival use (Bihu),Rhynchostylis,no,,CITES App. II / State flower Assam,Export regulated,CITES / Assam Forest rules
2928840,India,,NATIONAL,,Withania somnifera,Magnoliopsida,species,Solanaceae,"Winter Cherry, Withania, winter-cherry, withania, Rennet","Alicabon somniferum, Hypnoticum somniferum, Larnax morrisonii, Physalis alpini, Physalis arborescens, Physalis flexuosa, Physalis scariosa, Physalis somnifera, Physalis somnifera communis, Physalis somnifera flexuosa, Physalis sugunda, Physalis tomentosa, Physalis villosa, Physaloides somnifera, Withania arborescens, Withania chevalieri, Withania kansuensis, Withania macrocalyx, Withania microphysalis, Withania morisonii, Withania mucronata, Withania obtusifolia, Withania sicula, Withania somnifera obtusifolia, Withania somnifera communis, Withania somnifera flexuosa, Withania somnifera macrocalyx, Withnia somnifera communis",Key ayurvedic adaptogen; wild populations declining; now mostly cultivated,Withania,no,,BD Act <U+2014> ABS regulated,ABS permit for commercial use,Biological Diversity Act 2002
7520328,India,,NATIONAL,,Tinospora cordifolia,Magnoliopsida,species,Menispermaceae,Guduchi / Giloy,"Cocculus convolvulaceus, Menispermum cordifolium, Tinospora cordifolia, Tinospora cordifolia congesta, Tinospora fosbergii",Ayurvedic immunomodulator; demand surged during COVID-19; wild harvest concerns,Tinospora,no,,BD Act <U+2014> ABS regulated,ABS permit for commercial use,Biological Diversity Act 2002
3171169,India,,NATIONAL,,Bacopa monnieri,Magnoliopsida,species,Plantaginaceae,"Indian-pennywort, bacopa, coastal water-hyssop, coastal waterhyssop, herb of grace, herb-of-grace, Monnier's hedge hyssop, water hyssop","? monniera, Allocalyx microphylla, Alonsoa hirsuta, Anisocalyx limnanthiflorus, Bacopa monnieri, Bacopa monnieri cuneifolia, Bacopa monnieria, Bacopa monnieria cuneifolia, Bramia indica, Bramia monniera, Bramia monnieri, Bramia monnieria, Calytriplex obovata, Capraria monnieri, Capraria monnieria, Gratiola monnieri, Gratiola monnieria, Gratiola portulacacea, Gratiola tetrandra, Habershamia cuneifolia, Hemimeris hirsuta, Herpestes monnieria, Herpestis africana, Herpestis brownei, Herpestis calytriplex, Herpestis cuneifolia, Herpestis monniera, Herpestis monnieri, Herpestis monnieria, Herpestis moranensis, Herpestis pedunculosa, Herpestis procumbens, Herpestis spathulata, Hydrotrida beccabunga, Limosella calycina, Lysimachia monnieri, Mecardonia procumbens, Moniera africana, Moniera brownei, Moniera cuneifolia, Moniera moniera, Moniera monnieri, Moniera pedunculosa, Monniera africana, Monniera brownii, Monniera calycina, Monniera cuneifolia, Monniera monniera, Monniera pedunculosa, Ruellia articulata, Thunbergia stolonifera",Memory-enhancing herb; international supplement trade; wetland species,Bacopa,no,,BD Act <U+2014> ABS regulated,ABS permit for commercial use,Biological Diversity Act 2002
2768632,India,,NATIONAL,,Asparagus racemosus,Magnoliopsida,species,Asparagaceae,asparagus-fern,"Asparagopsis abyssinica, Asparagopsis acerosa, Asparagopsis brownei, Asparagopsis decaisnei, Asparagopsis floribunda, Asparagopsis hohenackeri, Asparagopsis javanica, Asparagopsis retrofracta, Asparagopsis sarmentosa, Asparagopsis subquadrangularis, Asparagus acerosus, Asparagus dubius, Asparagus fasciculatus, Asparagus jacquemontii, Asparagus penduliflorus, Asparagus petitianus, Asparagus racemosus javanicus, Asparagus racemosus longicladodius, Asparagus racemosus subacerosus, Asparagus racemosus tetragonus, Asparagus racemosus zeylanicus, Asparagus stachyoides, Asparagus tetragonus, Asparagus zeylanicus, Geitonoplesium scandens, Protasparagus acerosus, Protasparagus jacquemontii, Protasparagus racemosus, Protasparagus racemosus javanicus, Protasparagus racemosus subacerosus, Protasparagus zeylanicus",Ayurvedic tonic; root over-harvest; declining wild populations across India,Asparagus,no,,BD Act <U+2014> ABS regulated,ABS permit for commercial use,Biological Diversity Act 2002
8339877,India,,NATIONAL,,Convolvulus prostratus,Magnoliopsida,species,Convolvulaceae,Shankhpushpi,"Convolvulus austroaegyptiacus, Convolvulus austroaegyptiacus cancerianus, Convolvulus cancerianus, Convolvulus deserti, Convolvulus evolvuloides, Convolvulus heterotrichus, Convolvulus microphyllus, Convolvulus microphyllus boissieri, Convolvulus microphyllus heterotrichus, Convolvulus microphyllus longipes, Convolvulus microphyllus macra, Convolvulus microphyllus orreanus, Convolvulus parvifolius, Convolvulus pilosellifolius orreanus, Convolvulus pluricaulis, Convolvulus pluricaulis macra, Convolvulus prostratus boissieri, Convolvulus prostratus deserti, Convolvulus scindicus, Evolvulus pilosus, Ipomoea microphylla",Brain tonic herb; grassland species; commercial ayurvedic demand,Convolvulus,no,,BD Act <U+2014> ABS regulated,ABS permit for commercial use,Biological Diversity Act 2002
3992808,India,,NATIONAL,,Commiphora wightii,Magnoliopsida,species,Burseraceae,Indian bdellium-tree,"Balsamea mukul, Balsamodendrum mukul, Balsamodendrum roxburghii, Balsamodendrum wightii, Commiphora mukul, Commiphora roxburghii, Commiphora roxburghii serratifolia",Oleo-gum resin for cholesterol; CR; Rajasthan/Gujarat arid zone; over-tapped,Commiphora,no,,BD Act <U+2014> ABS regulated / State protected,Harvest regulated by State FD,Biological Diversity Act 2002 / State Forest Acts
3189723,India,,NATIONAL,,Plantago ovata,Magnoliopsida,species,Plantaginaceae,"Blond Plantain, Indian plantago, Indian plantain, blond plantain, blond psyllium, blonde ispaghula, desert Indianwheat, ispaghul, ispaghula, psyllium, spogel seeds","Plantago albicans, Plantago argentea, Plantago declinata, Plantago decumbens, Plantago decumbens viridis, Plantago insularis typica, Plantago ispaghul, Plantago ispaghula, Plantago lanata, Plantago leiocephala, Plantago mauritii, Plantago microcephala, Plantago monspeliensis, Plantago ovata linearifolia, Plantago ovata decumbens, Plantago ovatifolia, Plantago trichophylla, Plantago villosa",Wild relatives in Rajasthan/Gujarat; cultivated commercially; ABS for genetics,Plantago,no,,BD Act <U+2014> ABS for wild genetic resources,ABS for commercial cultivar development,Biological Diversity Act 2002
2774899,India,,NATIONAL,,Chlorophytum borivilianum,Magnoliopsida,species,Asparagaceae,Safed Musli,NA,Tuberous aphrodisiac herb; wild populations severely depleted; now cultivated,Chlorophytum,no,,BD Act <U+2014> ABS regulated,ABS permit for commercial use,Biological Diversity Act 2002
