GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_tz,restriction_type,governing_law
3022853,Tanzania,,NATIONAL,,Prunus africana,Magnoliopsida,species,Rosaceae,"African Almond, African cherry, Red Stinkwood, pygeum, African Cherry","Laurocerasus africana, Laurocerasus crassifolia, Prunus crassifolia, Pygeum africanum, Pygeum crassifolium",Over-exploited for European prostate medication market; Kilimanjaro populations,Prunus,no,,Regulated (CITES Appendix II),Export permit required,CITES Regs / Forests Act
2683713,Tanzania,,NATIONAL,,Encephalartos hildebrandtii,Cycadopsida,species,Zamiaceae,Mombasa Cycad,"Encephalartos hildebrandtii dentatus, Encephalartos hildebrandtii hildebrandtii, Encephalartos villosus hildebrandtii, Encephalartos villosus nobilis",Coastal Tanzania cycad; CITES App I; significant poaching pressure,Encephalartos,no,,Protected (CITES Appendix I),Collection/trade prohibited,Wildlife Conservation Act 2009
2683699,Tanzania,,NATIONAL,,Encephalartos turneri,Cycadopsida,species,Zamiaceae,Turner's Cycad,NA,Uluguru Mountains endemic cycad; fewer than 50 mature individuals; CITES App I,Encephalartos,no,,Protected (CITES Appendix I),Collection/trade prohibited,Wildlife Conservation Act 2009
2777836,Tanzania,,NATIONAL,,Aloe rabaiensis,Magnoliopsida,species,Asphodelaceae,East African aloe,NA,Coastal Tanzania aloe; all Aloe spp. regulated under CITES App II,Aloe,no,,Regulated (CITES Appendix II),Export permit required,CITES Regs / WCA 2009
2777773,Tanzania,,NATIONAL,,Aloe dorotheae,Magnoliopsida,species,Asphodelaceae,Aloe (spiral aloe relative),"Aloe dorothea, Aloe harmsii",Tanzania endemic; extremely small wild population; ornamental trade threat,Aloe,no,,Critically Endangered (CITES App II),Export permit required,CITES Regs / WCA 2009
2777188,Tanzania,,NATIONAL,,Aloe boscawenii,Magnoliopsida,species,Asphodelaceae,Aloe (Usambara),NA,East Usambara endemic aloe; coastal forest edge habitat; very restricted range,Aloe,no,,Critically Endangered (CITES App II),Export permit required,CITES Regs / WCA 2009
5311779,Tanzania,,NATIONAL,,Eulophia petersii,Magnoliopsida,species,Orchidaceae,Tanzanian orchid,"Cyrtopera petersii, Epidendrum schimperi, Eulophia baginsensis, Eulophia caffra, Eulophia circinnata, Eulophia coleae, Eulophia gumbariensis, Eulophia longipedunculata, Eulophia phillipsiae, Eulophia schimperiana, Eulophia smithii, Galeandra petersii, Graphorchis baginsensis, Graphorchis caffra, Graphorchis petersii, Graphorkis baginsensis, Graphorkis caffra, Graphorkis petersii",All Orchidaceae CITES Appendix II; collection pressure in Eastern Arc,Eulophia,no,,Regulated (CITES Appendix II),Collection permit required,CITES Regs / WCA 2009
2792292,Tanzania,,NATIONAL,,Polystachya paniculata,Magnoliopsida,species,Orchidaceae,Epiphytic orchid (Eastern Arc),Dendrobium paniculatum,Widespread East African orchid; all orchids CITES App II; trade regulated,Polystachya,no,,Regulated (CITES Appendix II),Collection permit required,CITES Regs / WCA 2009
3069535,Tanzania,,NATIONAL,,Euphorbia antiquorum,Magnoliopsida,species,Euphorbiaceae,"Malayan spurge tree, triangular spurge","Euphorbia antiquorum polygona, Euphorbia arborescens, Euphorbia mayuranathanii, Tithymalus antiquorus",Succulent Euphorbia spp. CITES App II; ornamental collection risk,Euphorbia,no,,Regulated (CITES Appendix II),Export permit required,CITES Regs
8462783,Tanzania,,NATIONAL,,Euphorbia candelabrum,Magnoliopsida,species,Euphorbiaceae,Candelabra euphorbia,"Euphorbia candelabrum, Euphorbia conspicua",Large tree euphorbia; CITES App II; used in traditional medicine and as live fence,Euphorbia,no,,Regulated (CITES Appendix II),Export permit required,CITES Regs
5571840,Tanzania,,NATIONAL,,Ficus usambarensis,Magnoliopsida,species,Moraceae,Usambara fig,NA,East Usambara endemic fig; restricted to submontane forest; habitat declining,Ficus,no,,Eastern Arc endemic <U+2014> forest protected,Forest reserve protections,Forests Act 2002
5547268,Tanzania,,NATIONAL,,Cola usambarensis,Magnoliopsida,species,Malvaceae,Cola (East Usambara),NA,East Usambara endemic; understorey tree; habitat loss from agriculture,Cola,no,,Eastern Arc endemic <U+2014> forest protected,Forest reserve protections,Forests Act 2002
4192979,Tanzania,,NATIONAL,,Impatiens usambarensis,Magnoliopsida,species,Balsaminaceae,Impatiens (East Usambara),NA,Narrow endemic herb; moist montane forest; extremely vulnerable to disturbance,Impatiens,no,,Eastern Arc endemic <U+2014> forest protected,Forest reserve protections,Forests Act 2002 / WCA 2009
2895326,Tanzania,,NATIONAL,,Coffea pseudozanguebariae,Magnoliopsida,species,Rubiaceae,Coffea (wild Usambara coffee),NA,Wild coffee relative; valuable genetic resource for coffee breeding; forest dependent,Coffea,no,,Wild genetic resource <U+2014> protected,Collection restricted,Forests Act 2002
5391845,Tanzania,,NATIONAL,,Bidens pilosa,Magnoliopsida,species,Asteraceae,"Black-jack, Hairy beggarticks","Acocotli quauhuahuacensis, Bidens abadiae, Bidens abadiae abadiae, Bidens abadiae pilosoides, Bidens abadiae typica, Bidens adhaerescens, Bidens africana, Bidens alba radiata, Bidens arenaria, Bidens arenicola, Bidens aurantiaca, Bidens barrancae, Bidens bimucronata, Bidens bullata glabrescens, Bidens bullata hirta, Bidens calcicola, Bidens californica, Bidens caracasana, Bidens cernua tenuis, Bidens chilensis chilensis, Bidens ciliata, Bidens decussata, Bidens dichotoma, Bidens dondiaefolia, Bidens fastigiata hispida, Bidens hirsuta, Bidens hirta, Bidens hispida, Bidens leucantha, Bidens leucantha discoidea, Bidens leucantha leucantha, Bidens leucantha pilosa, Bidens leucantha sundaica, Bidens leucanthema discoidea, Bidens leucanthema pilosa, Bidens leucanthema sundaica, Bidens monophylla, Bidens montaubani, Bidens multifida mutica, Bidens ododrata, Bidens odorata, Bidens odorata calcicola, Bidens odorata calciola, Bidens orendainae, Bidens paleacea, Bidens pilosa bimucronata, Bidens pilosa calcicola, Bidens pilosa discoidea, Bidens pilosa dissecta, Bidens pilosa dondiaefolia, Bidens pilosa dondiifolia, Bidens pilosa indivisa, Bidens pilosa monophylla, Bidens pilosa odorata, Bidens pilosa pilosior, Bidens pilosa pinnata, Bidens pilosa scandicina, Bidens pilosa simplex, Bidens pilosa subbiternata, Bidens pilosa subsimplicifolia, Bidens pilosa ternata, Bidens pilosa triaristata, Bidens pilosa umbrosa, Bidens pilosa albiflora, Bidens pilosa brevifoliata, Bidens pilosa humilis, Bidens pilosa puberula, Bidens pilosa radiata, Bidens pilosa typica, Bidens pinnata, Bidens reflexa, Bidens rosea calcicola, Bidens striata, Bidens sundaica, Bidens taquetii, Bidens trifoliata, Bidens tripartita, Bidens tripartita hirta, Bidens tripartita discoidea",Widespread weed in agricultural zones; priority in Plant Protection Act schedules,Bidens,no,,Noxious Weed,Control in croplands,Plant Protection Act 1997
3171161,Tanzania,,NATIONAL,,Striga asiatica,Magnoliopsida,species,Orobanchaceae,"Asiatic Witchweed, Asiatic witchweed, witchweed","Buchnera asiatica, Striga asiatica asiatica, Striga eustriga, Striga pusilla, Striga zangebarica",Parasitic weed devastating cereal crops; quarantine pest under PPA schedules,Striga,no,,Noxious Weed <U+2014> Quarantine Pest,Quarantine / control mandated,Plant Protection Act 1997
3610757,Tanzania,,NATIONAL,,Cuscuta campestris,Magnoliopsida,species,Convolvulaceae,"Fiveangled dodder, Yellow Dodder, common dodder, dodder, field dodder, golden dodder, prairie dodder, western field dodder, yellow dodder","Cuscuta arvensis, Cuscuta arvensis capsici, Cuscuta basabarica, Cuscuta gymnocarpa deflexa, Cuscuta kamelorum, Cuscuta pentagona calycina, Cuscuta pentagona pentagona, Cuscuta pentagona subulata, Epithymum arvense, Grammica campestris",Parasitic weed on legumes and vegetables; seed-borne quarantine pest,Cuscuta,no,,Noxious Weed <U+2014> Quarantine Pest,Quarantine / control mandated,Plant Protection Act 1997
3087725,Tanzania,,NATIONAL,,Chromolaena odorata,Magnoliopsida,species,Asteraceae,"Bitter bush, Jack in the bush, Siam weed, Triffid weed, Christmas Bush, Christmasbush, Jack in the bush, Siamweed, bitterbush, butterfly-weed, devilweed, hagonoy, jack-in-the-bush, paraffin-weed, triffidweed, Siam weed","Chromolaena barranquillensis, Chromolaena clematitis, Chromolaena odorata squarrosa, Chrysocoma maculata, Chrysocoma volubilis, Eupatorium atriplicifolium, Eupatorium barranquillense, Eupatorium brachiatum, Eupatorium clematitis, Eupatorium conyzoides, Eupatorium conyzoides angustiflorum, Eupatorium conyzoides conyzoides, Eupatorium conyzoides glabratum, Eupatorium conyzoides floribunda, Eupatorium conyzoides heterolepis, Eupatorium conyzoides incanum, Eupatorium conyzoides paucidentatum, Eupatorium conyzoides pauciflorum, Eupatorium conyzoides scaberulum, Eupatorium conyzoides tambillense, Eupatorium conyzoides extensum, Eupatorium conyzoides floribundum, Eupatorium conyzoides glabrescens, Eupatorium conyzoides maximiliani, Eupatorium conyzoides phyllocephalum, Eupatorium dichotomum, Eupatorium divergens, Eupatorium floribundum, Eupatorium graciliflorum, Eupatorium incisum, Eupatorium klattii, Eupatorium margaritense glabrescens, Eupatorium margaritense heterolepis, Eupatorium margaritense phyllocephalum, Eupatorium odoratum, Eupatorium odoratum odoratum, Eupatorium odoratum scandens, Eupatorium odoratum squarrosum, Eupatorium odoratum brachiatum, Eupatorium odoratum cubense, Eupatorium odoratum mallotophyllum, Eupatorium odoratum pauciflorum, Eupatorium sabeanum, Eupatorium stigmatosum, Eupatorium stigmatosum stigmatosum, Osmia atriplicifolia, Osmia clematitis, Osmia conyzoides, Osmia divergens, Osmia floribunda, Osmia graciliflora, Osmia odorata",Spreading invasive in coastal Tanzania and Zanzibar; replaces native vegetation,Chromolaena,no,,Invasive Species,Control mandated,EMA 2004
2765940,Tanzania,,NATIONAL,,Pontederia crassipes,Magnoliopsida,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,Lake Victoria and other water bodies; requires regular mechanical control,Pontederia,no,,Invasive Species,Eradication mandated,EMA 2004 / WCA 2009
2925303,Tanzania,,NATIONAL,,Lantana camara,Magnoliopsida,species,Verbenaceae,"Black Sage, Lantana, Largeleaf Lantana, Sage, Scrubby Cup, Scrubby Tree, Statia Sage, Wild Lantana, Yellow Sage, common lantana, kamara lantana, largeleaf lantana, wild sage, Common Lantana, Wild Sage, shrub verbena, wild sage bush","Camara vulgaris, Lantana camara camara, Lantana camara parvifolia, Lantana coccinea, Lantana glandulodissima, Lantana mexicana, Lantana spinosa, Lantana urticifolia urticifolia",Major invasive in Serengeti and other national parks; biocontrol partially deployed,Lantana,no,,Invasive Species,Control in protected areas,Wildlife Conservation Act 2009
5358460,Tanzania,,NATIONAL,,Prosopis juliflora,Magnoliopsida,species,Fabaceae,"Mesquite, Prosopis, Mesquite, Algaroba bean, Mexican thorn, Ironwood, algarroba-bean, ironwood, mesquite","Acacia juliflora, Algarobia juliflora, Entada juliflora, Mimosa furcata, Mimosa juliflora, Neltuma juliflora, Neltuma occidenatlis, Prosopis vidaliana",Invasive in semi-arid northern Tanzania; Arusha and Dodoma regions,Prosopis,no,,Invasive <U+2014> semi-arid zones,Control programmes active,EMA 2004 / NEMC
3086784,Tanzania,,NATIONAL,,Parthenium hysterophorus,Magnoliopsida,species,Asteraceae,"Santa Maria, Santa Maria feverfew, Santa Maria, Parthenium weed, Santa maria feverfew, Santa-Maria, Santa-Maria, Santa Maria feverfew, Whitetop weed, Famine weed, Carrot grass, Congress grass, Wild Carrot Weed, Parthenium weed, Ragweed parthenium, Bitter-broom, Bitterweed, False camomile, False ragweed, Ragweed, Barley flower, Bastard feverfew, Broomweed, Mugwort, Whiteheads, Wormwood, Whitehead, Whitetop weed, bitterweed, carrot-grass, false ragweed, feverfew, parthenium-weed, ragweed parthenium, whitetop, whitetop weed, Santa Maria Feverfew, Parthenium weed, parthenium","Argyrochaeta bipinnatifida, Argyrochaeta parviflora, Echetrosis pentasperma, Parthenium hysterophorus hysterophorus, Parthenium lobatum, Parthenium pinnatifidum",Rapidly spreading invasive; allergenic; displaces pasture; Arusha and northern TZ,Parthenium,no,,Invasive Species,Control mandated,EMA 2004 / Plant Protection Act
5396557,Tanzania,,NATIONAL,,Tithonia diversifolia,Magnoliopsida,species,Asteraceae,"Japanese-sunflower, Mexican Sunflower, Mexican sunflower-weed, Mexican-sunflower, Mexican-sunflower, Japanese-sunflower, Tree marigold, shrub-sunflower, tree marigold, Japanese sunflower, Mexican sunflower","Helianthus quinquelobus, Mirasolia diversifolia, Tithonia diversifolia diversifolia, Tithonia diversifolia glabriuscula, Tithonia triloba, Urbanisol tagetiflora grandiflorus, Urbanisol tagetiflora diversifolius, Urbanisol tagetiflora flavus, Urbanisol tagetiflorus diversifolius, Urbanisol tagetifolius grandiflorus, Urbanisol tagetifolius diversifolius",Aggressive coloniser of forest edges and disturbed sites; Eastern Arc threat,Tithonia,no,,Invasive <U+2014> colonising disturbed land,Control in protected areas,EMA 2004
5828220,Tanzania,,NATIONAL,,Cenchrus purpureus,Liliopsida,species,Poaceae,"Elephant grass, Morrone, Napier Grass, Uganda grass, Elephant Grass","Gymnotrix nitens, Pennisetum benthamii, Pennisetum benthamii nudum, Pennisetum benthamii sambesiense, Pennisetum benthamii ternatum, Pennisetum blepharideum, Pennisetum flavicomum, Pennisetum flexispica, Pennisetum giganteum, Pennisetum gossweileri, Pennisetum hainanense, Pennisetum lachnorrhachis, Pennisetum macrostachyum, Pennisetum nitens, Pennisetum pallescens, Pennisetum pruinosum, Pennisetum purpureum, Pennisetum purpureum benthamii, Pennisetum purpureum flexispica",Widely used for fodder; becoming invasive in disturbed forest edges,Cenchrus,no,,Potentially Invasive Grass,Control in protected areas,EMA 2004 / Wildlife Act
