GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_my,restriction_type,governing_law
2783258,Malaysia,,NATIONAL,,Vanda dearei,Magnoliopsida,species,Orchidaceae,Vanda orchid,NA,Borneo endemic Vanda; fragrant yellow flowers; overcollected for horticulture,Vanda,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / Sabah WCE
5524063,Malaysia,,NATIONAL,,Aquilaria malaccensis,Magnoliopsida,species,Thymelaeaceae,"Indian aloewood, Malayan eaglewoodtree, agarwood, aloeswood, eaglewood, lign-aloes, Agarwood, Aloeswood, Eaglewood, Lign-aloes","Aquilaria agallocha, Aquilaria moluccensis, Aquilaria secundana, Aquilariella malaccensis, Cynometra agallocha",Gaharu; resinous heartwood extremely valuable; CITES II since 2005; illegal harvesting widespread,Aquilaria,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / NFA 1984
5524158,Malaysia,,NATIONAL,,Aquilaria beccariana,Magnoliopsida,species,Thymelaeaceae,Agarwood (Borneo),"Aquilaria cumingiana parvifolia, Aquilaria cummingiana parvifolia, Aquilaria grandifolia, Gyrinopsis grandifolia",Borneo agarwood species; peat swamp forests; all Aquilaria CITES II,Aquilaria,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / NFA 1984
2683272,Malaysia,,NATIONAL,,Cycas rumphii,Cycadopsida,species,Cycadaceae,"Ceylon sago, false sago, queen sago","Cycas celebica, Cycas corsoniana, Cycas duivenbodei, Cycas rumphii rumphii, Cycas rumphii subinclusa, Cycas speciosa, Zamia corsoniana",Coastal cycad; all Cycas CITES II (Appendix I for some species); ornamental trade,Cycas,no,,Protected (CITES Appendix II),Export permit required,CITES Regs
2683250,Malaysia,,NATIONAL,,Cycas pectinata,Cycadopsida,species,Cycadaceae,Pectinata cycad,"Cycas circinalis pectinata, Cycas dilatata, Cycas jenkinsiana, Cycas pectinata, Cycas pectinata pectinata",Limestone hill cycad; Peninsular Malaysia; habitat loss from quarrying,Cycas,no,,Protected (CITES Appendix II),Export permit required,CITES Regs
3568838,Malaysia,,NATIONAL,,Gonystylus bancanus,Magnoliopsida,species,Thymelaeaceae,Ramin,"Aquilaria bancana, Gonystylus bancanus, Gonystylus hackenbergii",Peat swamp forest timber; CITES Appendix II since 2004; illegal logging continues,Gonystylus,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / NFA 1984
3033968,Malaysia,,NATIONAL,,Eusideroxylon zwageri,Magnoliopsida,species,Lauraceae,"Billian, Borneo ironwood, ulin, Borneo Ironwood","Bihania borneensis, Cinnamomum borneense, Cryptocarya laurifolia, Eusideroxylon borneense, Salgada laurifolia",Belian; hardest tropical timber; harvesting ban in multiple states; poaching continues,Eusideroxylon,no,,Totally Protected Timber,Felling prohibited,National Forestry Act 1984
4097193,Malaysia,,NATIONAL,,Shorea leprosula,Magnoliopsida,species,Dipterocarpaceae,"Light Red Meranti, Meranti","Hopea maranti, Shorea astrosticta, Shorea maranti",Major commercial dipterocarp; IUCN Endangered; dominant canopy tree in lowland forest,Shorea,no,,Protected Forest Species,Harvest regulated,National Forestry Act 1984
4097012,Malaysia,,NATIONAL,,Shorea macrophylla,Magnoliopsida,species,Dipterocarpaceae,Light Red Meranti,"Hopea macrophylla, Pachychlamys gysbertsiana, Shorea bakeriana, Shorea gysbertsiana",Engkabang; major dipterocarp; seed traded for illipe butter,Shorea,no,,Protected Forest Species,Harvest regulated,National Forestry Act 1984
4097416,Malaysia,,NATIONAL,,Dipterocarpus costulatus,Magnoliopsida,species,Dipterocarpaceae,Keruing,NA,Keruing timber species; IUCN CR; lowland dipterocarp forest; oil from resin,Dipterocarpus,no,,Protected Forest Species,Harvest regulated,National Forestry Act 1984
4096510,Malaysia,,NATIONAL,,Neobalanocarpus heimii,Magnoliopsida,species,Dipterocarpaceae,Chengal,"Balanocarpus heimii, Balanocarpus wrayi, Pierrea penangiana",Most prized Malaysian timber; extremely slow-growing; harvest quotas strictly enforced,Neobalanocarpus,no,,Protected Premium Timber,Felling restricted,National Forestry Act 1984
2963233,Malaysia,,NATIONAL,,Intsia palembanica,Magnoliopsida,species,Fabaceae,"Borneo-teak, merbau","Afzelia bakeri, Afzelia palembanica, Intsia bakeri, Intsia plurijuga",Premium hardwood for furniture; heavily logged; Peninsular and Borneo,Intsia,no,,Protected Forest Species,Harvest regulated,National Forestry Act 1984
3189690,Malaysia,,NATIONAL,,Dryobalanops aromatica,Magnoliopsida,species,Dipterocarpaceae,"Borneo Camphorwood, Borneo camphor, Camphor Tree, Indonesian Kapur, Malay camphor, Sarawak Kapur, Sumatra camphor, Sumatran Camphor, Malay Camphor","Dipterocarpus camphorus, Dipterocarpus dryobalanops, Dipterocarpus junghuhnii, Dipterocarpus teres, Dipterocarpus vriesii, Dryobalanops camphora, Dryobalanops junghuhnii, Dryobalanops sumatrensis, Dryobalanops vriesii, Laurus sumatrensis, Pterigium teres, Shorea camphorifera, Shorea costata, Vatica camphorifera",Camphor-producing dipterocarp; Peninsular Malaysia lowlands; severely depleted,Dryobalanops,no,,Protected Forest Species,Harvest regulated,National Forestry Act 1984
7711019,Malaysia,,NATIONAL,,Koompassia malaccensis,Magnoliopsida,species,Fabaceae,Kempas,Koompassia beccariana,Tualang; tallest tropical tree; protected as honey tree for Apis dorsata colonies,Koompassia,no,,Protected (Honey Tree),Felling prohibited in some states,NFA 1984 / State rules
2731747,Malaysia,,NATIONAL,,Johannesteijsmannia altifrons,Magnoliopsida,species,Arecaceae,Johannesteijsmannia palm,Teysmannia altifrons,Diamond-shaped undivided leaf palm; Peninsular Malaysia understorey endemic,Johannesteijsmannia,no,,Protected (WCA 2010),Collection restricted,WCA 2010 / NFA 1984
3169754,Malaysia,,NATIONAL,,Dyera costulata,Magnoliopsida,species,Apocynaceae,"hill jelutong, jelutong","Alstonia costulata, Alstonia eximia, Alstonia grandifolia, Dyera laxiflora",Latex-producing tree; historically over-tapped; NFA regulated species,Dyera,no,,Protected Forest Species,Harvest regulated,National Forestry Act 1984
3709190,Malaysia,,NATIONAL,,Eurycoma longifolia,Magnoliopsida,species,Simaroubaceae,Tongkat ali,NA,High-value medicinal plant; wild-harvesting pressure; FRIM conservation programme,Eurycoma,no,,Harvest regulated,Collection permit required,NFA 1984 / State rules
7279683,Malaysia,,NATIONAL,,Rafflesia arnoldi,Magnoliopsida,species,Rafflesiaceae,Sabah Rafflesia,Rafflesia titan,World largest single flower; Sabah populations; WCE Schedule 1,Rafflesia,no,,Totally Protected (Sabah WCE 1997),Collection/trade prohibited,Sabah WCE 1997 Schedule 1
2981499,Malaysia,,NATIONAL,,Strongylodon macrobotrys,Magnoliopsida,species,Fabaceae,jadevine,"Strongylodon megaphyllus, Strongylodon warburgii",Turquoise flowers; planted in Sabah gardens; wild populations declining,Strongylodon,no,,Protected (Sabah WCE 1997),Collection permit required,Sabah WCE 1997 Schedule 2
3702210,Malaysia,,NATIONAL,,Nepenthes northiana,Magnoliopsida,species,Nepenthaceae,Sarawak pitcher plant,"Nepenthes decurrens, Nepenthes nordtiana, Nepenthes nordtiana pulchra, Nepenthes northiana pulchra, Nepenthes spuria",Sarawak limestone endemic; spectacular pitcher; overcollected historically,Nepenthes,no,,Totally Protected (Sarawak WLPO 1998),Collection/trade prohibited,Sarawak WLPO 1998 / CITES
2765940,Malaysia,,NATIONAL,,Pontederia crassipes,Magnoliopsida,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,Major invasive in Malaysian reservoirs and rivers; waterway blockage,Pontederia,no,,Invasive Species,Control mandated,EQA 1974 / State rules
5398421,Malaysia,,NATIONAL,,Mikania micrantha,Magnoliopsida,species,Asteraceae,"American rope, Chinese creeper, Mile-a-minute weed, Chinese creeper, Mile-a-minute, bittervine, climbing hempweed, mikania-vine, mile-a-minute, Mile-a-minute Weed","Eupatorium denticulatum, Eupatorium orinocense, Eupatorium orinocense tamoides, Eupatorium orinocense batatifolium, Eupatorium orinocense orinocense, Mikania batatifolia, Mikania cordata indica, Mikania deltoides, Mikania denticulata, Mikania glechomaefolia, Mikania glechomifolia, Mikania micrantha hirsuta, Mikania micrantha typica, Mikania micrantha micrantha, Mikania micrantha cynanchifolia, Mikania orinocensis, Mikania scandens genuina, Mikania scandens pubescens, Mikania scandens cynanchifolia, Mikania scandens sagittifolia, Mikania scandens subcymosa, Mikania scandens umbellifera, Mikania scandens hirsuta, Mikania scandens villosa, Mikania sinuata, Mikania subcrenata, Mikania subcymosa, Mikania tamoides, Mikania umbellifera, Mikania variabilis, Willoughbya heterophylla, Willoughbya micrantha, Willoughbya scandens orinocensis, Willoughbya variabilis",Mile-a-minute vine; major problem in oil palm and rubber plantations,Mikania,no,,Invasive Species,Control in plantations,State Forestry Acts
2969431,Malaysia,,NATIONAL,,Mimosa pigra,Magnoliopsida,species,Fabaceae,"Black mimosa, Giant sensitive-plant, Giant sensitive-tree, bashful plant, bashfulplant, black mimosa, catclaw mimosa, giant mimosa, giant sensitive-plant, giant sensitive-tree, sensitive-plant, thorny sensitive plant, thorny sensitive-plant","Mimosa asperata pigra, Mimosa brasiliensis, Mimosa polycantha",Thorny shrub invading wetlands; displaces native vegetation in Peninsular Malaysia,Mimosa,no,,Invasive Species,Control mandated,State Agriculture Dept rules
3087725,Malaysia,,NATIONAL,,Chromolaena odorata,Magnoliopsida,species,Asteraceae,"Bitter bush, Jack in the bush, Siam weed, Triffid weed, Christmas Bush, Christmasbush, Jack in the bush, Siamweed, bitterbush, butterfly-weed, devilweed, hagonoy, jack-in-the-bush, paraffin-weed, triffidweed, Siam weed","Chromolaena barranquillensis, Chromolaena clematitis, Chromolaena odorata squarrosa, Chrysocoma maculata, Chrysocoma volubilis, Eupatorium atriplicifolium, Eupatorium barranquillense, Eupatorium brachiatum, Eupatorium clematitis, Eupatorium conyzoides, Eupatorium conyzoides angustiflorum, Eupatorium conyzoides conyzoides, Eupatorium conyzoides glabratum, Eupatorium conyzoides floribunda, Eupatorium conyzoides heterolepis, Eupatorium conyzoides incanum, Eupatorium conyzoides paucidentatum, Eupatorium conyzoides pauciflorum, Eupatorium conyzoides scaberulum, Eupatorium conyzoides tambillense, Eupatorium conyzoides extensum, Eupatorium conyzoides floribundum, Eupatorium conyzoides glabrescens, Eupatorium conyzoides maximiliani, Eupatorium conyzoides phyllocephalum, Eupatorium dichotomum, Eupatorium divergens, Eupatorium floribundum, Eupatorium graciliflorum, Eupatorium incisum, Eupatorium klattii, Eupatorium margaritense glabrescens, Eupatorium margaritense heterolepis, Eupatorium margaritense phyllocephalum, Eupatorium odoratum, Eupatorium odoratum odoratum, Eupatorium odoratum scandens, Eupatorium odoratum squarrosum, Eupatorium odoratum brachiatum, Eupatorium odoratum cubense, Eupatorium odoratum mallotophyllum, Eupatorium odoratum pauciflorum, Eupatorium sabeanum, Eupatorium stigmatosum, Eupatorium stigmatosum stigmatosum, Osmia atriplicifolia, Osmia clematitis, Osmia conyzoides, Osmia divergens, Osmia floribunda, Osmia graciliflora, Osmia odorata",Aggressive weed in disturbed land; fire hazard in dry season; oil palm plantations,Chromolaena,no,,Invasive Species,Control in plantations,State Agriculture Dept rules
