GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_th,restriction_type,governing_law
2821296,Thailand,,NATIONAL,,Grammatophyllum speciosum,Magnoliopsida,species,Orchidaceae,Tiger orchid,"Grammatophyllum fastuosum, Grammatophyllum giganteum, Grammatophyllum macranthum, Grammatophyllum sanderianum, Pattonia macrantha",World's largest orchid species; southern Thailand; CITES App. II; habitat loss from deforestation,Grammatophyllum,no,,Protected (CITES App. II / Plants Act B.E. 2518),Collection/trade regulated,CITES / Plants Act B.E. 2518
2683286,Thailand,,NATIONAL,,Cycas siamensis,Cycadopsida,species,Cycadaceae,Thai sago cycad,"Cycas aurea, Cycas boddamii, Cycas immersa, Cycas intermedia, Cycas siamensis siamensis, Epicycas siamensis",Prong pa; all Cycas spp. CITES App. II; slow-growing; over-collected for ornamental trade; limestone karsts in Kanchanaburi,Cycas,no,,Protected (CITES App. II / Plants Act B.E. 2518),Collection/trade regulated,CITES / Plants Act B.E. 2518
2683250,Thailand,,NATIONAL,,Cycas pectinata,Cycadopsida,species,Cycadaceae,Pectinate cycad,"Cycas circinalis pectinata, Cycas dilatata, Cycas jenkinsiana, Cycas pectinata, Cycas pectinata pectinata",Northern Thailand montane forests; CITES App. II; declining due to habitat loss and collection,Cycas,no,,Protected (CITES App. II / Plants Act B.E. 2518),Collection/trade regulated,CITES / Plants Act B.E. 2518
3190712,Thailand,,NATIONAL,,Nepenthes mirabilis,Magnoliopsida,species,Nepenthaceae,tropical pitcherplant,"Nepenthes albolineata, Nepenthes alicae, Nepenthes aliciae, Nepenthes armbrustae, Nepenthes beccariana, Nepenthes bernaysii, Nepenthes cantharifera, Nepenthes cholmondeleyi, Nepenthes distillatoria, Nepenthes echinostoma, Nepenthes fimbriata, Nepenthes fimbriata leptostachya, Nepenthes garrawayae, Nepenthes hainanensis, Nepenthes hainaniana, Nepenthes hainensis, Nepenthes jardinei, Nepenthes kennedyana, Nepenthes kennedyi, Nepenthes macrostachya, Nepenthes mirabilis, Nepenthes mirabilis biflora, Nepenthes mirabilis echinostoma, Nepenthes mirabilis globosa, Nepenthes moluccensis, Nepenthes moorei, Nepenthes pascoensis, Nepenthes phyllamphora, Nepenthes phyllamphora macrantha, Nepenthes phyllamphora pediculata, Nepenthes phyllamphora platyphylla, Nepenthes phyllamphora speciosa, Nepenthes rowanae, Nepenthes scyphus, Nepenthes tubulosa, Phyllamphora mirabilis",Widespread tropical pitcher plant; Thailand populations on CITES Appendix II; popular in carnivorous plant trade,Nepenthes,no,,Protected (WACPPA B.E. 2562 / CITES App. II),Collection/trade regulated,WACPPA B.E. 2562 / CITES
3702171,Thailand,,NATIONAL,,Nepenthes smilesii,Magnoliopsida,species,Nepenthaceae,Nepenthes (Thai),"Nepenthes annamensis, Nepenthes micholitzii, Nepenthes thorelii",Thai endemic pitcher plant; Isan region peat swamps; all Nepenthes CITES App. II; habitat threatened by agriculture,Nepenthes,no,,Protected (WACPPA B.E. 2562 / CITES App. II),Collection/trade regulated,WACPPA B.E. 2562 / CITES
3941194,Thailand,,NATIONAL,,Rafflesia kerrii,Magnoliopsida,species,Rafflesiaceae,Rafflesia,NA,World's largest individual flower; Khao Sok NP; parasitic on Tetrastigma vines; highly threatened; ecotourism icon,Rafflesia,no,,Conserved plant (Plants Act B.E. 2518),Collection/disturbance prohibited,Plants Act B.E. 2518
2925649,Thailand,,NATIONAL,,Tectona grandis,Magnoliopsida,species,Lamiaceae,"Bankok teak, Indian Oak, Indian-oak, Segun, Teak, teak","Jatus grandis, Tectona grandis abludens, Tectona grandis canescens, Tectona grandis pilosula, Tectona grandis punctata, Tectona grandis tomentella, Tectona theca, Theka grandis",Royal Forest Department ban on all commercial logging 1989; teak still illegally harvested near Myanmar border; plantation teak export permitted,Tectona,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
5669231,Thailand,,NATIONAL,,Hopea odorata,Magnoliopsida,species,Dipterocarpaceae,Ironwood,"Doona odorata, Hopea decandra, Hopea odorata eglandulosa, Hopea odorata flavescens, Hopea vasta, Hopea wightiana, Neisandra indica",Takian thong; sacred tree in Thai culture; Dipterocarpaceae; logging ban 1989; specimen trees protected at temple sites,Hopea,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
4096596,Thailand,,NATIONAL,,Dipterocarpus alatus,Magnoliopsida,species,Dipterocarpaceae,hairy-leaf apitong,"Dipterocarpus costatus, Dipterocarpus gonopterus, Dipterocarpus incanus, Dipterocarpus philippinensis, Hopea conduplicata, Oleoxylon balsamifera, Oleoxylon balsamiferum",Yang na; provincial tree of Kanjanaburi; dominant canopy dipterocarp; oleo-resin historically harvested; logging ban 1989,Dipterocarpus,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
8428976,Thailand,,NATIONAL,,Dipterocarpus costatus,Magnoliopsida,species,Dipterocarpaceae,Keruing,"Dipterocarpus alatus, Dipterocarpus angustifolius, Dipterocarpus artocarpifolius, Dipterocarpus costatus, Dipterocarpus insularis, Dipterocarpus lemeslei, Dipterocarpus parvifolius, Dipterocarpus scaber, Hopea scabra, Ipterocarpus insularis, Pterigium costatum, Shorea costata",Yang khon; important timber dipterocarp; eastern and southern Thailand forests; protected under blanket logging ban,Dipterocarpus,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
5358297,Thailand,,NATIONAL,,Afzelia xylocarpa,Magnoliopsida,species,Fabaceae,Makha mong,"Afzelia cochinchinensis, Afzelia siamica, Pahudia cochinchinensis, Pahudia macrocarpa, Pahudia xylocarpa",Makha; premium hardwood; deciduous forest species; Isan and central Thailand; protected under 1989 ban; illegal logging persists,Afzelia,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
4096555,Thailand,,NATIONAL,,Shorea obtusa,Magnoliopsida,species,Dipterocarpaceae,Siamese sal,"Shorea leucobotrya, Shorea obtusa subevenis, Vatica obtusa",Rang; dominant dry dipterocarp forest species; northern and northeastern Thailand; timber ban 1989,Shorea,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
4097162,Thailand,,NATIONAL,,Anthoshorea roxburghii,Magnoliopsida,species,Dipterocarpaceae,White Meranti,NA,Phayom; flowers used in Buddhist ceremonies; dry evergreen and mixed deciduous forests; logging ban 1989,Anthoshorea,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
4195539,Thailand,,NATIONAL,,Cibotium barometz,Polypodiopsida,species,Cibotiaceae,"Lamb of Tartary, Scythian-lamb","? baranetz, ? baromez, Aspidium barometz, Balantium glaucescens, Cibotium assamicum, Cibotium baranetz, Cibotium barometz sumatranum, Cibotium djambianum, Cibotium glaucescens, Cibotium glaucophyllum, Cibotium sumatranum, Dicksonia assamica, Dicksonia baranetz, Dicksonia barometz, Dicksonia baromez, Nephrodium barometz, Nephrodium baromez, Polypodium barometz",Khut kra jok; tree fern; rhizome traded in traditional medicine; CITES App. II; northern Thailand montane forests,Cibotium,no,,Conserved plant (Plants Act B.E. 2518) / CITES App. II,Collection prohibited,Plants Act B.E. 2518 / CITES
2757556,Thailand,,NATIONAL,,Curcuma alismatifolia,Magnoliopsida,species,Zingiberaceae,Siam Tulip,Hitcheniopsis alismatifolia,Thailand's major commercial flower export; wild populations protected; commercial cultivation permitted; Chaiyaphum provincial flower,Curcuma,no,,Permitted commercial export <U+2014> regulated,Trade regulated (export permit),Plants Act B.E. 2518 <U+2014> prohibited export list
7461054,Thailand,,NATIONAL,,Mitragyna speciosa,Magnoliopsida,species,Rubiaceae,Kratom,"Mitragyna speciosa, Nauclea korthalsii, Nauclea luzoniensis, Nauclea speciosa, Stephegyne speciosa",Formerly Narcotics Act Schedule V; decriminalised Aug 2021; Kratom Act 2022 regulates commercial production and age restrictions,Mitragyna,no,,Decriminalised 2021; regulated cultivation,Cultivation/sale regulated,Kratom Act B.E. 2565 (2022)
2888439,Thailand,,NATIONAL,,Papaver somniferum,Magnoliopsida,species,Papaveraceae,"Oilseed Poppy, Opium Poppy, Opium poppy, Small Opium Poppy, Wild Poppy, garden poppy, oilseed poppy, opium poppy, small opium poppy, wild poppy, Common Garden Poppy, Common Poppy, Garden Poppy, Opium","Papaver album, Papaver album-nigrum, Papaver amoenum, Papaver amplexicaule, Papaver glabrum, Papaver hortense, Papaver indehiscens, Papaver nigrum, Papaver officinale, Papaver opiiferum, Papaver paeoniiflorum, Papaver polycephalum, Papaver setigerum nigrum, Papaver somniferum albiflorum, Papaver somniferum album, Papaver somniferum authemanii, Papaver somniferum euroasiaticum, Papaver somniferum hortense, Papaver somniferum nigrum, Papaver somniferum officinale, Papaver somniferum officinalis, Papaver somniferum opiiferum, Papaver somniferum subspontaneum, Papaver somniferum variegatum, Papaver somniferum austroviolaceum, Papaver somniferum coerulescens, Papaver somniferum glaucum, Papaver somniferum hypoleucum, Papaver somniferum laciniatum, Papaver somniferum leucum, Papaver somniferum paeoniiflorum, Papaver somniferum pallidum, Papaver somniferum plenum, Papaver somniferum poecilospermum, Papaver somniferum pullatum, Papaver somniferum rubellum, Papaver somniferum valdesetosum, Papaver somniferum violiflorum, Papaver sylvestre, Papaver authemanii",Schedule IV narcotic; highland eradication programme; Royal Project substitution crops; northern border provinces,Papaver,no,,Prohibited (Narcotics Act B.E. 2522),Cultivation/possession prohibited,Narcotics Act B.E. 2522 (1979)
2882449,Thailand,,NATIONAL,,Nelumbo nucifera,Magnoliopsida,species,Nelumbonaceae,"East Indian lotus, East indian lotus, Oriental lotus, Sacred Lotus, Sacred lotus, lotus, lotusroot, sacred lotus, oriental lotus","Nelumbium album, Nelumbium asiaticum, Nelumbium caspicum, Nelumbium caspium, Nelumbium discolor, Nelumbium indicum, Nelumbium javanicum, Nelumbium marginatum, Nelumbium nelumbo, Nelumbium nuciferum, Nelumbium rheedii, Nelumbium speciosum, Nelumbium speciosum caspicum, Nelumbium speciosum album-plenum, Nelumbium speciosum roseum-plenum, Nelumbium speciosum tamara, Nelumbium tamara, Nelumbium transversum, Nelumbium turbinatum, Nelumbium venosum, Nelumbo caspica, Nelumbo indica, Nelumbo komarovii, Nelumbo nelumbo, Nelumbo nucifera macrorhizomata, Nelumbo speciosa, Nelumbo speciosa alba, Nelumbo speciosa caspica, Nelumbo speciosa tamara, Nymphaea nelumbo, Tamara alba, Tamara hemisphaerica, Tamara rubra",Bua luang; culturally significant; protected within national park boundaries; Thale Noi wetlands Ramsar site,Nelumbo,no,,Protected in national parks (NP Act B.E. 2562),Collection prohibited in NPs,National Park Act B.E. 2562
5361935,Thailand,,NATIONAL,,Ficus religiosa,Magnoliopsida,species,Moraceae,"Bodhi tree, Peepul Tree, botree, peepul tree, peepultree, sacred fig","Ficus caudata, Ficus peepul, Ficus religiosa cordata, Ficus religiosa rhynchophylla, Ficus rhynchophylla, Ficus superstitiosa, Urostigma affine, Urostigma religiosa",Ton pho; Buddhist significance; protected at temple and heritage sites under multiple laws; Ayutthaya and Sukhothai by-laws,Ficus,no,,Protected (heritage tree / NP Act B.E. 2562),Felling prohibited at heritage sites,NP Act B.E. 2562 / Ancient Monuments Act
5635606,Thailand,,NATIONAL,,Sonneratia caseolaris,Magnoliopsida,species,Lythraceae,Mangrove apple,"Aubletia caseolaris, Blatti acida, Blatti caseolaris, Rhizophora caseolaris, Sonneratia acida, Sonneratia caseolaris, Sonneratia evenia, Sonneratia neglecta, Sonneratia obovata, Sonneratia ovalis, Sonneratia rubra",Keystone mangrove species; coastal fisheries habitat; mangrove loss in Thailand ~25% since 1990,Sonneratia,no,,Protected (mangrove forest regulations),Mangrove felling prohibited,Mangrove Management regulations / WACPPA
2738422,Thailand,,NATIONAL,,Nypa fruticans,Magnoliopsida,species,Arecaceae,"Nipa Palm, Nypa Palm, mangrove palm, nipa, nipa palm, Mangrove Palm","Cocos nypa, Nipa arborescens, Nipa fruticans, Nipa fruticans neameana, Nipa litoralis, Nipa littorals, Nypa arborescens, Nypa fruticans neameana",Chak; estuarine palm; Rayong and Trat mangrove zones; frond harvest permitted under community use plans only,Nypa,no,,Protected (mangrove forest regulations),Mangrove felling prohibited,Mangrove Management regulations / WACPPA
3086526,Thailand,,NATIONAL,,Rhizophora apiculata,Magnoliopsida,species,Rhizophoraceae,"Mangrove, mangrove","Rhizophora candelaria, Rhizophora conjugata",Kong kang bai lek; dominant Thai mangrove; charcoal production historically; now protected; replanting programmes active,Rhizophora,no,,Protected (mangrove forest regulations),Mangrove felling prohibited,Mangrove Management regulations / WACPPA
2777724,Thailand,,NATIONAL,,Aloe vera,Magnoliopsida,species,Asphodelaceae,"Barbados Aloe, Barbados Aloes, Barbados aloe, Common Aloes, Curaçao aloe, Indian aloe, Jaffarabad aloe, Mediterranean aloe, West Indian aloe, aloe vera, burn plant, coastal aloe, common aloe, medicinal aloe, star cactus, true aloe, unguentine cactus, Aloe","Aloe barbadensis, Aloe barbadensis chinensis, Aloe chinensis, Aloe elongata, Aloe flava, Aloe humilis, Aloe indica, Aloe lanzae, Aloe maculata, Aloe perfoliata barbadensis, Aloe perfoliata vera, Aloe rubescens, Aloe variegata, Aloe vera chinensis, Aloe vera lanzae, Aloe vera littoralis, Aloe vulgaris",All Aloe spp. CITES App. II except A. vera (exempt from annotation); cultivated commercially; wild Aloe not native to Thailand,Aloe,no,,Protected (CITES App. II),Export permit required,CITES / WACPPA B.E. 2562
5304529,Thailand,,NATIONAL,,Dracaena cochinchinensis,Magnoliopsida,species,Asparagaceae,Siamese crocodile tree,"Aletris cochinchinensis, Dracaena loureiroi, Dracaena saposchnikowii, Draco saposchnikowii, Pleomele cochinchinensis",Chan pha; dragon's blood resin; eastern Thailand; rare in wild; Red Data list; sometimes confused with D. draco,Dracaena,no,,Preserved plant <U+2014> logging banned (1989),All logging prohibited in natural forests,Logging Ban Policy 1989 / Forest Act
5383898,Thailand,,NATIONAL,,Dillenia indica,Magnoliopsida,species,Dilleniaceae,"Chulta, Elephant Apple, chulta, dillenia, elephant-apple","Dillenia elliptica, Dillenia elongata, Dillenia indica elongata, Dillenia speciosa",Ma tad; large-fruited tree of riparian forests; NP-protected; fruits used in Thai cuisine; habitat loss from dam construction,Dillenia,no,,Protected in national parks (NP Act B.E. 2562),Collection prohibited in NPs,National Park Act B.E. 2562
10242935,Thailand,,NATIONAL,,Streblus asper,Magnoliopsida,species,Moraceae,Khoi paper tree,"Achymus pallens, Achymus patens, Albrandia gaudichaudii, Albrandia orientalis, Albrandia timorensis, Calius lactescens, Cudrania crenata, Diplothorax tonkinensis, Epicarpurus asper, Epicarpurus gaudichaudii, Epicarpurus orientalis, Morus indica, Morus tatarica, Streblus lactescens, Trophis aspera, Trophis cochinchinensis, Vanieria crenata",Khoi; bark used for traditional khoi paper (Thai manuscripts); controlled plant under Plants Act; cultural heritage value,Streblus,no,,Protected (Plants Act B.E. 2518 <U+2014> controlled),Export regulated,Plants Act B.E. 2518
3087725,Thailand,,NATIONAL,,Chromolaena odorata,Magnoliopsida,species,Asteraceae,"Bitter bush, Jack in the bush, Siam weed, Triffid weed, Christmas Bush, Christmasbush, Jack in the bush, Siamweed, bitterbush, butterfly-weed, devilweed, hagonoy, jack-in-the-bush, paraffin-weed, triffidweed, Siam weed","Chromolaena barranquillensis, Chromolaena clematitis, Chromolaena odorata squarrosa, Chrysocoma maculata, Chrysocoma volubilis, Eupatorium atriplicifolium, Eupatorium barranquillense, Eupatorium brachiatum, Eupatorium clematitis, Eupatorium conyzoides, Eupatorium conyzoides angustiflorum, Eupatorium conyzoides conyzoides, Eupatorium conyzoides glabratum, Eupatorium conyzoides floribunda, Eupatorium conyzoides heterolepis, Eupatorium conyzoides incanum, Eupatorium conyzoides paucidentatum, Eupatorium conyzoides pauciflorum, Eupatorium conyzoides scaberulum, Eupatorium conyzoides tambillense, Eupatorium conyzoides extensum, Eupatorium conyzoides floribundum, Eupatorium conyzoides glabrescens, Eupatorium conyzoides maximiliani, Eupatorium conyzoides phyllocephalum, Eupatorium dichotomum, Eupatorium divergens, Eupatorium floribundum, Eupatorium graciliflorum, Eupatorium incisum, Eupatorium klattii, Eupatorium margaritense glabrescens, Eupatorium margaritense heterolepis, Eupatorium margaritense phyllocephalum, Eupatorium odoratum, Eupatorium odoratum odoratum, Eupatorium odoratum scandens, Eupatorium odoratum squarrosum, Eupatorium odoratum brachiatum, Eupatorium odoratum cubense, Eupatorium odoratum mallotophyllum, Eupatorium odoratum pauciflorum, Eupatorium sabeanum, Eupatorium stigmatosum, Eupatorium stigmatosum stigmatosum, Osmia atriplicifolia, Osmia clematitis, Osmia conyzoides, Osmia divergens, Osmia floribunda, Osmia graciliflora, Osmia odorata",Siam weed; major invasive in Thai forest margins and buffer zones; displaces native ground flora rapidly; fire-prone,Chromolaena,no,,Invasive <U+2014> management required,Control mandated in reserves,DNP management plans
2765940,Thailand,,NATIONAL,,Pontederia crassipes,Magnoliopsida,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,"Phak tob chawa; clogs Thai waterways and reservoirs; >100,000 ha affected; control programme ongoing",Pontederia,no,,Invasive <U+2014> control required,Control mandated,ONEP / RID regulations
2969431,Thailand,,NATIONAL,,Mimosa pigra,Magnoliopsida,species,Fabaceae,"Black mimosa, Giant sensitive-plant, Giant sensitive-tree, bashful plant, bashfulplant, black mimosa, catclaw mimosa, giant mimosa, giant sensitive-plant, giant sensitive-tree, sensitive-plant, thorny sensitive plant, thorny sensitive-plant","Mimosa asperata pigra, Mimosa brasiliensis, Mimosa polycantha",Mai yara phon; IUCN 100 worst invasive species; invades wetlands and Mekong floodplains; thorny thickets displace native riparian flora,Mimosa,no,,Invasive <U+2014> control required,Control mandated in wetlands,ONEP / DNP management plans
2970418,Thailand,,NATIONAL,,Leucaena leucocephala,Magnoliopsida,species,Fabaceae,"Horse/wild tamarind, Jumbie bean, Lead tree, Leucaena, Mimosa, Tan Tan, Tantan Tree, White leadtree, Wild Tamarind, coffeebush, horse-tamarind, ipil-ipil, jumbie-bean, leadtree, leucaena, sneakytree","Acacia glauca, Acacia leucocephala, Leucaena glabra, Leucaena leucocephala, Mimosa leucocephala, Mimosa leucophala",Krathin; IUCN 100 worst invasives; nitrogen-fixer forming monocultures in disturbed forest; widespread in degraded Thai lowlands,Leucaena,no,,Invasive <U+2014> management required,Control in protected areas,ONEP management plans
5358460,Thailand,,NATIONAL,,Prosopis juliflora,Magnoliopsida,species,Fabaceae,"Mesquite, Prosopis, Mesquite, Algaroba bean, Mexican thorn, Ironwood, algarroba-bean, ironwood, mesquite","Acacia juliflora, Algarobia juliflora, Entada juliflora, Mimosa furcata, Mimosa juliflora, Neltuma juliflora, Neltuma occidenatlis, Prosopis vidaliana",Introduced for agroforestry; invasive in dry areas of Isan; forms impenetrable thickets; groundwater depletion concerns,Prosopis,no,,Invasive <U+2014> management required,Control in protected areas,ONEP management plans
