GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_id,restriction_type,governing_law
2825308,Indonesia,,NATIONAL,,Paphiopedilum javanicum,Magnoliopsida,species,Orchidaceae,Java Paphiopedilum,"Cordula javanica, Cordula virens, Cypripedium javanicum, Cypripedium javanicum majus, Cypripedium virens, Paphiopedilum javanicum nymphenburgianum, Paphiopedilum javanicum javanicum, Paphiopedilum purpurascens, Paphiopedilum virens",Javanese endemic slipper orchid; montane forests; all Paphiopedilum spp. CITES I,Paphiopedilum,no,,Protected Species (GR 7/1999),Collection/trade prohibited,GR No. 7/1999 / CITES
2811624,Indonesia,,NATIONAL,,Coelogyne pandurata,Magnoliopsida,species,Orchidaceae,Borneo orchid (black),"Coelogyne peltastes unguiculata, Pleione pandurata",Black orchid of Borneo; highly prized horticulturally,Coelogyne,no,,Protected (CITES Appendix II),Collection permit required,CITES Regs / GR 7/1999
5311007,Indonesia,,NATIONAL,,Phalaenopsis amabilis,Magnoliopsida,species,Orchidaceae,Moon orchid,"Cymbidium amabile, Epidendrum amabile, Phalaenopsis amabilis ramosa, Synadena amabilis",National flower of Indonesia (Puspa Pesona); all Orchidaceae CITES II,Phalaenopsis,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / GR 7/1999
2783198,Indonesia,,NATIONAL,,Vanda tricolor,Magnoliopsida,species,Orchidaceae,Orchid,Vanda tricolor,PP 7/1999 protected orchid; Java and Bali; highly sought by collectors,Vanda,no,,Protected Species (GR 7/1999),Collection permit required,GR No. 7/1999 / CITES
4930502,Indonesia,,NATIONAL,,Nepenthes sumatrana,Magnoliopsida,species,Nepenthaceae,Pitcher plant (Sumatra),"Nepenthes boschiana sumatrana, Nepenthes longifolia, Nepenthes maxima sumatrana, Nepenthes spinosa, Nepenthes sumatrana, Nepenthes treubiana",Sumatran endemic pitcher plant; all Nepenthes spp. CITES II,Nepenthes,no,,Protected (CITES Appendix II),Export permit required,CITES Regs / GR 7/1999
3702163,Indonesia,,NATIONAL,,Nepenthes rajah,Magnoliopsida,species,Nepenthaceae,Pitcher plant (Rajah-type),NA,Borneo highland; largest pitchers of any Nepenthes; overcollected,Nepenthes,no,,Protected (CITES Appendix II),Collection/trade regulated,CITES Regs
3702034,Indonesia,,NATIONAL,,Nepenthes lowii,Magnoliopsida,species,Nepenthaceae,Pitcher plant (Kalimantan),"Nepenthes macfarlanei, Nepenthes maxima lowii",Borneo endemic; mutualism with tree shrews; all Nepenthes CITES II,Nepenthes,no,,Protected (CITES Appendix II),Export permit required,CITES Regs
5524063,Indonesia,,NATIONAL,,Aquilaria malaccensis,Magnoliopsida,species,Thymelaeaceae,"Indian aloewood, Malayan eaglewoodtree, agarwood, aloeswood, eaglewood, lign-aloes, Agarwood, Aloeswood, Eaglewood, Lign-aloes","Aquilaria agallocha, Aquilaria moluccensis, Aquilaria secundana, Aquilariella malaccensis, Cynometra agallocha",Major Indonesian export; overharvested for oud/incense; Sumatra and Kalimantan,Aquilaria,no,,Protected Species (GR 7/1999),Harvest/trade regulated,GR No. 7/1999 / CITES
5524056,Indonesia,,NATIONAL,,Aquilaria microcarpa,Magnoliopsida,species,Thymelaeaceae,Agarwood (Kalimantan),"Aquilaria borneensis, Aquilariella borneensis, Aquilariella microcarpa",Borneo endemic agarwood species; all Aquilaria spp. CITES II since 2004,Aquilaria,no,,Protected (CITES Appendix II),Harvest/trade regulated,CITES Regs / Forestry
3568838,Indonesia,,NATIONAL,,Gonystylus bancanus,Magnoliopsida,species,Thymelaeaceae,Ramin,"Aquilaria bancana, Gonystylus bancanus, Gonystylus hackenbergii",Peat swamp timber; Indonesia zero export quota since 2001; major smuggling target,Gonystylus,no,,Protected Timber (CITES App II),Export quota / permit,CITES Regs / Forestry
2683272,Indonesia,,NATIONAL,,Cycas rumphii,Cycadopsida,species,Cycadaceae,"Ceylon sago, false sago, queen sago","Cycas celebica, Cycas corsoniana, Cycas duivenbodei, Cycas rumphii rumphii, Cycas rumphii subinclusa, Cycas speciosa, Zamia corsoniana",All Cycas spp. CITES II; Indonesian populations heavily collected,Cycas,no,,Protected (CITES Appendix II),Collection/trade regulated,CITES Regs / GR 7/1999
2733461,Indonesia,,NATIONAL,,Livistona benthamii,Liliopsida,species,Arecaceae,Coelacanth palm,"Livistona holtzei, Livistona melanocarpa",All palms (Palmae) listed under CITES Appendix II,Livistona,no,,Protected (CITES Appendix II),Export permit required,CITES Regs
4071419,Indonesia,,NATIONAL,,Diospyros celebica,Magnoliopsida,species,Ebenaceae,"Indonesian Ebony, Macassar Ebony, Sulawesi Ebony, black ebony",NA,Sulawesi endemic; Makassar ebony; extremely slow growth; heavy illegal logging,Diospyros,no,,Protected Timber Species,Harvest/export regulated,Forestry Law / GR 7/1999
3033968,Indonesia,,NATIONAL,,Eusideroxylon zwageri,Magnoliopsida,species,Lauraceae,"Billian, Borneo ironwood, ulin, Borneo Ironwood","Bihania borneensis, Cinnamomum borneense, Cryptocarya laurifolia, Eusideroxylon borneense, Salgada laurifolia",PP 7/1999 protected; Borneo and Sumatra; prized construction timber; slow-growing,Eusideroxylon,no,,Protected Species (GR 7/1999),Harvest/trade regulated,GR No. 7/1999 / Forestry
5284400,Indonesia,,NATIONAL,,Agathis labillardierei,Pinopsida,species,Araucariaceae,"New Guinea kauri, New Guinea Kauri",NA,Papua endemic conifer; resin (copal) tree; heavily logged,Agathis,no,,Protected Species (GR 7/1999),Harvest regulated,GR No. 7/1999 / Forestry
2889785,Indonesia,,NATIONAL,,Santalum album,Magnoliopsida,species,Santalaceae,"East Indian sandalwood, Indian Sandalwood, Indian sandalwood, Sandalwood, Sandal, Sandal tree, White sandal tree, White sandalwood, Indian sandalwood, sandalwood, white sandalwood, white saunders, yellow sandalwood, yellow saunders, East Indian Sandalwood","Santalum ellipticum, Santalum myrtifolium, Santalum ovatum, Sirium myrtifolium",East Nusa Tenggara provincial monopoly timber; severe overexploitation,Santalum,no,,Protected Timber Species,Harvest/trade regulated,NTT Prov. Reg. / Forestry
4097313,Indonesia,,NATIONAL,,Anthoshorea bracteolata,Magnoliopsida,species,Dipterocarpaceae,White Meranti,NA,Sumatra and Kalimantan lowland dipterocarp; major timber species; habitat loss,Anthoshorea,no,,Protected Timber Species,Harvest/export regulated,Forestry Laws
4097193,Indonesia,,NATIONAL,,Shorea leprosula,Magnoliopsida,species,Dipterocarpaceae,"Light Red Meranti, Meranti","Hopea maranti, Shorea astrosticta, Shorea maranti",Dominant lowland dipterocarp; Sumatra and Kalimantan; plantation candidate,Shorea,no,,Protected Timber Species,Harvest/export regulated,Forestry Laws
3169754,Indonesia,,NATIONAL,,Dyera costulata,Magnoliopsida,species,Apocynaceae,"hill jelutong, jelutong","Alstonia costulata, Alstonia eximia, Alstonia grandifolia, Dyera laxiflora",PP 7/1999 protected; peat swamp forests; latex tree; Sumatra and Kalimantan,Dyera,no,,Protected Species (GR 7/1999),Harvest regulated,GR No. 7/1999 / Forestry
3153525,Indonesia,,NATIONAL,,Magnolia liliifera,Magnoliopsida,species,Magnoliaceae,Cempaka / magnolia (Sulawesi),"Aromadendron oreadum, Blumia candollei, Lirianthe liliifera, Lirianthe poilanei, Lirianthe pulgarensis, Liriodendron liliiferum, Magnolia andamanica, Magnolia candollei, Magnolia craibiana, Magnolia eriostepta poilanei, Magnolia forbesii, Magnolia kunstleri, Magnolia liliifera, Magnolia liliifera liliifera, Magnolia mutabilis, Magnolia odoratissima, Magnolia pachyphylla, Magnolia poilanei, Magnolia pulgarensis, Magnolia pumila, Magnolia rumphii, Magnolia splendens, Magnolia thamnodes, Magnolia thamnoides, Manglietia celebica, Manglietia sebassa, Manglietia thamnodes, Manglietia thamnoides, Talauma andamanica, Talauma athliantha, Talauma borneensis, Talauma candollei, Talauma candollei latifolia, Talauma celebica, Talauma forbesii, Talauma gitingensis, Talauma gitingensis glabra, Talauma gitingensis rotundata, Talauma gracilior, Talauma inflata, Talauma javanica, Talauma kunstleri, Talauma liliifera, Talauma longifolia, Talauma macrophylla, Talauma miqueliana, Talauma mutabilis, Talauma mutabilis acuminata, Talauma mutabilis longifolia, Talauma mutabilis splendens, Talauma nhatrangensis, Talauma oreadum, Talauma pulgarensis, Talauma pumila, Talauma reticulata, Talauma rubra, Talauma rumphii, Talauma sebassa, Talauma soembensis, Talauma sumatrana, Talauma thamnodes, Talauma thamnoides, Talauma undulatifolia",PP 7/1999 protected; culturally significant; Sulawesi and Maluku,Magnolia,no,,Protected Species (GR 7/1999),Collection regulated,GR No. 7/1999
7295833,Indonesia,,NATIONAL,,Diospyros oblonga,Magnoliopsida,species,Ebenaceae,Kayu hitam Sulawesi,NA,Sulawesi endemic ebony; limited range; illegally traded for musical instruments,Diospyros,no,,Protected Timber Species,Harvest/export regulated,Forestry Laws
2925649,Indonesia,,NATIONAL,,Tectona grandis,Magnoliopsida,species,Lamiaceae,"Bankok teak, Indian Oak, Indian-oak, Segun, Teak, teak","Jatus grandis, Tectona grandis abludens, Tectona grandis canescens, Tectona grandis pilosula, Tectona grandis punctata, Tectona grandis tomentella, Tectona theca, Theka grandis",Java plantation monopoly by Perhutani; wild teak overexploited in Sulawesi and NTT,Tectona,no,,Regulated Timber Species,Harvest/transport permit,Forestry Laws / Perhutani
2968662,Indonesia,,NATIONAL,,Dalbergia latifolia,Magnoliopsida,species,Fabaceae,"Bombay blackwood, East Indian rosewood, Indian Rosewood, Indian blackwood, Indian rosewood, Indonesian Rosewood, Malabar rosewood, black rosewood, blackwood, Bombay Blackwood, Malabar Rosewood","Amerimnon javanicum, Amerimnon latifolium, Dalbergia emarginata, Dalbergia javanica",All Dalbergia Appendix II since 2017; Java and Sulawesi; major export commodity,Dalbergia,no,,Protected Timber (CITES App II),Export permit required,CITES Regs / Forestry
2963211,Indonesia,,NATIONAL,,Intsia bijuga,Magnoliopsida,species,Fabaceae,"Borneo Teak, Borneo-teak, Ifil, Johnstone River-teak, Moluccan ironwood, Pacific-teak, ifil, scrub-mahogany, Moluccan Ironwood","Afzelia bijuga, Afzelia cambodiensis, Intsia bijuga glabra, Intsia moeleri, Macrolobium bijugum, Outea bijuga, Outes bijuga",Highly valued Pacific timber; widespread illegal logging in Maluku and Papua,Intsia,no,,Protected Timber Species,Harvest/export regulated,Forestry Laws
2968637,Indonesia,,NATIONAL,,Dalbergia sissoides,Magnoliopsida,species,Fabaceae,Malabar Blackwood,"Amerimmon javanicum, Amerimmon sissoides, Amerimnon sissoides, Dalbergia emarginata, Dalbergia latifolia sissoides, Dalbergia sissoides",All Dalbergia CITES II; Java furniture trade; heavily depleted wild populations,Dalbergia,no,,Protected Timber (CITES App II),Export permit required,CITES Regs / Forestry
3033985,Indonesia,,NATIONAL,,Cinnamomum burmanni,Magnoliopsida,species,Lauraceae,"Batavia cinnamon, Batavia-cassia, Indonesian-cassia, Java-cassia, Korintje-cassia, Malaysian Cinnamon, Malaysian cinnamon, Padang cassia, Padang cinnamon, Padang-cassia","Cinnamomum ammannii, Cinnamomum burmannii chinense, Cinnamomum burmannii kiamis, Cinnamomum cassia, Cinnamomum chinense, Cinnamomum dulce, Cinnamomum dulce ammannii, Cinnamomum dulce sieboldii, Cinnamomum dulce thunbergii, Cinnamomum dulcis, Cinnamomum hainanense, Cinnamomum kiamis, Cinnamomum macrostemon, Cinnamomum miaoshanense, Cinnamomum mindanaense, Cinnamomum mutabile, Cinnamomum nitidum, Cinnamomum sieboldii, Cinnamomum suaveolens, Cinnamomum thunbergii, Laurus burmanni, Laurus cinnamomoides, Laurus cinnamomum, Laurus dulcis, Laurus nitida, Persea dulcis, Persea nitida",Wild populations regulated; major plantation crop in West Sumatra (Kerinci),Cinnamomum,no,,Regulated Harvest Species,Harvest permit required,Forestry Laws
4097012,Indonesia,,NATIONAL,,Shorea macrophylla,Magnoliopsida,species,Dipterocarpaceae,Light Red Meranti,"Hopea macrophylla, Pachychlamys gysbertsiana, Shorea bakeriana, Shorea gysbertsiana",PP 7/1999 protected; Kalimantan NTFP; fat-producing dipterocarp,Shorea,no,,Protected Species (GR 7/1999),Harvest regulated,GR No. 7/1999 / Forestry
2978421,Indonesia,,NATIONAL,,Vachellia nilotica,Magnoliopsida,species,Fabaceae,gum arabic tree,NA,Invaded >50% of Baluran NP savanna (East Java); major removal programmes since 1990s,Vachellia,no,,Priority Invasive Species,Eradication mandated,KLHK Decree / NP regulations
2765940,Indonesia,,NATIONAL,,Pontederia crassipes,Liliopsida,species,Pontederiaceae,"Common water hyacinth, Kachuripana, Water hyacinth, common water hyacinth, common water-hyacinth, floating water hyacinth, floating waterhyacinth, lilac-devil, water hyacinth, water-hyacinth, Water-hyacinth",NA,"Major invasive in Sulawesi and Java freshwaters; clogs Lake Tempe, Rawapening",Pontederia,no,,Priority Invasive Species,Control mandated,Law 32/2024 / GR 60/2024
5398421,Indonesia,,NATIONAL,,Mikania micrantha,Magnoliopsida,species,Asteraceae,"American rope, Chinese creeper, Mile-a-minute weed, Chinese creeper, Mile-a-minute, bittervine, climbing hempweed, mikania-vine, mile-a-minute, Mile-a-minute Weed","Eupatorium denticulatum, Eupatorium orinocense, Eupatorium orinocense tamoides, Eupatorium orinocense batatifolium, Eupatorium orinocense orinocense, Mikania batatifolia, Mikania cordata indica, Mikania deltoides, Mikania denticulata, Mikania glechomaefolia, Mikania glechomifolia, Mikania micrantha hirsuta, Mikania micrantha typica, Mikania micrantha micrantha, Mikania micrantha cynanchifolia, Mikania orinocensis, Mikania scandens genuina, Mikania scandens pubescens, Mikania scandens cynanchifolia, Mikania scandens sagittifolia, Mikania scandens subcymosa, Mikania scandens umbellifera, Mikania scandens hirsuta, Mikania scandens villosa, Mikania sinuata, Mikania subcrenata, Mikania subcymosa, Mikania tamoides, Mikania umbellifera, Mikania variabilis, Willoughbya heterophylla, Willoughbya micrantha, Willoughbya scandens orinocensis, Willoughbya variabilis",Mile-a-minute vine; major threat in disturbed forests Kalimantan and Sulawesi,Mikania,no,,Invasive Species,Control in protected areas,KLHK regulations
2969431,Indonesia,,NATIONAL,,Mimosa pigra,Magnoliopsida,species,Fabaceae,"Black mimosa, Giant sensitive-plant, Giant sensitive-tree, bashful plant, bashfulplant, black mimosa, catclaw mimosa, giant mimosa, giant sensitive-plant, giant sensitive-tree, sensitive-plant, thorny sensitive plant, thorny sensitive-plant","Mimosa asperata pigra, Mimosa brasiliensis, Mimosa polycantha",Aggressive wetland invader; Way Kambas NP (Lampung); displaces native vegetation,Mimosa,no,,Invasive Species,Control in protected areas,KLHK regulations
2925303,Indonesia,,NATIONAL,,Lantana camara,Magnoliopsida,species,Verbenaceae,"Black Sage, Lantana, Largeleaf Lantana, Sage, Scrubby Cup, Scrubby Tree, Statia Sage, Wild Lantana, Yellow Sage, common lantana, kamara lantana, largeleaf lantana, wild sage, Common Lantana, Wild Sage, shrub verbena, wild sage bush","Camara vulgaris, Lantana camara camara, Lantana camara parvifolia, Lantana coccinea, Lantana glandulodissima, Lantana mexicana, Lantana spinosa, Lantana urticifolia urticifolia","Widespread invasive shrub; degraded forests Java, Bali, NTT; toxic to livestock",Lantana,no,,Invasive Species,Control in protected areas,KLHK regulations
