GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_sg,restriction_type,governing_law
4097193,Singapore,,NATIONAL,,Shorea leprosula,Magnoliopsida,species,Dipterocarpaceae,"Light Red Meranti, Meranti","Hopea maranti, Shorea astrosticta, Shorea maranti",Dipterocarp canopy tree; Bukit Timah NR remnant population; mass flowering events important for forest ecology; EN nationally,Shorea,no,,Endangered (Red Data Book) <U+2014> nature reserve protection,Habitat protection,Parks and Trees Act 2005
5669134,Singapore,,NATIONAL,,Hopea sangal,Magnoliopsida,species,Dipterocarpaceae,Merawan siput jantan,"Doona javanica, Doona micrantha, Dryobalanops neglectus, Dryobalanops sericea, Hopea albescens, Hopea curtisiae, Hopea curtisii, Hopea diversifolia, Hopea fagifolia, Hopea globosa, Hopea hasskarliana, Hopea javanica, Hopea lowii, Hopea macrosepala, Hopea minutiflora, Hopea sericea, Petalandra micrantha",CR dipterocarp; fewer than 50 mature trees in Bukit Timah NR; one of Singapore's rarest native trees,Hopea,no,,Critically Endangered (Red Data Book) <U+2014> strict protection,Collection prohibited,Parks and Trees Act 2005
5383897,Singapore,,NATIONAL,,Dillenia suffruticosa,Magnoliopsida,species,Dilleniaceae,"Shrubby dillenia, shrubby dillenia","Dillenia burbidgei, Dillenia suffruticosa borneensis, Wormia burbidgei, Wormia excelsa, Wormia revoluta, Wormia subsessilis, Wormia subsessilis borneensis, Wormia suffruticosa",Native pioneer shrub; waxy red fruits; ecologically important in secondary forest succession; protected in reserves,Dillenia,no,,Protected in nature reserves,Habitat protection in reserves,Parks and Trees Act 2005
3592169,Singapore,,NATIONAL,,Adinandra dumosa,Magnoliopsida,species,Pentaphylacaceae,Tiup tiup,"Adinandra cyrtopoda, Adinandra glabra, Adinandra jackiana, Adinandra stylosa, Adinandra trichocoryna, Adinandra trichocoryna cyrtopoda, Adinandra trichocoryna glabra, Adinandra trichocoryna parvifolia, Adinandra trichocoryna stylosa, Ternstroemia dumosa",Dominant tree of Singapore's adinandra belukar secondary forest; ecologically important habitat type; nature reserve protection,Adinandra,no,,Protected in nature reserves,Habitat protection in reserves,Parks and Trees Act 2005
5275373,Singapore,,NATIONAL,,Dicranopteris linearis,Polypodiopsida,species,Gleicheniaceae,"Old World Forkedfern, Old World forkedfern, uluhe","Dicranopteris discolor, Dicranopteris emarginata, Dicranopteris emarginata emarginata, Dicranopteris emarginata inaequalis, Dicranopteris hermannii, Dicranopteris klotzschii, Dicranopteris linearis brevis, Dicranopteris linearis inaequiloba, Dicranopteris linearis maxima, Dicranopteris linearis tenuis, Gleichenia discolor, Gleichenia hermannii, Gleichenia klotzschii, Gleichenia linearis, Gleichenia linearis crenulata, Gleichenia linearis grandis, Gleichenia linearis linearis, Gleichenia mucronata, Gleichenia pteridifolia, Gleichenia rigida, Mertensia cumingiana, Mertensia discolor, Mertensia hermannii, Mertensia klotzschii, Mertensia lessonii, Mertensia linearis, Mertensia pteridifolia, Mertensia rigida, Mertensia sieberi, Platyzoma ferrugineum, Platyzoma latum, Polypodium lineare, Pteris platyferra, Pteris platylata",Native scrambling fern; dominant in open areas of nature reserves; important ground cover preventing erosion in CCNR,Dicranopteris,no,,Protected in nature reserves,Habitat protection in reserves,Parks and Trees Act 2005
4097416,Singapore,,NATIONAL,,Dipterocarpus costulatus,Magnoliopsida,species,Dipterocarpaceae,Keruing,NA,CR dipterocarp; very few mature individuals remaining in Bukit Timah; winged fruits; globally threatened,Dipterocarpus,no,,Critically Endangered (Red Data Book) <U+2014> strict protection,Collection prohibited,Parks and Trees Act 2005
7167256,Singapore,,NATIONAL,,Nepenthes rafflesiana,Magnoliopsida,species,Nepenthaceae,"Raffle's Pitcher, Raffle's Pitcher plant","Nepenthes hookeri, Nepenthes kookeriana, Nepenthes nigropurpurea, Nepenthes rafflesiana alata, Nepenthes rafflesiana ambigua, Nepenthes rafflesiana elongata, Nepenthes rafflesiana glaberrima, Nepenthes rafflesiana insignis, Nepenthes rafflesiana longicirrhosa, Nepenthes rafflesiana minor, Nepenthes rafflesiana nigropurpurea, Nepenthes rafflesiana nivea, Nepenthes sanderiana",Named for Stamford Raffles; Singapore's lowland pitcher plant; CITES Appendix II; collection and trade regulated,Nepenthes,no,,Protected (Singapore Red Data Book / CITES App. II),Collection prohibited,Endangered Species (Import and Export) Act / Parks and Trees Act
3702049,Singapore,,NATIONAL,,Nepenthes gracilis,Magnoliopsida,species,Nepenthaceae,Slender pitcher plant,"Nepenthes angustifolia, Nepenthes distillatoria, Nepenthes gracilis angustifolia, Nepenthes gracilis arenaria, Nepenthes gracilis elongata, Nepenthes gracilis longinodis, Nepenthes gracilis major, Nepenthes gracilis teysmanniana, Nepenthes korthalsiana, Nepenthes laevis, Nepenthes longinodis, Nepenthes obrieniana, Nepenthes teysmanniana, Nepenthes tupmanniana",Native to Singapore; found in heath forest and forest edges; all Nepenthes CITES App. II; trade requires permits,Nepenthes,no,,Protected (CITES App. II),Collection and trade regulated,Endangered Species (Import and Export) Act
2816456,Singapore,,NATIONAL,,Spathoglottis plicata,Magnoliopsida,species,Orchidaceae,"Philippine Ground Orchid, Philippine ground orchid","Bletia angustata, Bletia angustifolia, Calanthe poilanei, Paxtonia rosea, Phaius rumphii, Spathoglottis angustifolia, Spathoglottis augustorum, Spathoglottis daenikeri, Spathoglottis deplanchei, Spathoglottis grandifolia, Spathoglottis lilacina, Spathoglottis papuana puberiflora, Spathoglottis papuana puberula, Spathoglottis plicata alba, Spathoglottis plicata minahassae, Spathoglottis rosea, Spathoglottis spicata, Spathoglottis vieillardii, Spathoglottis wariana",Singapore Purple Orchid; all Orchidaceae CITES App. II; important in Singapore's horticultural heritage,Spathoglottis,no,,Protected (CITES App. II) <U+2014> heritage significance,Collection regulated,Endangered Species (Import and Export) Act
5316744,Singapore,,NATIONAL,,Dendrobium crumenatum,Magnoliopsida,species,Orchidaceae,"Orchid, dove orchid, pigeon orchid","Aerides matutina, Aporum crumenatum, Aporum kwashotense, Callista crumenata, Ceraia parviflora, Ceraia saaronica, Ceraia simplicissima, Dendrobium caninum, Dendrobium ceraia, Dendrobium crumenatum parviflora, Dendrobium crumenatum parviflorum, Dendrobium kwashotense, Dendrobium papilioniferum ephemerum, Dendrobium schmidtianum, Dendrobium simplicissimum, Epidendrum caninum, Epidendrum ceraia, Epidendrum matutinum, Epidendrum saaronicum, Onychium crumenatum",Common epiphytic orchid; mass flowering triggered by temperature drops; all Orchidaceae CITES App. II,Dendrobium,no,,Protected (CITES App. II),Collection and trade regulated,Endangered Species (Import and Export) Act
2821296,Singapore,,NATIONAL,,Grammatophyllum speciosum,Magnoliopsida,species,Orchidaceae,Tiger orchid,"Grammatophyllum fastuosum, Grammatophyllum giganteum, Grammatophyllum macranthum, Grammatophyllum sanderianum, Pattonia macrantha",World's largest orchid; VU nationally; Heritage specimens in Singapore Botanic Gardens; CITES App. II,Grammatophyllum,no,,Protected (CITES App. II / Red Data Book VU),Collection prohibited,Endangered Species (Import and Export) Act / Parks and Trees Act
6,Singapore,,NATIONAL,,Plantae,Magnoliopsida,species,NA,"Plants, plants, Plant",NA,Singapore's national flower since 1981; hybrid orchid; all Orchidaceae CITES App. II; cultivated specimens in Botanic Gardens,Plantae,no,,National Flower <U+2014> CITES App. II,Collection and trade regulated,Endangered Species (Import and Export) Act
5524063,Singapore,,NATIONAL,,Aquilaria malaccensis,Magnoliopsida,species,Thymelaeaceae,"Indian aloewood, Malayan eaglewoodtree, agarwood, aloeswood, eaglewood, lign-aloes, Agarwood, Aloeswood, Eaglewood, Lign-aloes","Aquilaria agallocha, Aquilaria moluccensis, Aquilaria secundana, Aquilariella malaccensis, Cynometra agallocha",Singapore is a major agarwood trade hub; CITES App. II since 2004; strict permit requirements; CR globally due to overexploitation,Aquilaria,no,,Protected (CITES App. II) <U+2014> trade hub enforcement,Import/export permits required,Endangered Species (Import and Export) Act
5523984,Singapore,,NATIONAL,,Aquilaria sinensis,Magnoliopsida,species,Thymelaeaceae,"Chinese Eaglewood, Chinese agarwood, Chinese Agarwood","Agallochum grandiflorum, Agallochum sinense, Aquilaria chinensis, Aquilaria grandiflora, Aquilaria malaccensis, Aquilaria ophispermum, Aquilaria sinensis, Ophiospermum sinense, Ophispermum sinense",Chinese agarwood; traded through Singapore; all Aquilaria spp. CITES App. II; VU globally,Aquilaria,no,,Protected (CITES App. II) <U+2014> trade regulated,Import/export permits required,Endangered Species (Import and Export) Act
2683217,Singapore,,NATIONAL,,Cycas revoluta,Cycadopsida,species,Cycadaceae,"Fern Palm, Sago Palm, Sago palm, Sago palm, King sago, Sago cycad, Japanese sago palm, sago cycas, sago palm, sotesu-nut","Cycas aurea, Cycas inermis, Cycas miquelii, Cycas revoluta brevifrons, Cycas revoluta planifolia, Cycas revoluta prolifera, Cycas revoluta robusta, Cycas revoluta pendula, Cycas revoluta revoluta, Epicycas miquelii",All Cycadaceae CITES App. II; popular ornamental in Singapore; import/export requires CITES permits,Cycas,no,,Protected (CITES App. II),Trade regulated,Endangered Species (Import and Export) Act
2683272,Singapore,,NATIONAL,,Cycas rumphii,Cycadopsida,species,Cycadaceae,"Ceylon sago, false sago, queen sago","Cycas celebica, Cycas corsoniana, Cycas duivenbodei, Cycas rumphii rumphii, Cycas rumphii subinclusa, Cycas speciosa, Zamia corsoniana",Native cycad; coastal habitats; all Cycadaceae CITES App. II; NT globally; Singapore populations in nature reserves,Cycas,no,,Protected (CITES App. II / native species),Collection and trade regulated,Endangered Species (Import and Export) Act / Parks and Trees Act
5421410,Singapore,,NATIONAL,,Dionaea muscipula,Magnoliopsida,species,Droseraceae,"Venus Flytrap, Venus fly trap, Venus flytrap, Venus's flytrap","Dionaea corymbosa, Dionaea sensitiva, Dionaea sessiliflora, Dionaea uniflora, Drosera corymbosa, Drosera sessiliflora, Drosera uniflora",Not native to Singapore but traded; CITES App. II since 2024 (CoP19); Singapore enforces as CITES trade hub,Dionaea,no,,Protected (CITES App. II) <U+2014> trade regulated,Import/export permits required,Endangered Species (Import and Export) Act
2738422,Singapore,,NATIONAL,,Nypa fruticans,Liliopsida,species,Arecaceae,"Nipa Palm, Nypa Palm, mangrove palm, nipa, nipa palm, Mangrove Palm","Cocos nypa, Nipa arborescens, Nipa fruticans, Nipa fruticans neameana, Nipa litoralis, Nipa littorals, Nypa arborescens, Nypa fruticans neameana",Mangrove palm; Sungei Buloh and other coastal areas; Singapore mangrove restoration programme species,Nypa,no,,Protected (mangrove habitat protection),Mangrove habitat protected,Parks and Trees Act / MPA regulations
3086526,Singapore,,NATIONAL,,Rhizophora apiculata,Magnoliopsida,species,Rhizophoraceae,"Mangrove, mangrove","Rhizophora candelaria, Rhizophora conjugata",Dominant mangrove species in Singapore; stilt roots; Sungei Buloh Wetland Reserve; protected under mangrove conservation policy,Rhizophora,no,,Protected (mangrove habitat protection),Mangrove habitat protected,Parks and Trees Act 2005
6413459,Singapore,,NATIONAL,,Avicennia alba,Magnoliopsida,species,Acanthaceae,Api-api putih,"Avicennia alba latifolia, Avicennia marina alba, Avicennia officinalis alba",Pioneer mangrove species; important in Singapore's mangrove reforestation; Sungei Buloh and Pulau Ubin,Avicennia,no,,Protected (mangrove habitat protection),Mangrove habitat protected,Parks and Trees Act 2005
2969431,Singapore,,NATIONAL,,Mimosa pigra,Magnoliopsida,species,Fabaceae,"Black mimosa, Giant sensitive-plant, Giant sensitive-tree, bashful plant, bashfulplant, black mimosa, catclaw mimosa, giant mimosa, giant sensitive-plant, giant sensitive-tree, sensitive-plant, thorny sensitive plant, thorny sensitive-plant","Mimosa asperata pigra, Mimosa brasiliensis, Mimosa polycantha",Giant sensitive plant; invades freshwater wetlands; Sungei Buloh and Pulau Ubin; outcompetes native vegetation,Mimosa,no,,Invasive <U+2014> active management,Control mandated,NParks invasive species programme
5398421,Singapore,,NATIONAL,,Mikania micrantha,Magnoliopsida,species,Asteraceae,"American rope, Chinese creeper, Mile-a-minute weed, Chinese creeper, Mile-a-minute, bittervine, climbing hempweed, mikania-vine, mile-a-minute, Mile-a-minute Weed","Eupatorium denticulatum, Eupatorium orinocense, Eupatorium orinocense tamoides, Eupatorium orinocense batatifolium, Eupatorium orinocense orinocense, Mikania batatifolia, Mikania cordata indica, Mikania deltoides, Mikania denticulata, Mikania glechomaefolia, Mikania glechomifolia, Mikania micrantha hirsuta, Mikania micrantha typica, Mikania micrantha micrantha, Mikania micrantha cynanchifolia, Mikania orinocensis, Mikania scandens genuina, Mikania scandens pubescens, Mikania scandens cynanchifolia, Mikania scandens sagittifolia, Mikania scandens subcymosa, Mikania scandens umbellifera, Mikania scandens hirsuta, Mikania scandens villosa, Mikania sinuata, Mikania subcrenata, Mikania subcymosa, Mikania tamoides, Mikania umbellifera, Mikania variabilis, Willoughbya heterophylla, Willoughbya micrantha, Willoughbya scandens orinocensis, Willoughbya variabilis",Smothers native vegetation in Singapore's secondary forests and forest edges; widespread in southern reserves,Mikania,no,,Invasive <U+2014> active management,Control mandated,NParks invasive species programme
3087725,Singapore,,NATIONAL,,Chromolaena odorata,Magnoliopsida,species,Asteraceae,"Bitter bush, Jack in the bush, Siam weed, Triffid weed, Christmas Bush, Christmasbush, Jack in the bush, Siamweed, bitterbush, butterfly-weed, devilweed, hagonoy, jack-in-the-bush, paraffin-weed, triffidweed, Siam weed","Chromolaena barranquillensis, Chromolaena clematitis, Chromolaena odorata squarrosa, Chrysocoma maculata, Chrysocoma volubilis, Eupatorium atriplicifolium, Eupatorium barranquillense, Eupatorium brachiatum, Eupatorium clematitis, Eupatorium conyzoides, Eupatorium conyzoides angustiflorum, Eupatorium conyzoides conyzoides, Eupatorium conyzoides glabratum, Eupatorium conyzoides floribunda, Eupatorium conyzoides heterolepis, Eupatorium conyzoides incanum, Eupatorium conyzoides paucidentatum, Eupatorium conyzoides pauciflorum, Eupatorium conyzoides scaberulum, Eupatorium conyzoides tambillense, Eupatorium conyzoides extensum, Eupatorium conyzoides floribundum, Eupatorium conyzoides glabrescens, Eupatorium conyzoides maximiliani, Eupatorium conyzoides phyllocephalum, Eupatorium dichotomum, Eupatorium divergens, Eupatorium floribundum, Eupatorium graciliflorum, Eupatorium incisum, Eupatorium klattii, Eupatorium margaritense glabrescens, Eupatorium margaritense heterolepis, Eupatorium margaritense phyllocephalum, Eupatorium odoratum, Eupatorium odoratum odoratum, Eupatorium odoratum scandens, Eupatorium odoratum squarrosum, Eupatorium odoratum brachiatum, Eupatorium odoratum cubense, Eupatorium odoratum mallotophyllum, Eupatorium odoratum pauciflorum, Eupatorium sabeanum, Eupatorium stigmatosum, Eupatorium stigmatosum stigmatosum, Osmia atriplicifolia, Osmia clematitis, Osmia conyzoides, Osmia divergens, Osmia floribunda, Osmia graciliflora, Osmia odorata",Invasive shrub from tropical Americas; outcompetes native pioneer species; NParks active removal in nature reserves and vacant land,Chromolaena,no,,Invasive <U+2014> active management,Control mandated,NParks invasive species programme
3172574,Singapore,,NATIONAL,,Spathodea campanulata,Magnoliopsida,species,Bignoniaceae,"African Tulip Tree, African tulip tree, Fireball, Flame of the forest, Fountain tree, African tuliptree, African-tuliptree, Fountain Tree, Nandi Flame, fireball, flame-of-the-forest, flametree, fountain tree, tuliptree, African tulip tree","Bignonia tulipifera, Spathodea campanulata congolana, Spathodea campanulata nilotica, Spathodea danckelmaniana, Spathodea nilotica, Spathodea nilotica bryanii, Spathodea tulipifera",IUCN 100 worst invasive species; aggressive coloniser of disturbed forest in Singapore; NParks removes from nature reserves,Spathodea,no,,Invasive <U+2014> active management,Removal recommended,NParks invasive species programme
2968262,Singapore,,NATIONAL,,Falcataria falcata,Magnoliopsida,species,Fabaceae,"Albizia, Molucca albizia, Moluccan-sau, batai, bataiwood, peacocksplume, White Albizia",NA,Fast-growing tree prone to collapse; NParks actively removes from nature reserves and road corridors; public safety hazard,Falcataria,no,,Invasive <U+2014> active management and removal,Removal mandated,NParks invasive species programme
