common_name,scientific_name,taxonomic_group,legal_status_kenya,restriction_type,governing_law_names,notes
Cypress aphid,Cinara cupressivora,Insecta,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Devastated Cupressus lusitanica plantations in East Africa from 1990.
Larger grain borer,Prostephanus truncatus,Insecta,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Major stored-grain pest; arrived Kenya 1980s from Central America. Destroys up to 40% of stored maize.
Leucaena psyllid,Heteropsylla cubana,Insecta,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,"Attacks Leucaena leucocephala, widely planted agroforestry tree."
Russian wheat aphid,Diuraphis noxia,Insecta,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Causes severe yield losses in wheat and barley; first detected Kenya 1995.
Serpentine leafminer,Liriomyza trifolii,Insecta,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Polyphagous leafminer affecting horticultural crops; regulated quarantine pest.
Western flower thrips,Frankliniella occidentalis,Insecta,Prohibited introduction; invasive pest,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Major pest of cut flowers and vegetables; transmits tomato spotted wilt virus.
Mexican marigold,Tagetes minuta,Magnoliopsida,Prohibited introduction; invasive weed,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Invasive annual weed widespread in highland Kenya; allelopathic effects suppress native plants.
Morning glory,Ipomoea spp.,Magnoliopsida,Prohibited introduction; invasive weed,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Several Ipomoea species invasive in croplands and rangelands; smothers native vegetation.
Silverleaf nightshade,Solanum elaeagnifolium,Magnoliopsida,Introduction prohibited,Prohibited introduction,Plant Protection Act Cap.324,Crop pest and invasive plant. On Kenya phytosanitary prohibited import list.
Water hyacinth,Eichhornia crassipes,Magnoliopsida,Introduction prohibited; eradication programmes active,Prohibited introduction; active control,EMCA 1999 s.55; FMDA 2016,Introduced 1989. Covers large areas of Lake Victoria. Biocontrol (weevils) deployed.
Wild garlic,Allium vineale,Magnoliopsida,Prohibited introduction; invasive weed,Prohibited introduction; invasive alien species,Plant Protection Act Cap.324,Invasive weed that contaminates wheat and taints dairy products.
Red swamp crayfish,Procambarus clarkii,Malacostraca,Prohibited introduction; invasive alien species,Prohibited introduction; invasive alien species,EMCA 1999; FMDA 2016,Invasive in Kenyan rivers and Lake Naivasha; damages irrigation infrastructure and displaces native fauna.
Water fern (Kariba weed),Salvinia molesta,Polypodiopsida,Introduction prohibited,Prohibited introduction,EMCA 1999 s.55,Covers water surfaces; disrupts fisheries and water supply.
African cassava mosaic virus,African cassava mosaic virus (ACMV),Virus,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Transmitted by whitefly Bemisia tabaci; causes cassava mosaic disease devastating smallholder yields.
Barley yellow dwarf virus,Barley yellow dwarf virus (BYDV),Virus,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,"Affects wheat, barley and oats; transmitted by cereal aphids."
Maize streak virus,Maize streak virus (MSV),Virus,Prohibited introduction; invasive pathogen,Prohibited introduction; invasive alien species,EMCA 1999; Plant Protection Act Cap.324,Transmitted by leafhopper Cicadulina mbila; causes yellow streak symptoms and severe yield loss in maize.
Nile perch,Lates niloticus,Actinopterygii,Invasive alien species; fisheries-regulated,Invasive alien species; regulated fishery,FMDA 2016; EMCA 1999,Introduced to Lake Victoria 1950s-60s; caused extinction of 200+ endemic haplochromine cichlid species. Now major commercial fishery.
Nile tilapia,Oreochromis niloticus,Actinopterygii,Invasive in some water bodies; regulated aquaculture species,Regulated aquaculture; introduction to new water bodies controlled,FMDA 2016; EMCA 1999,Introduced to Lake Victoria and other water bodies. Ecologically controversial.
Eucalyptus (invasive populations),Eucalyptus spp.,Magnoliopsida,Regulated; invasive in riparian zones,Regulated introduction; invasive alien species,EMCA 1999,Widely cultivated but ecologically invasive in riparian zones; high water consumption and allelopathy. NEMA restriction on planting near wetlands.
Lantana,Lantana camara,Magnoliopsida,Introduction restricted; declared invasive,Restricted,EMCA 1999; Plant Protection Act Cap.324,Widespread invasive in mid-altitude zones. Displaces native vegetation; creates tsetse habitat.
