GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_co,restriction_type,governing_law
3190511,Colombia,,NATIONAL,,Cedrela odorata,Magnoliopsida,species,Meliaceae,"Barbados-cedar, Cedar, Cigar-box wood, Spanish cedar, West Indian cedar, Cigar-box Wood, Mexican cedar, Mexican-cedar, Red Cedar, Spanish Cedar, Spanish cedar, Spanish-cedar, West Indian-cedar, cigar-box-cedar","Cedrela adenophylla, Cedrela amara, Cedrela angustifolia, Cedrela boliviana, Cedrela brachystachva, Cedrela brachystachya, Cedrela brownei, Cedrela brownii, Cedrela caldasana, Cedrela cedro, Cedrela ciliolata, Cedrela cubensis, Cedrela dugesii, Cedrela glaziouvii, Cedrela glaziovii, Cedrela guianensis, Cedrela hassleri, Cedrela imparipinnata, Cedrela longipes, Cedrela longipetiolulata, Cedrela mexicana, Cedrela mexicana puberula, Cedrela mourae, Cedrela occidentalis, Cedrela odorata, Cedrela odorata xerogeiton, Cedrela palustris, Cedrela paraguariensis, Cedrela paraguariensis brachystachya, Cedrela paraguariensis hassleri, Cedrela paraguariensis multijuga, Cedrela rotunda, Cedrela sintenisii, Cedrela velloziana, Cedrela vellozoana, Cedrela whitfordii, Cedrela yucatana, Cedrus odorata, Pterosiphon multinervis, Pterosiphon multivenius, Surenus angustifolia, Surenus brownei, Surenus glaziouvii, Surenus glaziovii, Surenus guianensis, Surenus mexicana, Surenus paraguariensis, Surenus velloziana, Surenus vellozoana",Spanish cedar; pan-tropical timber; heavily logged; CITES III listing by Colombia,Cedrela,no,,Vulnerable (Res. 1912/2017),Regulated harvest/trade,Res. 1912/2017 / CITES
3649128,Colombia,,NATIONAL,,Humiriastrum procerum,Magnoliopsida,species,Humiriaceae,Chanul,"Humiria procera, Sacoglottis procera",Choc<U+00F3>-Dari<U+00E9>n endemic timber; extremely durable wood; wild populations collapsed from overexploitation,Humiriastrum,no,,CR (Res. 1912/2017); veda total,Collection/trade prohibited,Res. 1912/2017 / Res. 0316/1974
4927579,Colombia,,NATIONAL,,Gonopterodendron sarmientoi,Magnoliopsida,species,Zygophyllaceae,"Paraguay-lignum-vitae, gaiacwood, true guaiac",NA,Holy wood / palo santo relative; dry forests of La Guajira-Cesar; essential oil trade pressure,Gonopterodendron,no,,Endangered (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
2732482,Colombia,,NATIONAL,,Sabal mauritiiformis,Magnoliopsida,species,Arecaceae,"Trinidad palm, green botan","Sabal allenii, Sabal coerulescens, Sabal glaucescens, Sabal morrisiana, Sabal nematoclada, Trithrinax mauritiiformis",Caribbean coastal palm; leaf harvest for thatching depletes populations; dry forest loss,Sabal,no,,Vulnerable (Res. 1912/2017),Regulated harvest,Res. 1912/2017
7649215,Colombia,,NATIONAL,,Cordia alliodora,Magnoliopsida,species,Cordiaceae,"Cypre, Manjack, Spanish elm, cypre, salmwood","Cerdana alliodora, Cerdana complicata, Cerdana cujabensis, Cordia alliodora, Cordia alliodora albotomentosa, Cordia alliodora boliviana, Cordia alliodora glabra, Cordia alliodora tomentosa, Cordia andina, Cordia cerdana, Cordia chamissoniana complicata, Cordia cujabensis, Cordia gerascanthus, Cordia gerascanthus martinicensis, Cordia gerascanthus subcanescens, Cordia goudotii, Cordia hartwigsiana, Cordia hartwissiana, Cordia rusbyi, Cordia velutina, Gerascanthus alliodorus, Gerascanthus cujabensis, Gerascanthus velutinus, Lithocardium alliodorum, Lithocardium cujabense, Lithocardium gerascanthus alliodorum, Lithocardium hartwigsiana, Solanum mucronatum, Varronia rusbyi, Varronia tuberosa",Premium timber; agroforestry species; harvest requires CAR permits in most regions,Cordia,no,,Veda parcial (Res. 0316/1974),Regulated harvest,Res. 0316/1974 / Decreto 1076
4935172,Colombia,,NATIONAL,,Cattleya trianae,Magnoliopsida,species,Orchidaceae,"Christmas orchid, winter cattleya","Cattleya bogotensis, Cattleya kimballiana, Cattleya labiata massangeana, Cattleya labiata ernestii, Cattleya trianae alba, Cattleya trianae crawshayana, Cattleya trianae backhausiana, Cattleya trianae colemannii, Cattleya trianae corningii, Cattleya trianae dodgsonii, Cattleya trianae formosa, Cattleya trianae hillii, Cattleya trianae hooleana, Cattleya trianae marginata, Cattleya trianae mariae, Cattleya trianae osmannii, Cattleya trianae quadricolor, Cattleya trianae reginae, Cattleya trianae rosea, Cattleya trianae russelliana, Cattleya trianae splendidissima, Cattleya trianae vanneriana, Cattleya trianae williamsii",Colombia national flower; Andean epiphytic orchid; prized in horticulture; wild populations depleted,Cattleya,no,,Endangered (Res. 1912/2017) <U+2014> National Flower,Collection/trade regulated,Res. 1912/2017 / CITES
2801202,Colombia,,NATIONAL,,Cattleya dowiana,Magnoliopsida,species,Orchidaceae,"Dow's cattleya, queen cattleya","Cattleya chrysotaxa, Cattleya dowiana chrysotaxa",Golden-lipped orchid; Choc<U+00F3>-Dari<U+00E9>n; extremely rare in wild; high black-market value,Cattleya,no,,Endangered (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
2801043,Colombia,,NATIONAL,,Cattleya warscewiczii,Magnoliopsida,species,Orchidaceae,Cattleya warscewiczii,"Cattleya gigas, Cattleya gigas burfordiensis, Cattleya gigas imperialis, Cattleya gigas sanderiana, Cattleya gloriosa, Cattleya imperialis, Cattleya lindenii, Cattleya sanderiana, Cattleya warscewiczii franconvillensis, Cattleya warscewiczii rochellensis, Cattleya warscewiczii burfordiensis, Cattleya warscewiczii delicata, Cattleya warscewiczii delicata-superba, Cattleya warscewiczii lageriana, Cattleya warscewiczii sanderiana",Santander-Antioquia Andes; large showy flowers; heavy collection pressure for horticulture,Cattleya,no,,Vulnerable (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
2848856,Colombia,,NATIONAL,,Masdevallia coccinea,Magnoliopsida,species,Orchidaceae,Masdevallia,"Masdevallia coccinea alba, Masdevallia coccinea conchiflora, Masdevallia coccinea lindenii, Masdevallia denisoniana, Masdevallia denisonii, Masdevallia harryana, Masdevallia harryana atrosanguinea, Masdevallia harryana decora, Masdevallia harryana denisonii, Masdevallia harryana gravesiae, Masdevallia harryana miniata, Masdevallia lindenii, Masdevallia lindenii grandiflora, Masdevallia militaris",Cloud forest miniature orchid; Boyac<U+00E1>-Santander; highly sought by collectors; all Orchidaceae CITES II,Masdevallia,no,,Vulnerable (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
2818741,Colombia,,NATIONAL,,Dracula vampira,Magnoliopsida,species,Orchidaceae,Dracula vampira orchid,Masdevallia vampira,Bizarre bat-like flowers; cloud forests W. Andes; genus endemic to northern Andes; all Orchidaceae CITES II,Dracula,no,,Vulnerable (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
2812546,Colombia,,NATIONAL,,Anguloa clowesii,Magnoliopsida,species,Orchidaceae,Anguloa orchid,"Anguloa clowesii aurea, Anguloa clowesii flava","Tulip orchid; E. Andes 1,500<U+2013>2,500 m; terrestrial; habitat loss from agriculture",Anguloa,no,,Vulnerable (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
2850620,Colombia,,NATIONAL,,Miltoniopsis vexillaria,Magnoliopsida,species,Orchidaceae,Miltoniopsis orchid,"Miltonia vexillaria, Miltonia vexillaria leopoldii, Miltonia vexillaria rubella, Miltonia vexillaria stupenda, Odontoglossum vexillarium, Odontoglossum vexillarium lehmannii, Odontoglossum vexillarium purpureum, Odontoglossum vexillarium rubellum, Odontoglossum vexillarium superbum",Pansy orchid; Colombian W. and C. Andes; flagship genus for conservation; all Orchidaceae CITES II,Miltoniopsis,no,,Vulnerable (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
3105059,Colombia,,NATIONAL,,Espeletia grandiflora,Magnoliopsida,species,Asteraceae,Frailej<U+00F3>n grande,"Espeletia grandiflora grandiflora, Espeletia grandiflora longiligulata, Espeletia grandiflora multiflora, Espeletia grandiflora reducta, Espeletia hartwegiana","P<U+00E1>ramo keystone species; water regulation; climate-sensitive; >3,000 m altitude; Ley de P<U+00E1>ramos protection",Espeletia,no,,Endangered (Res. 1912/2017),Habitat protection,Res. 1912/2017 / Ley 1930/2018
3105056,Colombia,,NATIONAL,,Espeletia uribei,Magnoliopsida,species,Asteraceae,Frailej<U+00F3>n de Sumapaz,NA,Endemic to P<U+00E1>ramo de Sumapaz; world's largest p<U+00E1>ramo; extremely restricted range; climate change threat,Espeletia,no,,CR (Res. 1912/2017),Habitat protection,Res. 1912/2017 / Ley 1930/2018
3105109,Colombia,,NATIONAL,,Espeletia lopezii,Magnoliopsida,species,Asteraceae,Frailej<U+00F3>n lanudo,Espeletia lopezii lopezii,Woolly frailej<U+00F3>n; Boyac<U+00E1> p<U+00E1>ramos; narrow endemic; threatened by agricultural encroachment,Espeletia,no,,Endangered (Res. 1912/2017),Habitat protection,Res. 1912/2017 / Ley 1930/2018
3105118,Colombia,,NATIONAL,,Espeletia jaramilloi,Magnoliopsida,species,Asteraceae,Frailej<U+00F3>n de Santurb<U+00E1>n,NA,Micro-endemic to P<U+00E1>ramo de Santurb<U+00E1>n; mining concessions threaten habitat; Constitutional Court rulings on p<U+00E1>ramo protection,Espeletia,no,,CR (Res. 1912/2017),Habitat protection,Res. 1912/2017 / Ley 1930/2018
5370607,Colombia,,NATIONAL,,Polylepis quadrijuga,Magnoliopsida,species,Rosaceae,Coloradito / Polylepis,"Polylepis boyacensis, Polylepis cocuyensis, Polylepis quadrijuga parcipila, Polylepis quadrijuga psilanthera",P<U+00E1>ramo treeline species; highest-elevation forests in Andes; firewood and charcoal pressure; slow regeneration,Polylepis,no,,Vulnerable (Res. 1912/2017),Habitat protection,Res. 1912/2017 / Ley 1930/2018
5357190,Colombia,,NATIONAL,,Myroxylon balsamum,Magnoliopsida,species,Fabaceae,"Balsam of Tolu, balsam of Tolu","Myrospermum balsamiferum, Myrospermum pereirae, Myrospermum punctatum, Myrospermum sonsonatense, Myrospermum toluiferum, Myroxylon balsamum balsamum, Myroxylon balsamum genuinum, Myroxylon balsamum pereirae, Myroxylon balsamum punctatum, Myroxylon hanburyanum, Myroxylon pereirae, Myroxylon punctatum, Myroxylon sonsouatense, Myroxylon toluiferum, Toluifera balsamum, Toluifera balsamum pereirae, Toluifera balsamum punctata, Toluifera pereirae, Toluifera punctata",Balsam of Peru/Tolu tree; resin extraction regulated; Magdalena and Caribbean dry forests,Myroxylon,no,,Veda parcial (Res. 0316/1974),Regulated harvest,Res. 0316/1974 / Decreto 1076
7316900,Colombia,,NATIONAL,,Aspidosperma polyneuron,Magnoliopsida,species,Apocynaceae,Carreto,"Aspidosperma dugandii, Aspidosperma peroba, Aspidosperma polyneuron genuinum, Aspidosperma polyneuron longifolium, Aspidosperma polyneuron puberulum, Aspidosperma venosum, Thyroma polyneura",Premium construction timber; Caribbean-Magdalena lowlands; severe overexploitation,Aspidosperma,no,,EN (Res. 1912/2017); veda total,Collection prohibited,Res. 1912/2017 / Res. 0316/1974
2947108,Colombia,,NATIONAL,,Prioria copaifera,Magnoliopsida,species,Fabaceae,Cativo,NA,Choc<U+00F3>-Dari<U+00E9>n swamp forest dominant; plywood industry pressure; cativo forests rapidly shrinking,Prioria,no,,EN (Res. 1912/2017); veda parcial,Regulated harvest,Res. 1912/2017 / Res. 0316/1974
6401337,Colombia,,NATIONAL,,Handroanthus chrysanthus,Magnoliopsida,species,Bignoniaceae,"Roble Amarillo, Trumpet Trees, roble amarillo, yellow poui","Tecoma chysantha, Tecoma grandis, Tecoma spectabilis",Golden trumpet tree; national tree symbol of Barranquilla; dense timber; harvest controlled in Caribbean CARs,Handroanthus,no,,Veda parcial (Res. 0316/1974),Regulated harvest,Res. 0316/1974 / Decreto 1076
5544303,Colombia,,NATIONAL,,Anacardium excelsum,Magnoliopsida,species,Anacardiaceae,Wild Cashew,"Anacardia rhinocarpa, Anacardium rhinocarpus, Rhinocarpus excelsus",Giant tropical tree; Caribbean-Magdalena valley; urban and riverbank deforestation; cultural heritage tree,Anacardium,no,,Veda parcial (Res. 0316/1974),Regulated harvest,Res. 0316/1974 / Decreto 1076
7286883,Colombia,,NATIONAL,,Bursera graveolens,Magnoliopsida,species,Burseraceae,Palo santo / Bursera,Bursera graveolens graveolens,Aromatic resin wood; dry inter-Andean valleys and Caribbean; overharvested for incense and essential oil export,Bursera,no,,Veda parcial (Res. 0316/1974),Regulated harvest,Res. 0316/1974 / Decreto 1076
2968539,Colombia,,NATIONAL,,Dalbergia retusa,Magnoliopsida,species,Fabaceae,Colombian rosewood,"Amerimnon retusum, Machaerium retusum",Cocobolo; Pacific coast; CITES II for all Dalbergia (2017 CoP17); illegal logging for export to Asia,Dalbergia,no,,Vulnerable (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
2968487,Colombia,,NATIONAL,,Dalbergia tucurensis,Magnoliopsida,species,Fabaceae,Granadillo,"Dalbergia calderonii molinae, Dalbergia cubilquitzensis, Dalbergia variabilis cubilquitzensis",Dalbergia timber; Caribbean-Choc<U+00F3> forests; all Dalbergia spp. CITES II; musical instrument trade demand,Dalbergia,no,,Vulnerable (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
5553148,Colombia,,NATIONAL,,Victoria amazonica,Magnoliopsida,species,Nymphaeaceae,"Amazon water-lily, Victoria-lily, royal water-lily","Anneslea amazonica, Anneslea brasiliana, Euryale amazonica, Euryale brasiliana, Nymphaea nelumbo, Nymphaea regina, Nymphaea victoria, Victoria amazonica, Victoria amazonum, Victoria regalis, Victoria regia, Victoria regia randii, Victoria regia regia, Victoria regina, Victoria reginae",Iconic Amazon species; wetland habitats protected under Colombian Amazon framework,Victoria,no,,Protected habitat (Amazon biome),Habitat protection,Decreto 1076/2015 / Ley 99/1993
2873939,Colombia,,NATIONAL,,Erythroxylum coca,Magnoliopsida,species,Erythroxylaceae,"Coca, coca","Erythroxylum bolivianum, Erythroxylum chilpei, Erythroxylum peruvianum",Legal wild populations exist; commercial cultivation strictly illegal; eradication programmes ongoing,Erythroxylum,no,,Controlled <U+2014> illegal crop (Law 30/1986),Cultivation prohibited (illegal),Law 30/1986 / Decreto 1076
2889925,Colombia,,NATIONAL,,Helosis cayennensis,Magnoliopsida,species,Balanophoraceae,Helosis,"Caldasia brasiliensis, Caldasia cayanensis, Caldasia cayennensis, Caldasia fungiformis, Cynomorium cayanense, Cynomorium cayennense, Helosis brasiliensis, Helosis cayanensis, Helosis cayanensis mexicana, Helosis cayanensis cayanensis, Helosis cayennensis cayennensis, Helosis cayennensis mexicana, Helosis guyanensis andicola, Helosis guyannensis, Helosis guyannensis andicola, Helosis guyannensis brasilensis, Helosis guyannensis brasiliensis, Helosis mexicana andicola",Holoparasitic plant; Amazon; part of broader forest monitoring under SINAP,Helosis,no,,Not specifically listed <U+2014> under monitoring,Scientific collection only,Decreto 1076/2015
5284080,Colombia,,NATIONAL,,Zamia encephalartoides,Cycadopsida,species,Zamiaceae,Zamia pygmaea colombiana,NA,Cycad endemic to Chicamocha Canyon (Santander); all Zamiaceae CITES II; ornamental trade threat; <500 individuals remaining,Zamia,no,,CR (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
5284016,Colombia,,NATIONAL,,Zamia wallisii,Cycadopsida,species,Zamiaceae,Zamia wallisii,"Aulacophyllum wallisii, Zamia wallisii",Endemic cycad; Antioquia; extremely restricted range; all Zamiaceae CITES II; habitat destruction from mining,Zamia,no,,CR (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017 / CITES
6418688,Colombia,,NATIONAL,,Acoelorraphe wrightii,Liliopsida,species,Arecaceae,"Everglades palm, Paurotis Palm, paurotis palm","Acanthosabal caespitosa, Acoelorraphe arborescens, Acoelorraphe pinetorum, Acoelorraphe wrightii, Acoelorraphe wrightii inermis, Acoelorraphe wrightii novogeronensis, Acoelorrhaphe arborescens, Acoelorrhaphe pinetorum, Acoelorrhaphe wrightii, Acoelorrhaphe wrightii inermis, Acoelorrhaphe wrightii novogeronensis, Brahea psilocalyx, Copernicia wrightii, Paurotis androsana, Paurotis arborescens, Paurotis psilocalyx, Paurotis schippii, Paurotis wrightii, Serenoa arborescens",Arecaceae; Res. 1912/2017 threatened flora,Acoelorraphe,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2738692,Colombia,,NATIONAL,,Aiphanes acaulis,Liliopsida,species,Arecaceae,Mararay sin tallo,NA,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
7860099,Colombia,,NATIONAL,,Aiphanes buenaventurae,Liliopsida,species,Arecaceae,Aiphanes sp.,NA,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2738682,Colombia,,NATIONAL,,Aiphanes duquei,Liliopsida,species,Arecaceae,Mararay de Duque,NA,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2738667,Colombia,,NATIONAL,,Aiphanes gelatinosa,Liliopsida,species,Arecaceae,Mararay Gelatinoso,NA,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2738691,Colombia,,NATIONAL,,Aiphanes graminifolia,Liliopsida,species,Arecaceae,Mararay macanillo,NA,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2738655,Colombia,,NATIONAL,,Aiphanes killipii,Liliopsida,species,Arecaceae,Aiphanes sp.,Martinezia killipii,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2738694,Colombia,,NATIONAL,,Aiphanes leiostachys,Liliopsida,species,Arecaceae,Mararay de San Carlos,NA,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,CR (Res. 1912/2017),Collection/trade prohibited,Res. 1912/2017
2738716,Colombia,,NATIONAL,,Aiphanes lindeniana,Liliopsida,species,Arecaceae,Aiphanes sp.,"Aiphanes stergiosii, Martinezia lindeniana",Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2738666,Colombia,,NATIONAL,,Aiphanes parvifolia,Liliopsida,species,Arecaceae,Mararay hojipeque<U+00F1>o,NA,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2738663,Colombia,,NATIONAL,,Aiphanes pilaris,Liliopsida,species,Arecaceae,Mararay de Pilar,NA,Arecaceae; Res. 1912/2017 threatened flora,Aiphanes,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2738128,Colombia,,NATIONAL,,Astrocaryum malybo,Liliopsida,species,Arecaceae,Palma estera,NA,Arecaceae; Res. 1912/2017 threatened flora,Astrocaryum,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2738138,Colombia,,NATIONAL,,Astrocaryum triandrum,Liliopsida,species,Arecaceae,Guatinajo,NA,Arecaceae; Res. 1912/2017 threatened flora,Astrocaryum,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2732713,Colombia,,NATIONAL,,Attalea amygdalina,Liliopsida,species,Arecaceae,T<U+00E1>paro del R<U+00ED>o Cauca,"Attalea rhynchocarpa, Attalea uberrima, Attalea victoriana",Arecaceae; Res. 1912/2017 threatened flora,Attalea,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2732676,Colombia,,NATIONAL,,Attalea cohune,Liliopsida,species,Arecaceae,"cohune palm, Cohune Palm","Orbignya cohune, Orbignya dammeriana, Orbigyna cohune",Arecaceae; Res. 1912/2017 threatened flora,Attalea,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2732716,Colombia,,NATIONAL,,Attalea colenda,Liliopsida,species,Arecaceae,Palma Real de Tumaco,Ynesa colenda,Arecaceae; Res. 1912/2017 threatened flora,Attalea,no,,EN (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2732804,Colombia,,NATIONAL,,Attalea iguadummat,Liliopsida,species,Arecaceae,Attalea sp.,NA,Arecaceae; Res. 1912/2017 threatened flora,Attalea,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2732819,Colombia,,NATIONAL,,Attalea nucifera,Liliopsida,species,Arecaceae,Almendr<U+00F3>n,NA,Arecaceae; Res. 1912/2017 threatened flora,Attalea,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2732936,Colombia,,NATIONAL,,Bactris charnleyae,Liliopsida,species,Arecaceae,Bactris sp.,NA,Arecaceae; Res. 1912/2017 threatened flora,Bactris,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2733082,Colombia,,NATIONAL,,Bactris gasipaes,Liliopsida,species,Arecaceae,Chinamato,"Bactris caribaea, Bactris coccinea, Bactris dahlgreniana, Bactris macana, Bactris speciosa chichagui, Guilelma microcarpa, Guilielma caribaea, Guilielma gasipaes chichagui, Guilielma macana, Guilielma mattogrossensis, Guilielma microcarpa",Arecaceae; Res. 1912/2017 threatened flora,Bactris,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
2733117,Colombia,,NATIONAL,,Bactris rostrata,Liliopsida,species,Arecaceae,Chacarr<U+00E1> picudo,NA,Arecaceae; Res. 1912/2017 threatened flora,Bactris,no,,VU (Res. 1912/2017),Collection/trade regulated,Res. 1912/2017
