GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_br,restriction_type,governing_law
4092242,Brazil,,NATIONAL,,Handroanthus impetiginosum,Magnoliopsida,species,Bignoniaceae,"Pink Trumpet Tree, pink trumpet-tree, taheebo","Gelseminum avellanedae, Handroanthus avellanedae, Tabebuia avellanedae, Tabebuia dugandii, Tabebuia impetiginosa, Tabebuia ipe integra, Tabebuia nicaraguensis, Tabebuia palmeri, Tabebuia schunkevigoi, Tecoma adenophylla, Tecoma avellanedae, Tecoma avellanedae alba, Tecoma impertiginosa, Tecoma impetiginosa, Tecoma integra, Tecoma ipe leucotricha, Tecoma ipe integra, Tecoma ipe integrifolia",Lapacho timber; medicinal bark (lapachol); heavy international demand,Handroanthus,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
2958859,Brazil,,NATIONAL,,Libidibia ferrea,Magnoliopsida,species,Fabaceae,Pau-ferro,NA,Ironwood; extremely dense timber; Atlantic Forest remnants; slow-growing,Libidibia,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
3083036,Brazil,,NATIONAL,,Cariniana legalis,Magnoliopsida,species,Lecythidaceae,Jequitib<U+00E1>-rosa,"Cariniana brasiliensis, Couratari legalis",Largest Atlantic Forest tree (to 50 m); old-growth indicator species,Cariniana,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
3152848,Brazil,,NATIONAL,,Virola surinamensis,Magnoliopsida,species,Myristicaceae,"Baboonwood, ucahuba-nut, white ucuba","Myristica americana, Myristica cerifera, Myristica fatua, Myristica gracilis, Myristica mascula, Myristica plumieriifolia, Myristica sebifera longifolia, Myristica surinamensis, Palala gracilis, Palala surinamensis, Virola carinata gracilis, Virola glaziouvii, Virola glaziovii, Virola glaziovii latifolia, Virola nobilis",Amazon/Atlantic Forest; plywood timber; severely over-logged in Par<U+00E1>,Virola,no,,EN (Port. 443/2014),Logging prohibited,Port. MMA 443/2014
3152240,Brazil,,NATIONAL,,Ochroma pyramidale,Magnoliopsida,species,Malvaceae,"Balsa, Balsa-wood tree, Corkwood, Down tree, Balsa Wood, Balsa tree, West Indian balsa, West Indian balsa, balsa, bois flot, corkwood, downtree, Balsa, Cork Wood","Bombax angulatum, Bombax pyramidale, Bombax pyramidatum, Ochroma bicolor, Ochroma boliviana, Ochroma concolor, Ochroma grandiflora, Ochroma lagopodum, Ochroma lagopus, Ochroma lagopus bicolor, Ochroma lagopus occigranatense, Ochroma lagopus occigranatensis, Ochroma limonense, Ochroma limonensis, Ochroma obtusa, Ochroma peruviana, Ochroma pyramidale bicolor, Ochroma pyramidale concolor, Ochroma tomentosa, Ochroma tomentosa ibarrensis, Ochroma tomentosum ibarrense, Ochroma velutina",Lightest commercial timber; riparian zones protected under Forest Code,Ochroma,no,,Forest Code protection in APPs,APP harvest prohibited,Lei 12.651/2012
3190484,Brazil,,NATIONAL,,Swietenia macrophylla,Magnoliopsida,species,Meliaceae,"Big Leaf Mahogany, Big-leaf Mahogany, Brazilian Mahogany, Honduran mahogany, Honduras Mahogany, Honduras mahogany, Large-leaved Mahogany, mahogany, Bigleaf Mahogany","Swietenia belizensis, Swietenia candollei, Swietenia krukovii, Swietenia macrophylla marabaensis, Swietenia tesomannii, Swietenia tessmannii",King of tropical timbers; CITES II since 2003; management plans required,Swietenia,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Harvest/export regulated,Port. MMA 443/2014 / CITES
7304518,Brazil,,NATIONAL,,Aniba rosaeodora,Magnoliopsida,species,Lauraceae,"Brazilian rosewood, rosewoodtree","Aniba duckei, Aniba rosaeodora amazonica, Aniba rosiodora amazonica, Aniba rosodora amazonica",Essential oil (linalool) for perfumery; Chanel No. 5 ingredient; replanting required,Aniba,no,,EN (Port. 443/2014) <U+2014> CITES App. II,Harvest/export regulated,Port. MMA 443/2014 / CITES
3083180,Brazil,,NATIONAL,,Bertholletia excelsa,Magnoliopsida,species,Lecythidaceae,"Brazil-nut, Brazil-nut Tree, Brazilnut, Brazilnut-tree, Paranut, brazilnut, creamnut, Para Nut","Barthollesia excelsa, Bertholletia excelsa, Bertholletia nobilis",Amazon icon; felling illegal since 1994; nut harvest sustainable; pollinator-dependent,Bertholletia,no,,VU (Port. 443/2014) <U+2014> Protected tree,Felling prohibited,Port. MMA 443/2014 / Lei 12.651
2940383,Brazil,,NATIONAL,,Vouacapoua americana,Magnoliopsida,species,Fabaceae,partridgewood,"Andira aubletii, Andira racemosa, Vouacapoua aubletii",Dense Amazon timber; illegal logging hotspot in Par<U+00E1>; extremely slow growth,Vouacapoua,no,,EN (Port. 443/2014),Logging prohibited,Port. MMA 443/2014
7321583,Brazil,,NATIONAL,,Astronium lecointei,Magnoliopsida,species,Anacardiaceae,Muiracatiara / Tigerwood,Astronium lecointei tomentosum,Premium flooring timber; Amazon; management plan required for harvest,Astronium,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
2885087,Brazil,,NATIONAL,,Manilkara huberi,Magnoliopsida,species,Sapotaceae,Massaranduba,"Manilkara huberi, Mimusops huberi",Bullet wood; extremely durable Amazon timber; heavy logging pressure in Par<U+00E1>,Manilkara,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
8567176,Brazil,,NATIONAL,,Mezilaurus ita-uba,Magnoliopsida,species,Lauraceae,Ita<U+00FA>ba,NA,Shipbuilding timber; naturally rot-resistant; over-harvested in Mato Grosso,Mezilaurus,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
2950750,Brazil,,NATIONAL,,Hymenaea courbaril,Magnoliopsida,species,Fabaceae,"Brazilian copal, Locust, Locust tee, Stinking toe tree, Courbaril, West Indian locust, South American-locust, Stinking Toe Tree, West Indian-locust, amami-gum, stinkingtoe","Courbaril hymenaea, Hymenaea animifera, Hymenaea candolleana, Hymenaea confertifolia, Hymenaea courbarii stilbocarpa, Hymenaea courbaril courbaril, Hymenaea courbaril obtusifolia, Hymenaea courbaril stilbocarpa, Hymenaea courbaril subsessilis, Hymenaea courbaril villosa, Hymenaea multiflora, Hymenaea resinifera, Hymenaea retusa, Hymenaea splendida, Hymenaea stilbocarpa, Inga megacarpa, Peltogyne confertifolia","Multi-use Amazon/Atlantic Forest tree; resin, timber, food; slow regeneration",Hymenaea,no,,Forest Code protected,Harvest regulated,Lei 12.651/2012
4073742,Brazil,,NATIONAL,,Pachira paraensis,Magnoliopsida,species,Malvaceae,Castanha-do-maranh<U+00E3>o,NA,Amazon emergent tree; timber and kapok fiber; declining populations,Pachira,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
3762826,Brazil,,NATIONAL,,Brosimum rubescens,Magnoliopsida,species,Moraceae,"Bloodwood, Satinwood","Alicastrum rubescens, Brosimum angustifolium, Brosimum brevipedunculatum, Brosimum caloxylon, Brosimum lanciferum, Brosimum longistipulatum, Brosimum paraense, Brosimum platyneurum, Ferolia guianensis, Ferolia variegata, Parinari guyanense, Piratinera angustifolia, Piratinera lancifera, Piratinera paraensis, Piratinera rubescens",Bloodwood / satinwood; deep red timber; Amazon; logged for specialty markets,Brosimum,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
5293403,Brazil,,NATIONAL,,Euterpe edulis,Magnoliopsida,species,Arecaceae,assai palm,"Euterpe edulis clausa, Euterpe egusquizae, Euterpe espiritosantensis",Atlantic Forest palm heart source; unsustainable harvest decimated populations,Euterpe,no,,VU (Port. 443/2014),Harvest regulated / felling prohibited,Port. MMA 443/2014
5293398,Brazil,,NATIONAL,,Euterpe oleracea,Magnoliopsida,species,Arecaceae,"Assai Palm, Assai palm, assai palm, cabbage palm, euterp-palm, manicola-palm","Catis martiana, Euterpe badiocarpa, Euterpe beardii, Euterpe brasiliana, Euterpe cuatrecasana, Euterpe cuatrecasasiana",Amazon superfruit; multi-billion dollar industry; sustainable harvest model,Euterpe,no,,Commercially regulated <U+2014> ABS,Commercial use regulated,Lei 13.123/2015
2732833,Brazil,,NATIONAL,,Attalea funifera,Magnoliopsida,species,Arecaceae,"Bahia piassava palm, Piassava Palm, coquilla-nut, piassaba, pissaba palm","Attalea acaulis, Attalea funifera, Attalea funifera acaulis, Lithocarpos cocciformis, Sarinia funifera",Bahia endemic; fiber palm; over-harvested for broom bristles,Attalea,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
5293875,Brazil,,NATIONAL,,Syagrus coronata,Magnoliopsida,species,Arecaceae,"Ouricury palm, licuri palm, ouricury palm","Arecastrum romanzoffianum ensifolium, Calappa coronata, Cocos botryophora ensifolia, Cocos coronata, Cocos coronata todari, Cocos quinquefaria, Glaziova treubiana, Syagrus coronata todari, Syagrus quinquefaria, Syagrus treubiana",Caatinga/Cerrado palm; key food for Lear's macaw (EN); habitat conversion threat,Syagrus,no,,VU (Port. 443/2014),Harvest regulated,Port. MMA 443/2014
2732877,Brazil,,NATIONAL,,Attalea speciosa,Magnoliopsida,species,Arecaceae,"babassu palm, Babassu Palm","Attalea glassmanii, Attalea lydiae, Heptantra phalerata, Orbignya barbosiana, Orbignya cuci, Orbignya huebneri, Orbignya lydiae, Orbignya macropetala, Orbignya martiana, Orbignya phalerata, Orbignya speciosa",Amazon/Cerrado transitional palm; oil and charcoal; quebradeiras rights,Attalea,no,,Commercially regulated <U+2014> Baba<U+00E7>u Law,Free access for traditional communities,Lei 12.651/2012 / State Baba<U+00E7>u Laws
2738262,Brazil,,NATIONAL,,Copernicia prunifera,Magnoliopsida,species,Arecaceae,"carnauba palm, carnauba wax palm, carnauba-wax palm, wax palm","Arrudaria cerifera, Copernicia cerifera, Corypha cerifera, Palma prunifera",Tree of life (Caatinga/Cerrado); industrial wax; geographic indication,Copernicia,no,,Commercially regulated,Sustainable harvest permitted,Lei 12.651/2012 / State regulations
5294777,Brazil,,NATIONAL,,Mauritia flexuosa,Magnoliopsida,species,Arecaceae,Buriti palm,"Mauritia flexuosa venezuelana, Mauritia minor, Mauritia sagus, Mauritia setigera, Mauritia sphaerocarpa, Mauritia vinifera, Saguerus americanus",Cerrado vereda palm; keystone species; habitat (veredas) are APPs under Forest Code,Mauritia,no,,APP species <U+2014> Forest Code,Felling prohibited in veredas,Lei 12.651/2012
2801162,Brazil,,NATIONAL,,Cattleya labiata,Magnoliopsida,species,Orchidaceae,Cattleya orchid,"Cattleya bullieri, Cattleya labiata alba, Cattleya labiata albo-oculata, Cattleya labiata caerulea, Cattleya labiata candida, Cattleya labiata coerulea, Cattleya labiata purpureostriata, Cattleya labiata autumnalis, Cattleya labiata amesiana, Cattleya labiata amoena, Cattleya labiata atropurpurea, Cattleya labiata beyrodtiana, Cattleya labiata brennandiana, Cattleya labiata concolor, Cattleya labiata crocata, Cattleya labiata pallida, Cattleya labiata petersii, Cattleya labiata petersii-marmorata, Cattleya labiata picta, Cattleya labiata purpureolineata, Cattleya labiata rochellensis, Cattleya labiata semialba, Cattleya labiata warocqueana, Cattleya labiata wilsoniana, Cattleya leeana, Cattleya lemoniana, Cattleya massangeana, Cattleya nalderiana, Cattleya oweniana, Cattleya pallida, Cattleya peetersii, Cattleya perrinii, Cattleya regalis, Cattleya rollissonii, Cattleya warocqueana, Epidendrum labiatum, Epidendrum labiatum lemonianum, Epidendrum labiatum pallidum, Epidendrum labiatum pictum",National orchid; Pernambuco Atlantic Forest; wild collection major threat,Cattleya,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Collection/trade regulated,Port. MMA 443/2014 / CITES
2800917,Brazil,,NATIONAL,,Cattleya walkeriana,Magnoliopsida,species,Orchidaceae,Cattleya walkeriana,"Cattleya bulbosa, Cattleya gardneriana, Cattleya princeps, Cattleya walkerana bulbosa, Cattleya walkeriana princeps, Cattleya walkeriana bulbosa, Epidendrum walkerianum",Cerrado rupestrian orchid; Minas Gerais/Goi<U+00E1>s; prized in horticulture,Cattleya,no,,EN (Port. 443/2014) <U+2014> CITES App. II,Collection/trade prohibited,Port. MMA 443/2014 / CITES
2801089,Brazil,,NATIONAL,,Cattleya tigrina,Magnoliopsida,species,Orchidaceae,Cattleya leopoldii,NA,Santa Catarina Atlantic Forest; large bifoliate; habitat loss,Cattleya,no,,EN (Port. 443/2014) <U+2014> CITES App. II,Collection/trade prohibited,Port. MMA 443/2014 / CITES
7569287,Brazil,,NATIONAL,,Cattleya purpurata,Magnoliopsida,species,Orchidaceae,Laelia purpurata,"Amalia purpurea, Bletia casperiana, Bletia purpurata, Bletia purpurata aurorea, Bletia purpurata pallida, Brasilaelia purpurata, Cattleya brysiana, Cattleya purpurata, Cattleya purpurata blenheimense, Cattleya purpurata nelisii, Cattleya purpurata rosea, Cattleya purpurata russelliana, Cattleya purpurata virginalis, Chironiella purpurata, Hadrolaelia purpurata, Hadrolaelia purpurata virginalis, Laelia casperiana, Laelia purpurata, Laelia purpurata blenheimense, Laelia purpurata nelisii, Laelia purpurata praetexta, Laelia purpurata rosea, Laelia purpurata russelliana, Laelia purpurata virginalis, Laelia russelliana, Sophronitis purpurata",Southern Atlantic Forest; large showy flowers; state flower of SC,Cattleya,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Collection/trade regulated,Port. MMA 443/2014 / CITES
2803646,Brazil,,NATIONAL,,Miltonia spectabilis,Magnoliopsida,species,Orchidaceae,Miltonia spectabilis,"Macrochilus fryanus, Miltonia bicolor, Miltonia spectabilis aspersa, Miltonia spectabilis bicolor, Miltonia spectabilis lineata, Miltonia spectabilis porphyroglossa, Miltonia spectabilis purpureoviolacea, Miltonia spectabilis radians, Miltonia spectabilis rosea, Miltonia spectabilis virginalis, Oncidium spectabile",Pansy orchid; Atlantic Forest lowlands; fragmented populations,Miltonia,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Collection/trade regulated,Port. MMA 443/2014 / CITES
5308708,Brazil,,NATIONAL,,Constantia cipoensis,Magnoliopsida,species,Orchidaceae,Constantia cipoensis,NA,Micro-orchid; Serra do Cip<U+00F3> endemic; rupestrian grasslands; <100 plants,Constantia,no,,CR (Port. 443/2014) <U+2014> CITES App. II,Collection prohibited,Port. MMA 443/2014 / CITES
2812038,Brazil,,NATIONAL,,Cattleya crispata,Magnoliopsida,species,Orchidaceae,Hoffmannseggella crispata,NA,Rup<U+00ED>cola orchid; iron quadrangle Minas Gerais; mining threatens habitat,Cattleya,no,,EN (Port. 443/2014) <U+2014> CITES App. II,Collection prohibited,Port. MMA 443/2014 / CITES
2837005,Brazil,,NATIONAL,,Zygopetalum maculatum,Magnoliopsida,species,Orchidaceae,Zygopetalum mackayi,NA,Fragrant terrestrial orchid; Atlantic Forest; over-collected for fragrance,Zygopetalum,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Collection/trade regulated,Port. MMA 443/2014 / CITES
2834834,Brazil,,NATIONAL,,Gomesa imperatoris-maximiliani,Magnoliopsida,species,Orchidaceae,Brasilidium crispum,NA,Formerly Oncidium crispum; Atlantic Forest epiphyte; Rio de Janeiro mountains,Gomesa,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Collection/trade regulated,Port. MMA 443/2014 / CITES
5322611,Brazil,,NATIONAL,,Isabelia virginalis,Magnoliopsida,species,Orchidaceae,Isabelia virginalis,NA,Miniature cloud forest orchid; MG/ES Atlantic Forest; fog-dependent,Isabelia,no,,EN (Port. 443/2014) <U+2014> CITES App. II,Collection prohibited,Port. MMA 443/2014 / CITES
2814329,Brazil,,NATIONAL,,Phragmipedium vittatum,Magnoliopsida,species,Orchidaceae,Striped Phragmipedium,"Cypripedium binotii, Cypripedium paulistanum, Cypripedium vittatum, Cypripedium vittatum breve, Paphiopedilum paulistanum, Paphiopedilum vittatum, Selenipedium paulistanum, Selenipedium vittatum, Selenipedium vittatum breve",Brazilian slipper orchid; only Phragmipedium in Atlantic Forest; <200 plants,Phragmipedium,no,,CR (Port. 443/2014) <U+2014> CITES App. I,All trade prohibited,Port. MMA 443/2014 / CITES
2812242,Brazil,,NATIONAL,,Cattleya pumila,Magnoliopsida,species,Orchidaceae,Hadrolaelia pumila,NA,Miniature Cattleya relative; coastal Atlantic Forest; Rio/ES states,Cattleya,no,,EN (Port. 443/2014) <U+2014> CITES App. II,Collection prohibited,Port. MMA 443/2014 / CITES
2835180,Brazil,,NATIONAL,,Grandiphyllum divaricatum,Magnoliopsida,species,Orchidaceae,mule-ear orchid,"Aurinocidium divaricatum, Aurinocidium pulvinatum, Aurinocidium robustissimum, Aurinocidium sphegiferum, Grandiphyllum pulvinatum, Grandiphyllum robustissimum, Grandiphyllum sphegiferum, Oncidium divaricatum, Oncidium divaricatum cupreum, Oncidium pulvinatum, Oncidium pulvinatum grandiflorum, Oncidium pulvinatum majus, Oncidium pulvinatum minarum, Oncidium robustissimum, Oncidium sciurus, Oncidium sphegiferum",Dancing lady orchid; Atlantic Forest epiphyte; fragmented populations,Grandiphyllum,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Collection/trade regulated,Port. MMA 443/2014 / CITES
5319755,Brazil,,NATIONAL,,Epidendrum secundum,Magnoliopsida,species,Orchidaceae,"Lopsided Star Orchid, lopsided star orchid, thicket star orchid","Amphiglottis lacera, Amphiglottis secunda, Epidendrum ansiferum, Epidendrum antioquiense, Epidendrum brachyphyllum, Epidendrum bulkeleyi, Epidendrum coroicoense, Epidendrum corymbosum latifolium, Epidendrum crassifolium albescens, Epidendrum cuzcoense, Epidendrum dolichopus, Epidendrum ellipticum, Epidendrum ellipticum freybergense, Epidendrum giroudianum, Epidendrum gracilicaule, Epidendrum herzogii, Epidendrum incisum, Epidendrum inconstans, Epidendrum lacerum, Epidendrum lindenii, Epidendrum longihastatum, Epidendrum novogranatense, Epidendrum polyschistum, Epidendrum secundum albescens, Epidendrum sulfuratorium, Epidendrum tarmense, Epidendrum tricallosum, Epidendrum versicolor",Widespread but all Orchidaceae CITES II; rupestrian and Atlantic Forest forms,Epidendrum,no,,CITES App. II,Export regulated,CITES
7281591,Brazil,,NATIONAL,,Uebelmannia pectinifera,Magnoliopsida,species,Cactaceae,Uebelmannia,"Uebelmannia pectinifera flavispina, Uebelmannia pectinifera horrida, Uebelmannia pectinifera multicostata, Uebelmannia pectinifera pseudopectinifera",Minas Gerais quartzite endemic; entire genus CITES I; poaching for collectors,Uebelmannia,no,,EN (Port. 443/2014) <U+2014> CITES App. I,All trade prohibited,Port. MMA 443/2014 / CITES
3950571,Brazil,,NATIONAL,,Discocactus horstii,Magnoliopsida,species,Cactaceae,Discocactus horstii,Discocactus woutersianus,Tiny globular cactus; Gr<U+00E3>o Mogol MG endemic; fewer than 500 plants,Discocactus,no,,CR (Port. 443/2014) <U+2014> CITES App. I,All trade prohibited,Port. MMA 443/2014 / CITES
7280199,Brazil,,NATIONAL,,Melocactus violaceus,Magnoliopsida,species,Cactaceae,Turk's-cap cactus,"Melocactus depressus, Melocactus melocactoides sanctaritii",Turk's cap cactus; Atlantic coastal restinga; habitat destruction,Melocactus,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Collection/trade regulated,Port. MMA 443/2014 / CITES
3959873,Brazil,,NATIONAL,,Pilosocereus azulensis,Magnoliopsida,species,Cactaceae,Pilosocereus azulensis,NA,Blue columnar cactus; Bahia endemic; fewer than 250 individuals,Pilosocereus,no,,CR (Port. 443/2014) <U+2014> CITES App. II,Collection prohibited,Port. MMA 443/2014 / CITES
7282658,Brazil,,NATIONAL,,Arthrocereus melanurus,Magnoliopsida,species,Cactaceae,Arthrocereus melanurus,Arthrocereus mellobarretoi,Night-blooming cactus; iron quadrangle MG; mining destroys habitat,Arthrocereus,no,,VU (Port. 443/2014) <U+2014> CITES App. II,Collection/trade regulated,Port. MMA 443/2014 / CITES
3942172,Brazil,,NATIONAL,,Cipocereus bradei,Magnoliopsida,species,Cactaceae,Cipocereus bradei,"Cephalocereus bradei, Cereus bradei, Pilocereus bradei, Pilosocereus bradei, Pseudopilocereus bradei",Serra do Cip<U+00F3> columnar cactus; quartzite specialist; restricted range,Cipocereus,no,,EN (Port. 443/2014) <U+2014> CITES App. II,Collection prohibited,Port. MMA 443/2014 / CITES
3947322,Brazil,,NATIONAL,,Brasilicereus markgrafii,Magnoliopsida,species,Cactaceae,Brasilicereus markgrafii,Cereus markgrafii,Caatinga/Cerrado cactus; arborescent; declining due to land conversion,Brasilicereus,no,,EN (Port. 443/2014) <U+2014> CITES App. II,Collection prohibited,Port. MMA 443/2014 / CITES
7284042,Brazil,,NATIONAL,,Tacinga inamoena,Magnoliopsida,species,Cactaceae,Tacinga inamoena,NA,Caatinga Opuntia relative; all Cactaceae CITES II; ornamental trade,Tacinga,no,,CITES App. II,Export regulated,CITES
3084036,Brazil,,NATIONAL,,Rhipsalis baccifera,Magnoliopsida,species,Cactaceae,"Mistletoe Cactus, mistletoe cactus","Cassytha baccifera, Cereus baccifer, Cereus bacciferus, Hariota cassutha, Hariota cassytha, Rhipsalis bermejensis, Rhipsalis cassutha, Rhipsalis corallioides, Rhipsalis delphinensis, Rhipsalis pendula, Rhipsalis pilosa",Mistletoe cactus; only cactus native to Old World; epiphytic; Atlantic Forest,Rhipsalis,no,,CITES App. II,Export regulated,CITES
5384214,Brazil,,NATIONAL,,Pereskia grandifolia,Magnoliopsida,species,Cactaceae,"Rose Cactus, Rose cactus, rose cactus","Cactus grandifolius, Cactus rosa, Opuntia rosea, Peireskia grandifolia, Pereskia bleo, Pereskia grandiflora, Pereskia grandifolia grandifolia, Pereskia ochnacarpa, Pereskia ochnocarpa, Pereskia rosea, Pereskia tampicana, Rhodocactus grandifolius, Rhodocactus tampicanus",Leafy cactus; ora-pro-n<U+00F3>bis; edible leaves; Atlantic Forest; all Cactaceae CITES II,Pereskia,no,,CITES App. II,Export regulated,CITES
2700429,Brazil,,NATIONAL,,Alcantarea imperialis,Magnoliopsida,species,Bromeliaceae,Alcantarea imperialis,"Alcantarea imperialis, Tillandsia blokii, Vriesea blokii, Vriesea gigantea, Vriesea imperialis",Giant bromeliad; Serra dos <U+00D3>rg<U+00E3>os RJ endemic; ornamental poaching,Alcantarea,no,,VU (Port. 443/2014),Collection prohibited,Port. MMA 443/2014
