GBIFusageKey,country,region,jurisdiction,jurisdiction_group,prefName,classification,taxonLevel,family,englishName,synonyms,Note,genus_I,is_aquatic,aquatic_type_I,legal_status_sa,restriction_type,governing_law
2683722,South Africa,,NATIONAL,,Encephalartos altensteinii,Cycadopsida,species,Zamiaceae,"Eastern Cape Cycad, Eastern Cape Giant Cycad, prickly cycad","Bombax encephalartos, Encephalartos altensteinii altensteinii, Encephalartos altensteinii angustifolius, Encephalartos altensteinii distans, Encephalartos altensteinii grandis, Encephalartos altensteinii macrophyllus, Encephalartos altensteinii parvifolius, Encephalartos altensteinii semidentatus, Encephalartos altensteinii spinosior, Encephalartos longifolius hookeri, Encephalartos marumii, Encephalartos regalis, Encephalartos vroomii, Zamia altensteinii, Zamia glabra, Zamia katzeri, Zamia spinosa, Zamia vernicosa, Zamia vroomanii",Widely cultivated; wild populations threatened by collection,Encephalartos,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2683756,South Africa,,NATIONAL,,Encephalartos natalensis,Cycadopsida,species,Zamiaceae,"Natal Cycad, Natal Giant Cycad",NA,KZN coastal; common in trade; wild populations declining,Encephalartos,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2683786,South Africa,,NATIONAL,,Encephalartos lehmannii,Cycadopsida,species,Zamiaceae,Karoo Cycad,"Encephalartos elongatus, Encephalartos lehmannii dentatus, Encephalartos lehmannii lehmannii, Encephalartos lehmannii spinulosus, Encephalartos spinulosus, Zamia glaucescens, Zamia lehmanniana, Zamia lehmannii, Zamia lehmannii horrida, Zamia spinulosa",Eastern Cape; blue-leaved; heavily collected,Encephalartos,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2683742,South Africa,,NATIONAL,,Encephalartos lebomboensis,Cycadopsida,species,Zamiaceae,Lebombo Cycad,NA,KZN/Mpumalanga; Lebombo mountains; cliff dweller,Encephalartos,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2683711,South Africa,,NATIONAL,,Encephalartos arenarius,Cycadopsida,species,Zamiaceae,"Alexandria Cycad, Dune Cycad",NA,Eastern Cape coastal dunes; sand-dwelling; few hundred plants,Encephalartos,no,,Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683807,South Africa,,NATIONAL,,Encephalartos horridus,Cycadopsida,species,Zamiaceae,Eastern Cape Blue Cycad,"Encephalartos altensteinii eriocephalus, Encephalartos horridus hallianus, Encephalartos horridus horridus, Encephalartos horridus nanus, Encephalartos horridus vanhallii, Encephalartos nanus, Encephalartos van-hallii, Zamia aurea, Zamia gleina, Zamia horrida, Zamia nana, Zamia tricuspidata",Eastern Cape; spiny blue leaves; heavily traded in succulent market,Encephalartos,no,,Endangered (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2683759,South Africa,,NATIONAL,,Encephalartos longifolius,Cycadopsida,species,Zamiaceae,"Suurberg Cycad, Thunberg's Cycad","Encephalartos horridus lanuginosus, Encephalartos lanuginosus, Encephalartos longifolius angustifolius, Encephalartos longifolius latifolius, Encephalartos longifolius longifolius, Encephalartos longifolius revolutus, Encephalartos mauritianus, Zamia lanuginosa, Zamia longifolia",Eastern Cape; versatile habitat; poaching pressure,Encephalartos,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2683794,South Africa,,NATIONAL,,Encephalartos villosus,Cycadopsida,species,Zamiaceae,Poor Man's Cycad,"Encephalartos plumosus, Encephalartos striatus, Encephalartos villosus intermedius, Encephalartos villosus villosus, Zamia niveolanuginosa",Eastern seaboard; most common SA cycad; still legally protected,Encephalartos,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2683745,South Africa,,NATIONAL,,Encephalartos eugene-maraisii,Cycadopsida,species,Zamiaceae,Waterberg Cycad,Encephalartos eugene-maraisii eugene-maraisii,"Waterberg, Limpopo; glaucous blue leaves; heavily poached",Encephalartos,no,,Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2683709,South Africa,,NATIONAL,,Encephalartos msinganus,Cycadopsida,species,Zamiaceae,Msinga Cycad,NA,KZN Msinga area; discovered 2003; very restricted range,Encephalartos,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2684266,South Africa,,NATIONAL,,Widdringtonia cedarbergensis,Pinopsida,species,Cupressaceae,"Cape Cedar, Cape-cedar, Clanwilliam Cedar, Clanwilliam Cypress, Clanwilliam-cedar","Callitris arborea, Widdringtonia juniperoides",Cederberg endemic; <100 mature trees; fire and climate change,Widdringtonia,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
5637028,South Africa,,NATIONAL,,Protea odorata,Magnoliopsida,species,Proteaceae,Swartland Sugarbush,Leucadendron odoratum,<250 mature plants in Swartland fynbos,Protea,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
7616979,South Africa,,NATIONAL,,Erica verticillata,Magnoliopsida,species,Ericaceae,Whorled heath,"Callista verecunda, Erica abietina, Erica concinna, Erica lychnoidea, Erica mediterranea, Erica metuliflora, Erica meuronii, Erica multiflora, Erica paludosa, Erica roxburghii, Erica vaga, Erica verecunda, Erica vesicularis, Ericoides meuronii, Ericoides roxburghii, Ericoides verticillatum, Ericoides vesiculare, Gypsocallis manipuliflora, Pachysa vesicularis, Syringodea concinna",Extinct in wild; maintained in Kirstenbosch ex-situ collections,Erica,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
7287602,South Africa,,NATIONAL,,Leucadendron elimense,Magnoliopsida,species,Proteaceae,Elim Conebush,NA,Three surviving subpopulations; Agulhas Plain endemic,Leucadendron,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
5638395,South Africa,,NATIONAL,,Orothamnus zeyheri,Magnoliopsida,species,Proteaceae,"Marsh Rose, Mountain Rose, marsh-rose","Mimetes zeyheri, Orothamnus zeyheri",Fernkloof/Kogelberg endemic; marshy fynbos; very restricted range,Orothamnus,no,,Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
5637977,South Africa,,NATIONAL,,Protea cryophila,Magnoliopsida,species,Proteaceae,"Snow Protea, Snowball Protea",Protea chionantha,Swartberg high-altitude endemic; climate change vulnerable,Protea,no,,Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
5638389,South Africa,,NATIONAL,,Protea aristata,Magnoliopsida,species,Proteaceae,Ladismith Sugarbush,NA,Swartberg Pass endemic; fire-sensitive; few populations,Protea,no,,Vulnerable (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
5636472,South Africa,,NATIONAL,,Aulax cancellata,Magnoliopsida,species,Proteaceae,Channel-leaf Featherbush,"Aulax pinifolia, Leucadendron cancellatum, Leucadendron pinifolium, Protea bracteata, Protea cancellata, Protea pinifolia",W Cape fynbos; channel-leaf female spicate proteoid; declining,Aulax,no,,Vulnerable (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
3997588,South Africa,,NATIONAL,,Serruria furcellata,Magnoliopsida,species,Proteaceae,Kraaifontein Spiderhead,"Leucadendron glomeratum, Protea brownii, Protea furcellata, Serruria diffusa, Serruria scariosa",Scarlet spiderhead; Cape Flats lowland fynbos; urbanisation threat,Serruria,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
5636282,South Africa,,NATIONAL,,Mimetes stokoei,Magnoliopsida,species,Proteaceae,Mace Pagoda,NA,Kogelberg pagoda; rediscovered 2010 after believed extinct; <50 plants,Mimetes,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
3190125,South Africa,,NATIONAL,,Agathosma betulina,Magnoliopsida,species,Rutaceae,"buchu, honey buchu, mountain buchu","Barosma betulina, Barosma orbicularis, Bucco betulina, Diosma betulina, Diosma crenata, Hartogia betulina, Parapetalifera betulina",Fynbos medicinal plant; over-harvested for export essential oil,Agathosma,no,,Vulnerable (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
7508648,South Africa,,NATIONAL,,Cyclopia genistoides,Magnoliopsida,species,Fabaceae,"Common Honeybush Tea, honeybush tea, Honeybush Tea","Cyclopia galioides, Cyclopia genistoides heterophylla, Cyclopia genistoides teretifolia, Cyclopia heterophylla, Cyclopia teretifolia, Galega genistoides, Ibbetsonia genistoides, Sophora genistifolia, Sophora genistoides, Virgilia genistoides",Fynbos tea plant; wild harvest regulated; several Cyclopia spp. threatened,Cyclopia,no,,Vulnerable (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2783834,South Africa,,NATIONAL,,Disa uniflora,Magnoliopsida,species,Orchidaceae,Cape orchid (Disa),"Disa barellii, Disa grandiflora, Satyrium grandiflorum",Pride of Table Mountain; all Orchidaceae CITES II; iconic,Disa,no,,Protected (TOPS),Regulated collection/trade,NEMBA TOPS Regulations 2007
7788718,South Africa,,NATIONAL,,Serruria florida,Magnoliopsida,species,Proteaceae,"Blushing Bride, Pride-of-Franschhoek, blushing-bride",Protea florida,Wedding flower; Franschhoek/Stellenbosch fynbos; habitat loss,Serruria,no,,Vulnerable (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2777170,South Africa,,NATIONAL,,Aloidendron pillansii,Magnoliopsida,species,Asphodelaceae,"Pillans' aloe, bastard quiver tree, giant quiver tree",NA,Northern Cape; declining from climate change; no recruitment observed,Aloidendron,no,,Endangered (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2777781,South Africa,,NATIONAL,,Aloe polyphylla,Magnoliopsida,species,Asphodelaceae,"Basotoland aloe, coiled aloe, spiral aloe",NA,Lesotho highlands endemic; most traded succulent globally; CITES I,Aloe,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2777789,South Africa,,NATIONAL,,Aloe ferox,Magnoliopsida,species,Asphodelaceae,"Cape Aloe, Cape aloe, Cape prickly aloe, bitter aloe, common aloe, cultivated aloe, medicinal aloe, new aloes, red aloe, tap aloe","Aloe ferox galpinii, Aloe ferox incurva, Aloe ferox subferox, Aloe ferox incurvata, Aloe galpinii, Aloe horrida, Aloe pallancae, Aloe perfoliata ferox, Aloe pseudoferox, Aloe subferox, Aloe supralaevis, Aloe supralaevis erythrocarpa, Busipho ferox, Pachidendron ferox, Pachidendron pseudoferox, Pachidendron supralaeve, Pachydendron ferox, Pachydendron pseudoferox",Commercially harvested for bitter aloe; permit required; sustainable,Aloe,no,,Protected (TOPS),Regulated harvest/trade,NEMBA TOPS Regulations 2007
9485745,South Africa,,NATIONAL,,Aloidendron dichotomum,Magnoliopsida,species,Asphodelaceae,"Quiver Tree, quiver tree","Aloe dichotoma, Aloe dichotoma montana, Aloe montana, Aloe ramosa, Rhipidodendrum dichotomum",Iconic Namaqualand tree aloe; climate-driven mortality increasing,Aloidendron,no,,Vulnerable (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
9372012,South Africa,,NATIONAL,,Aloidendron pillansii,Magnoliopsida,species,Asphodelaceae,"Bastard Quiver Tree, Giant Quiver Tree, Pillans' aloe, bastard quiver tree","Aloe dichotoma pillansii, Aloe pillansii",Richtersveld; tallest aloe; <200 reproductive individuals,Aloidendron,no,,Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
4930719,South Africa,,NATIONAL,,Euphorbia obesa,Magnoliopsida,species,Euphorbiaceae,"Gingham-golfball, baseball-cactus, living-baseball","Euphorbia cucumerina, Euphorbia obesa obesa",Karoo endemic; heavily poached for succulent trade globally,Euphorbia,no,,Vulnerable (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
3065068,South Africa,,NATIONAL,,Euphorbia caput-medusae,Magnoliopsida,species,Euphorbiaceae,Medusa's-head,"Euphorbia caput-medusae geminata, Euphorbia caput-medusae major, Euphorbia caput-medusae minor, Euphorbia commelini, Euphorbia fructus-pini, Euphorbia fructus-pini geminata, Euphorbia geminata, Euphorbia marlothiae, Euphorbia medusae, Euphorbia parvimamma, Euphorbia tessellata, Medusea fructus-pini, Medusea major, Medusea tessellata",W Cape endemic; all succulent Euphorbia CITES II; ornamental trade,Euphorbia,no,,Protected (TOPS),Regulated collection/trade,NEMBA TOPS Regulations 2007
3231652,South Africa,,NATIONAL,,Lithops,Magnoliopsida,species,Aizoaceae,Living rocks,NA,Entire genus; popular in succulent trade; poaching risk; Karoo/Namaqualand,Lithops,no,,Protected (TOPS),Regulated collection/trade,NEMBA TOPS Regulations 2007
7329128,South Africa,,NATIONAL,,Conophytum,Magnoliopsida,species,Aizoaceae,Conophytum (stone plants),"Berresfordia, Berrisfordia, Conophyton, Derenbergia, Herreanthus, Ophthalmophyllum",Genus-level CITES II listing 2022 (CoP19); massive poaching for Asian market,Conophytum,no,,Protected (TOPS),Regulated collection/trade,NEMBA TOPS Regulations 2007
7956185,South Africa,,NATIONAL,,Hoodia gordonii,Magnoliopsida,species,Apocynaceae,Hoodia (appetite suppressant),NA,Kalahari/Northern Cape; San traditional use; patented; ABS dispute,Hoodia,no,,Protected (TOPS),Regulated collection/trade,NEMBA TOPS Regulations 2007
2854753,South Africa,,NATIONAL,,Agapanthus walshii,Magnoliopsida,species,Amaryllidaceae,Drakensberg agapanthus,Agapanthus africanus walshii,KZN endemic; heavily collected for horticulture,Agapanthus,no,,Vulnerable (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007
2738618,South Africa,,NATIONAL,,Jubaeopsis caffra,Magnoliopsida,species,Arecaceae,"Kaffir palm, pondoland palm, Pondo Coconut, Dwarf Palm, Mkambati Palm, Pondo Palm, Pondo-palm, Pondoland Coconut, Pondoland Palm",NA,"World's rarest palm; <500 plants on Wild Coast, Eastern Cape",Jubaeopsis,no,,Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
2852840,South Africa,,NATIONAL,,Hypoxis hemerocallidea,Magnoliopsida,species,Hypoxidaceae,African potato,"Hypoxis elata, Hypoxis obconica, Hypoxis patula, Hypoxis rooperi, Hypoxis rooperi forbesii",Heavily traded muthi plant; anti-retroviral claims drove demand,Hypoxis,no,,Protected (TOPS),Regulated harvest/trade,NEMBA TOPS Regulations 2007
2757671,South Africa,,NATIONAL,,Siphonochilus aethiopicus,Magnoliopsida,species,Zingiberaceae,African-ginger,"Cienkowskia aethiopica, Cienkowskiella aethiopica, Cienkowskiella evae, Kaempferia aethiopica, Kaempferia aethiopica angustifolia, Kaempferia dewevrei, Kaempferia ethelae, Kaempferia evae, Kaempferia natalensis, Kaempferia stenopetala, Kaempferia zambeziaca, Siphonochilus evae, Siphonochilus natalensis",Extinct from wild in KZN/Gauteng; muthi trade; rhizome harvested,Siphonochilus,no,,Critically Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
5603223,South Africa,,NATIONAL,,Warburgia salutaris,Magnoliopsida,species,Canellaceae,Pepper Bark Tree,"Chibaca salutaris, Warburgia breyeri",Bark heavily harvested for traditional medicine; functionally extinct in KZN,Warburgia,no,,Endangered (TOPS),Protected <U+2014> no trade,NEMBA TOPS Regulations 2007
3022853,South Africa,,NATIONAL,,Prunus africana,Magnoliopsida,species,Rosaceae,"African Almond, African cherry, Red Stinkwood, pygeum, African Cherry","Laurocerasus africana, Laurocerasus crassifolia, Prunus crassifolia, Pygeum africanum, Pygeum crassifolium",Bark for prostate drug; CITES II; Mpumalanga/Limpopo populations,Prunus,no,,Protected (TOPS),Protected <U+2014> permit required,NEMBA TOPS Regulations 2007 / CITES
3827581,South Africa,,NATIONAL,,Pelargonium sidoides,Magnoliopsida,species,Geraniaceae,Black Pelargonium,"Cortusina sidifolia, Geraniospermum sidifolium, Geranium sidaefolium, Geranium sidifolium, Pelargonium purpurascens, Pelargonium rigidum, Pelargonium sidaefolium, Pelargonium sidifolium, Pelargonium spectabile",Root harvested for respiratory remedy; massive export to Germany,Pelargonium,no,,Protected (TOPS),Regulated harvest/trade,NEMBA TOPS Regulations 2007
3707372,South Africa,,NATIONAL,,Mesembryanthemum tortuosum,Magnoliopsida,species,Aizoaceae,"kougoed, sceletium",NA,San/Khoi psychoactive plant; supplement industry; ABS requirement,Mesembryanthemum,no,,Protected (TOPS),Regulated collection/trade,NEMBA TOPS Regulations 2007
8091794,South Africa,,NATIONAL,,Ocotea bullata,Magnoliopsida,species,Lauraceae,"black stinkwood, stinkwood",NA,Valuable timber; Afromontane forests; permit for any disturbance,Ocotea,no,,Protected Tree,Protected <U+2014> harvesting banned,National Forests Act 1998 s.12
3990253,South Africa,,NATIONAL,,Ptaeroxylon obliquum,Magnoliopsida,species,Rutaceae,Sneezewood,"Harrisonia lentiscoides, Kirkia lentiscoides, Ptaeroxylon utile, Ptaeroxylon utile robustum, Rhus obliqua",Highly durable timber; protected from unsustainable harvest,Ptaeroxylon,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
5285951,South Africa,,NATIONAL,,Podocarpus latifolius,Pinopsida,species,Podocarpaceae,"Broad-leaved Yellowwood, East African yellowwood, Real Yellowwood, South African podocarpus, podo, true yellowwood, upright yellowwood, yellowwood, True Yellowwood, Upright Yellowwood","Nageia latifolia, Nageia thunbergii, Podocarpus latifolius, Podocarpus latifolius latior, Podocarpus latifolius confertus, Podocarpus latior, Podocarpus nobilis, Podocarpus pinnata, Podocarpus thunbergii, Taxus latifolia",Largest indigenous tree in SA; restricted harvest,Podocarpus,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
7362759,South Africa,,NATIONAL,,Podocarpus falcatus,Pinopsida,species,Podocarpaceae,Real yellowwood,Podocarpus falcatus,National tree of South Africa; felling prohibited without licence,Podocarpus,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
9617039,South Africa,,NATIONAL,,Podocarpus elongatus,Pinopsida,species,Podocarpaceae,"Breede River yellowwood, Breede River Yellowwood","Nageia elongata, Podocarpus elongatus, Podocarpus linearis, Podocarpus pruinosus, Podocarpus thunbergii angustifolia, Taxus capensis, Taxus elongata",Breede River Valley and Cederberg; riverine conifer,Podocarpus,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
2984588,South Africa,,NATIONAL,,Ficus,Magnoliopsida,species,Moraceae,"Fig, fig","Boscheria, Bosscheria, Caprificus, Covellia, Cystogyne, Dammaropsis, Erosma, Erythrogyne, Galoglychia, Gonosuke, Macrophthalma, Macrophthalmia, Mastosuke, Necalistis, Oluntos, Perula, Pharmacosycea, Plagiostigma, Pogonotrophe, Rephesis, Stilpnophyllum, Sycodendron, Sycomorphe, Sycomorus, Synoecia, Tenorea, Tremotis, Urostigma, Varinga, Visiania",All wild Ficus protected; keystone fruit tree; cultural significance,Ficus,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
5406695,South Africa,,NATIONAL,,Adansonia digitata,Magnoliopsida,species,Malvaceae,"Baobab, Baobab Tree, baobab, dead-rat-tree, monkey-bread-tree","Adansonia bahobab, Adansonia baobab, Adansonia digitata congolensis, Adansonia integrifolia, Adansonia kilima, Adansonia scutula, Adansonia situla, Adansonia somalensis, Adansonia sphaerocarpa, Adansonia sulcata, Baobabus digitata, Ophelus sitularius","Iconic Limpopo tree; some >2,000 yr old; bark harvesting regulated",Adansonia,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
5834428,South Africa,,NATIONAL,,Celtis africana,Magnoliopsida,species,Cannabaceae,White Stinkwood,"Celtis burmannii, Celtis eriantha, Celtis henriquezii, Celtis holtzii, Celtis kraussiana, Celtis kraussiana flavescens, Celtis kraussiana stolzii, Celtis opegrapha, Celtis vesiculosa",Urban heritage tree; frequently in municipal conflicts; felling banned,Celtis,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
7160810,South Africa,,NATIONAL,,Sclerocarya birrea,Magnoliopsida,species,Anacardiaceae,"Marula, marula",Sclerocarya birrea,Fruit tree; Amarula liqueur; culturally significant; felling banned,Sclerocarya,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
3035241,South Africa,,NATIONAL,,Cussonia spicata,Magnoliopsida,species,Araliaceae,"Spiky Cabbage Tree, common cabbagetree","Cussonia boivinii, Cussonia calophylla, Cussonia kraussii, Cussonia quercifolia, Cussonia spicata streyi, Cussonia spicata triptera, Cussonia triptera",All Cussonia spp. protected; medicinal bark; garden specimen theft,Cussonia,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
7475694,South Africa,,NATIONAL,,Olea capensis,Magnoliopsida,species,Oleaceae,"False Ironwood, Small Ironwood, black ironwood, Black Ironwood",Olea cassinifolia,Afromontane forest; extremely hard timber; slow growing,Olea,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
5549476,South Africa,,NATIONAL,,Olea europaea,Magnoliopsida,species,Oleaceae,African olive,NA,Indigenous olive; widespread; protected from commercial felling,Olea,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
5421370,South Africa,,NATIONAL,,Searsia lancea,Magnoliopsida,species,Anacardiaceae,"African sumac, Cashew, western karee, willow rhus","Rhus denudata, Rhus fragrans, Rhus lancea, Rhus viminalis, Toxicodendron lanceum",Karoo/grassland tree; common amenity tree; protected on private land,Searsia,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
5602556,South Africa,,NATIONAL,,Boscia albitrunca,Magnoliopsida,species,Capparaceae,"Caper Bush, Shepherd's Tree","Boscia albitrunca macrophylla, Boscia pechuelii, Boscia transvaalensis, Capparis albitrunca, Capparis oleoides, Capparis punctata",Kalahari iconic tree; witgat; drought-resistant; culturally important,Boscia,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
3699651,South Africa,,NATIONAL,,Combretum imberbe,Magnoliopsida,species,Combretaceae,leadwood,"Argyrodendron petersii, Combretum imberbe dielsii, Combretum imberbe petersii, Combretum imberbe truncatum, Combretum petersii, Combretum primigenum, Combretum truncatum",Limpopo bushveld; extremely dense timber; slow growing; protected,Combretum,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
5341085,South Africa,,NATIONAL,,Burchellia bubalina,Magnoliopsida,species,Rubiaceae,"buffalo-horn, wild pomegranate, Wild Pomegranate","Burchellia capensis, Burchellia capensis parviflora, Burchellia kraussii, Burchellia major, Burchellia parviflora, Burchellia speciosa, Canephora capitata, Cephaelis bubalina, Cinchona capensis, Genipa capensis, Lonicera bubalina",Afromontane forest; showy tubular flowers; timber protected,Burchellia,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
3141279,South Africa,,NATIONAL,,Tarchonanthus camphoratus,Magnoliopsida,species,Asteraceae,camphorwood,"Tarchonanthus abyssinicus, Tarchonanthus camphoratus litakunensis, Tarchonanthus camphoratus camphoratus, Tarchonanthus litakunensis, Tarchonanthus procerus",Aromatic bushveld tree; widespread; protected from clearing,Tarchonanthus,no,,Protected Tree,Protected <U+2014> permit required,National Forests Act 1998 s.12
